COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
87760,2020,1,1,0.00000,82.00000,58.00000, 70.00000
87760,2020,1,2,0.00000,82.00000,60.00000, 71.00000
87760,2020,1,3,0.00000,82.00000,68.00000, 75.00000
87760,2020,1,4,0.00000,86.00000,70.00000, 78.00000
87760,2020,1,5,0.00000,70.00000,54.00000, 62.00000
87760,2020,1,6,0.00000,74.00000,51.00000, 62.50000
87760,2020,1,7,0.00000,80.00000,53.00000, 66.50000
87760,2020,1,8,0.00000,77.00000,52.00000, 64.50000
87760,2020,1,9,0.00000,76.00000,57.00000, 66.50000
87760,2020,1,10,0.00000,78.00000,72.00000, 75.00000
87760,2020,1,11,0.00000,81.00000,72.00000, 76.50000
87760,2020,1,12,0.00000,83.00000,66.00000, 74.50000
87760,2020,1,13,0.00000,81.00000,69.00000, 75.00000
87760,2020,1,14,0.00000,81.00000,64.00000, 72.50000
87760,2020,1,15,0.00000,81.00000,58.00000, 69.50000
87760,2020,1,16,0.00000,82.00000,58.00000, 70.00000
87760,2020,1,17,0.21000,76.00000,59.00000, 67.50000
87760,2020,1,18,0.00000,78.00000,64.00000, 71.00000
87760,2020,1,19,0.00000,82.00000,58.00000, 70.00000
87760,2020,1,20,0.00000,76.00000,58.00000, 67.00000
87760,2020,1,21,0.00000,67.00000,48.00000, 57.50000
87760,2020,1,22,0.00000,77.00000,36.00000, 56.50000
87760,2020,1,23,0.00000,77.00000,53.00000, 65.00000
87760,2020,1,24,0.00000,80.00000,58.00000, 69.00000
87760,2020,1,25,0.00000,79.00000,57.00000, 68.00000
87760,2020,1,26,0.01000,75.00000,49.00000, 62.00000
87760,2020,1,27,0.00000,76.00000,53.00000, 64.50000
87760,2020,1,28,0.10000,79.00000,58.00000, 68.50000
87760,2020,1,29,0.00000,80.00000,53.00000, 66.50000
87760,2020,1,30,0.01000,80.00000,56.00000, 68.00000
87760,2020,1,31,0.07000,80.00000,54.00000, 67.00000
87760,2020,2,1,0.58000,73.00000,62.00000, 67.50000
87760,2020,2,2,0.01000,68.00000,49.00000, 58.50000
87760,2020,2,3,0.00000,75.00000,43.00000, 59.00000
87760,2020,2,4,0.00000,80.00000,54.00000, 67.00000
87760,2020,2,5,0.00000,81.00000,62.00000, 71.50000
87760,2020,2,6,0.00000,83.00000,68.00000, 75.50000
87760,2020,2,7,0.26000,77.00000,61.00000, 69.00000
87760,2020,2,8,0.00000,74.00000,57.00000, 65.50000
87760,2020,2,9,0.00000,77.00000,62.00000, 69.50000
