COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/13/2020,N,60,47,27,21,13,34,134,439,614,666,678,799,936,888,847,884,914,933,700,497,376,258,164,122,11051,13,936,,
93,0010,05/13/2020,S,50,26,17,21,16,57,190,478,674,677,686,791,809,847,823,810,810,844,733,473,358,261,167,95,10713,14,847,,
87,0031,05/13/2020,E,128,79,67,68,113,398,1130,1634,1548,1324,1303,1215,1262,1245,1331,1283,1354,1379,1240,1022,873,479,386,246,21107,08,1634,,
87,0031,05/13/2020,W,212,106,73,43,73,149,411,744,900,1025,1105,1271,1380,1487,1667,1950,2056,1627,1289,1105,980,686,514,352,21205,17,2056,,
29,0037,05/13/2020,E,10,6,10,20,37,88,154,270,248,207,224,201,212,222,209,198,211,222,147,107,74,57,31,29,3194,08,270,,
29,0037,05/13/2020,W,13,10,14,13,19,47,107,168,147,165,163,211,230,217,255,282,305,312,240,134,109,83,47,35,3326,18,312,,
75,0038,05/13/2020,E,0,0,0,0,0,0,0,0,0,0,0,1166,1263,1244,1227,1331,1361,1264,1014,741,577,354,234,137,11913,17,1361,,
75,0038,05/13/2020,W,0,0,0,0,0,0,0,0,0,0,0,1112,1337,1357,1316,1465,1617,1745,1205,899,661,504,316,213,13747,18,1745,,
07,0039,05/13/2020,E,35,23,25,54,83,216,408,500,498,427,409,424,456,447,501,603,784,821,609,385,249,148,98,55,8258,18,821,,
07,0039,05/13/2020,W,41,32,23,31,104,469,660,608,485,453,454,464,499,458,465,618,560,704,435,296,228,169,102,66,8424,18,704,,
26,0043,05/13/2020,N,18,17,13,9,14,38,57,139,116,139,185,144,233,246,237,318,402,417,250,173,137,91,43,31,3467,18,417,,
26,0043,05/13/2020,S,17,11,10,17,48,107,315,402,281,252,203,179,209,191,201,189,190,178,140,112,95,41,35,16,3439,08,402,,
02,0044,05/13/2020,N,47,24,30,35,55,152,424,690,727,736,691,774,764,753,753,711,708,641,498,337,269,153,95,60,10127,12,774,,
02,0044,05/13/2020,S,40,18,27,37,66,138,274,377,408,475,532,555,577,622,620,615,633,694,437,302,231,131,97,44,7950,18,694,,
74,0047,05/13/2020,N,25,25,17,22,45,73,124,217,177,221,263,254,273,273,283,302,353,367,284,202,161,94,69,50,4174,18,367,,
74,0047,05/13/2020,S,25,18,17,34,76,172,249,212,220,217,241,276,290,277,295,298,302,261,220,170,152,113,71,45,4251,17,302,,
48,0048,05/13/2020,E,10,9,10,15,31,125,264,267,230,178,221,278,210,204,282,283,312,302,197,121,93,77,79,26,3824,17,312,,
48,0048,05/13/2020,W,11,11,6,12,40,50,106,127,115,121,138,138,182,167,192,238,252,265,170,109,78,54,46,26,2654,18,265,,
53,0050,05/13/2020,N,40,36,23,36,45,90,156,244,229,308,324,374,357,343,318,359,342,343,242,197,139,122,88,51,4806,12,374,,
53,0050,05/13/2020,S,42,43,52,54,103,171,252,352,388,410,411,412,466,447,542,467,413,419,374,282,204,159,135,97,6695,15,542,,
60,0051,05/13/2020,N,4,2,6,8,18,35,36,58,71,84,101,112,93,127,133,155,205,177,110,83,54,36,22,13,1743,17,205,,
60,0051,05/13/2020,S,6,7,7,15,27,118,156,150,116,86,100,131,130,125,127,118,118,103,84,50,40,42,17,17,1890,07,156,,
50,0054,05/13/2020,N,26,13,12,11,24,46,84,129,137,137,158,178,186,185,193,247,303,319,208,152,108,54,30,40,2980,18,319,,
50,0054,05/13/2020,S,13,13,12,24,37,99,250,258,188,157,163,165,192,169,189,178,179,200,180,116,78,76,47,27,3010,08,258,,
49,0060,05/13/2020,E,7,1,9,2,14,13,47,66,94,89,104,115,98,120,103,148,153,173,119,68,52,38,19,6,1658,18,173,,
49,0060,05/13/2020,W,5,4,4,7,6,33,60,99,90,103,142,135,127,157,122,130,119,103,87,68,47,32,19,9,1708,14,157,,
72,0062,05/13/2020,E,80,46,26,19,29,117,501,810,1018,1074,1129,1263,1306,1367,1313,1320,1351,1451,1201,787,518,365,220,110,17421,18,1451,,
72,0062,05/13/2020,W,86,35,35,26,38,137,387,744,752,769,931,1171,1291,1175,1274,1317,1403,1464,1117,992,782,485,248,207,16866,18,1464,,
92,0065,05/13/2020,E,28,26,25,29,66,196,379,392,294,286,322,334,328,317,300,344,318,314,248,150,129,92,70,48,5035,08,392,,
92,0065,05/13/2020,W,41,35,21,37,45,138,249,281,263,222,249,283,267,276,342,382,460,465,374,282,186,114,81,67,5160,18,465,,
15,0066,05/13/2020,N,35,12,12,13,22,43,132,265,387,416,497,549,605,665,631,700,706,557,519,424,480,227,147,80,8124,17,706,,
15,0066,05/13/2020,S,27,12,6,10,8,38,142,287,365,418,483,541,644,632,618,605,621,604,524,429,294,172,119,47,7646,13,644,,
04,0068,05/13/2020,E,11,8,10,16,14,33,95,138,121,131,87,150,147,141,160,177,188,255,155,79,65,48,36,29,2294,18,255,,
04,0068,05/13/2020,W,19,6,10,8,37,127,263,237,157,134,142,132,165,152,134,144,135,145,76,60,44,29,32,14,2402,07,263,,
14,0079,05/13/2020,N,42,50,42,49,99,179,333,320,361,349,403,425,457,475,492,587,664,720,420,326,288,192,126,90,7489,18,720,,
14,0079,05/13/2020,S,39,31,41,59,109,229,413,536,506,442,410,463,459,488,435,496,545,462,381,287,199,151,104,71,7356,17,545,,
10,0080,05/13/2020,E,54,21,20,21,42,130,237,250,309,376,345,367,383,394,399,423,540,554,387,310,218,145,95,68,6088,18,554,,
10,0080,05/13/2020,W,44,30,20,38,80,228,501,419,345,322,376,465,413,399,426,452,442,432,326,230,215,146,93,42,6484,07,501,,
15,0086,05/13/2020,E,72,33,25,41,45,253,624,739,705,629,622,645,654,704,686,863,973,939,705,543,400,286,198,143,11527,17,973,,
15,0086,05/13/2020,W,61,44,24,25,48,176,507,715,744,624,681,699,748,828,826,987,1082,952,754,453,363,206,158,116,11821,17,1082,,
93,0087,05/13/2020,E,9,4,1,10,10,43,199,521,786,640,506,472,492,496,508,431,377,357,337,192,122,68,49,19,6649,09,786,,
93,0087,05/13/2020,W,17,1,3,6,4,24,63,182,321,416,481,549,597,641,720,938,908,600,437,333,263,162,124,38,7828,16,938,,
03,0094,05/13/2020,E,71,38,29,33,36,86,327,672,790,959,1200,1301,1343,1365,1519,1590,1755,1664,1025,749,617,428,263,152,18012,17,1755,,
03,0094,05/13/2020,W,51,25,31,40,108,323,928,1492,1273,1379,1431,1374,1489,1482,1459,1253,1101,994,829,604,414,265,163,106,18614,08,1492,,
87,0096,05/13/2020,N,157,91,69,83,176,382,681,759,686,631,588,631,655,828,818,994,953,1006,775,563,471,392,321,204,12914,18,1006,,
87,0096,05/13/2020,S,110,78,47,66,105,232,603,611,556,557,555,612,641,687,707,900,876,943,714,432,354,308,237,201,11132,18,943,,
93,0101,05/13/2020,E,117,77,65,90,204,573,1559,2179,2097,1837,1961,2036,2195,2076,2074,2135,2259,2196,1618,1159,831,483,350,225,30396,17,2259,,
93,0101,05/13/2020,W,171,89,73,79,131,434,1212,1514,1703,1627,1807,1946,2170,2134,2161,2455,2757,2797,1975,1456,1015,627,421,275,31029,18,2797,,
77,0102,05/13/2020,N,98,53,54,37,59,196,391,613,633,765,914,1023,1129,1175,1194,1213,1297,1280,1106,845,706,373,259,167,15580,17,1297,,
77,0102,05/13/2020,S,85,49,48,58,103,279,656,837,904,886,969,1043,1174,1166,1049,1128,1112,1159,971,738,549,408,219,132,15722,13,1174,,
75,0104,05/13/2020,E,63,50,44,37,91,324,615,656,549,540,618,667,707,735,840,912,944,1011,733,544,422,298,274,185,11859,18,1011,,
75,0104,05/13/2020,W,70,49,39,44,90,324,551,596,589,580,560,628,663,662,727,781,947,1034,769,564,401,309,194,136,11307,18,1034,,
76,0105,05/13/2020,N,33,14,22,45,127,362,775,843,673,683,625,653,684,663,546,585,503,526,370,263,202,181,103,53,9534,08,843,,
76,0105,05/13/2020,S,59,28,21,18,44,100,258,303,374,441,515,595,680,685,683,757,914,986,722,456,347,245,175,97,9503,18,986,,
87,0108,05/13/2020,E,152,105,52,53,130,607,2022,2581,2517,1805,1587,1521,1658,1566,1796,1556,1590,1720,1530,1098,678,656,587,355,27922,08,2581,,
87,0108,05/13/2020,W,191,83,72,51,67,213,692,1264,1397,1470,1583,1593,1800,1939,2322,2683,2918,2340,1506,1231,902,646,487,478,27928,17,2918,,
32,0112,05/13/2020,N,323,280,242,209,226,331,516,704,761,1020,1259,1213,1182,1138,1142,1070,1157,1056,873,766,628,522,449,376,17443,11,1259,,
32,0112,05/13/2020,S,300,286,294,304,343,368,513,517,674,736,738,775,895,984,987,1007,1047,949,850,717,657,594,464,364,15363,17,1047,,
70,0113,05/13/2020,E,74,39,42,45,75,180,522,1019,1241,1295,1429,1436,1466,1555,1497,1508,1509,1455,1013,661,518,356,188,158,19281,14,1555,,
70,0113,05/13/2020,W,109,66,38,39,73,207,595,933,1097,1136,1358,1504,1608,1633,1666,1794,1812,1736,1233,937,705,464,319,199,21261,17,1812,,
70,0114,05/13/2020,N,29,30,61,27,59,176,461,624,557,448,501,509,231,502,577,627,591,644,330,236,184,107,65,48,7624,18,644,,
70,0114,05/13/2020,S,32,17,13,22,79,242,350,483,414,421,425,499,208,526,505,677,714,721,411,281,193,129,84,59,7505,18,721,,
34,0116,05/13/2020,N,23,15,12,20,30,73,116,162,225,287,365,436,494,444,462,445,498,510,321,269,195,134,76,61,5673,18,510,,
34,0116,05/13/2020,S,20,21,13,33,50,98,223,346,325,356,404,395,432,411,390,402,400,333,309,199,153,94,47,39,5493,13,432,,
53,0117,05/13/2020,E,30,13,15,20,26,108,211,421,423,499,550,684,716,611,591,643,535,502,401,275,215,120,71,67,7747,13,716,,
53,0117,05/13/2020,W,25,11,17,10,38,98,265,434,434,496,544,611,648,632,617,617,597,501,368,296,236,116,88,44,7743,13,648,,
57,0122,05/13/2020,E,32,23,25,31,76,211,339,527,452,441,423,446,510,425,495,509,536,490,365,295,222,123,80,42,7118,17,536,,
57,0122,05/13/2020,W,32,17,23,25,52,158,294,319,353,356,426,453,451,547,529,593,618,624,416,265,223,167,83,53,7077,18,624,,
75,0130,05/13/2020,E,385,290,219,297,595,1576,3032,3281,2872,2636,2674,2667,2840,2776,2799,3164,2935,3060,2428,1708,1402,1160,932,611,46339,08,3281,,
75,0130,05/13/2020,W,458,337,275,306,477,1093,2302,2676,2372,2242,2387,2477,2753,2768,3033,3583,3803,3890,2872,2280,1680,1419,1139,779,47401,18,3890,,
74,0132,05/13/2020,N,339,262,223,253,339,754,1217,1384,1244,1391,1726,1783,1719,1766,1692,1743,1717,1727,1363,996,779,698,511,438,26064,12,1783,,
74,0132,05/13/2020,S,312,241,194,241,324,665,994,1103,1013,1092,1221,1400,1467,1530,1581,1786,1780,1553,1203,915,753,576,511,418,22873,16,1786,,
79,0133,05/13/2020,N,194,147,146,159,198,393,814,1303,1292,1284,1167,1308,1181,1170,1181,1268,1242,1212,906,687,519,425,317,249,18762,12,1308,,
79,0133,05/13/2020,S,205,160,146,129,213,445,611,813,794,822,943,1038,1054,1092,1253,1367,1417,1464,989,731,566,420,334,259,17265,18,1464,,
70,0134,05/13/2020,N,190,189,134,137,203,417,934,1015,1109,948,1015,991,1059,1030,1157,1078,1169,1105,845,678,534,444,315,261,16957,17,1169,,
70,0134,05/13/2020,S,211,147,166,171,239,388,642,849,834,806,839,866,907,944,979,1055,1213,1191,931,717,525,402,349,227,15598,17,1213,,
87,0137,05/13/2020,E,512,317,311,321,669,2067,3956,4374,4369,3515,3394,3583,3881,3926,4062,3927,4465,4267,3331,2478,2008,1599,1285,949,63566,17,4465,,
87,0137,05/13/2020,W,490,346,344,458,852,2141,3627,3706,3696,3358,3414,3573,3796,3907,4300,4851,4697,4829,3606,2737,2112,1696,1262,818,64616,16,4851,,
88,0139,05/13/2020,E,29,17,24,22,35,66,131,164,122,156,153,176,161,166,174,175,183,168,137,106,82,75,54,30,2606,17,183,,
88,0139,05/13/2020,W,32,30,26,23,48,68,146,163,150,154,126,176,181,163,206,181,189,185,137,101,86,60,38,23,2692,15,206,,
93,0140,05/13/2020,E,25,15,8,17,30,183,309,303,191,172,194,147,182,171,189,231,178,196,137,87,57,61,37,22,3142,07,309,,
93,0140,05/13/2020,W,36,14,14,26,41,133,207,185,173,180,217,162,181,166,202,233,271,264,149,85,69,40,40,16,3104,17,271,,
03,0143,05/13/2020,N,45,35,50,31,153,433,621,387,342,354,361,380,461,468,469,547,611,647,483,385,319,240,184,128,8134,18,647,,
03,0143,05/13/2020,S,44,21,24,28,132,230,564,656,505,434,424,407,379,405,425,501,576,568,459,371,242,189,129,103,7816,08,656,,
94,0144,05/13/2020,E,8,1,2,2,8,33,106,100,97,73,79,109,115,90,95,99,124,155,76,44,32,43,19,15,1525,18,155,,
94,0144,05/13/2020,W,3,4,7,2,11,30,165,142,98,90,97,114,105,84,98,98,112,124,76,42,25,19,10,7,1563,07,165,,
04,0145,05/13/2020,N,26,25,20,20,54,115,206,237,255,261,300,290,309,265,302,315,298,311,226,176,118,120,41,47,4337,16,315,,
04,0145,05/13/2020,S,25,26,50,40,67,184,253,293,285,259,226,278,292,285,285,252,245,229,198,137,100,79,44,49,4181,08,293,,
13,0146,05/13/2020,E,13,14,8,4,13,27,78,130,116,152,170,188,182,194,179,255,312,322,235,133,97,77,55,17,2971,18,322,,
13,0146,05/13/2020,W,10,8,5,5,24,106,244,252,195,177,220,174,210,196,191,182,182,172,129,86,78,47,30,10,2933,08,252,,
33,0149,05/13/2020,N,6,3,4,6,26,45,93,120,110,139,123,120,146,114,150,113,128,174,94,70,56,35,26,10,1911,18,174,,
33,0149,05/13/2020,S,5,7,7,10,16,32,91,111,102,107,115,126,124,138,121,137,149,168,139,106,67,42,23,14,1957,18,168,,
55,0151,05/13/2020,E,76,48,25,25,31,71,192,472,469,498,541,659,828,743,726,777,860,938,655,493,403,313,196,136,10175,18,938,,
55,0151,05/13/2020,W,68,47,27,31,34,82,257,589,493,395,450,509,667,665,617,589,686,714,535,476,399,317,204,111,8962,18,714,,
61,0152,05/13/2020,E,72,90,92,84,121,217,319,406,404,501,520,552,539,540,534,523,569,462,393,295,229,204,177,119,7962,17,569,,
61,0152,05/13/2020,W,89,88,79,110,116,210,308,380,429,412,451,530,508,557,607,517,598,515,414,294,254,194,145,140,7945,15,607,,
75,0154,05/13/2020,N,159,112,80,89,160,398,674,936,946,872,942,1021,1169,1175,1300,1393,1383,1397,1259,898,774,560,461,267,18425,18,1397,,
75,0154,05/13/2020,S,120,86,119,146,333,660,1115,1212,1028,903,1060,1128,1381,1318,1261,1312,1412,1499,1247,939,772,554,399,220,20224,18,1499,,
72,0161,05/13/2020,E,105,81,55,68,90,230,608,899,928,953,952,1031,1238,1062,1185,1461,1467,1368,1050,790,609,483,306,227,17246,17,1467,,
72,0161,05/13/2020,W,89,68,49,52,112,342,1022,1102,1092,993,934,964,1088,988,1093,1253,1268,1284,973,676,476,425,259,175,16777,18,1284,,
10,0162,05/13/2020,E,72,61,45,63,93,193,447,631,674,638,639,814,801,794,832,1105,1101,1036,624,471,370,291,220,137,12152,16,1105,,
10,0162,05/13/2020,W,87,68,74,91,197,439,923,1035,904,802,803,861,841,795,842,851,861,903,620,466,371,291,197,111,13433,08,1035,,
90,0164,05/13/2020,N,17,11,16,28,58,121,227,363,472,459,478,473,537,507,539,709,782,760,413,277,175,133,78,35,7668,17,782,,
90,0164,05/13/2020,S,29,32,29,39,102,317,662,844,713,464,424,421,438,466,438,484,476,459,329,235,191,118,84,41,7835,08,844,,
90,0165,05/13/2020,N,74,63,37,30,57,151,398,724,772,841,868,950,1167,1097,1155,1200,1414,1348,883,665,519,371,228,135,15147,17,1414,,
90,0165,05/13/2020,S,86,24,34,19,72,148,484,1116,1198,1011,950,921,1062,1010,924,976,978,853,655,523,343,258,171,100,13916,09,1198,,
46,0166,05/13/2020,E,36,28,17,11,20,38,127,243,267,305,408,452,449,434,373,460,469,457,404,310,244,178,103,52,5885,17,469,,
46,0166,05/13/2020,W,60,23,17,12,17,49,151,254,303,324,408,452,483,471,466,464,472,476,442,432,361,293,166,100,6696,13,483,,
57,0167,05/13/2020,E,72,40,32,65,266,1079,1694,1760,1416,1164,1086,1054,1106,1157,971,969,879,856,733,552,442,335,235,101,18064,08,1760,,
57,0167,05/13/2020,W,107,77,44,37,80,161,416,628,627,784,895,1091,1274,1301,1610,1900,1901,1737,1201,787,553,383,373,206,18173,17,1901,,
79,0170,05/13/2020,E,22,23,26,24,53,164,207,288,331,334,333,405,366,437,413,497,598,625,435,287,221,121,86,52,6348,18,625,,
79,0170,05/13/2020,W,22,23,25,38,88,229,452,625,477,397,376,344,368,355,387,425,485,398,267,169,124,92,68,32,6266,08,625,,
72,0171,05/13/2020,N,465,356,328,336,547,1451,3572,4147,3866,3506,3401,3324,3531,3548,3247,3683,3930,3844,2897,2171,1625,1298,1058,738,56869,08,4147,,
72,0171,05/13/2020,S,510,381,298,322,481,1215,3169,3632,3355,3105,3095,3189,3400,3371,3715,4091,4334,4166,2827,2220,1650,1332,1103,806,55767,17,4334,,
