COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/05/2020,N,60,38,27,22,13,36,169,450,717,776,835,947,1039,1092,1002,1135,1168,1138,872,622,493,352,273,214,13490,17,1168,,
93,0010,06/05/2020,S,72,39,19,17,26,66,257,567,814,803,781,866,965,978,1016,988,945,920,785,567,460,365,279,178,12773,15,1016,,
87,0031,06/05/2020,E,159,93,79,60,110,399,1309,1815,1899,1408,1509,1494,1446,1527,1625,1676,1636,1729,2004,1656,1174,1009,795,508,27119,19,2004,,
87,0031,06/05/2020,W,396,171,88,80,78,172,455,862,1163,1219,1484,1644,1731,1860,2040,2378,2369,2049,2199,1979,1728,1395,1078,800,29418,16,2378,,
29,0037,06/05/2020,E,14,5,11,21,24,94,141,264,260,251,252,230,243,251,246,265,230,272,178,157,96,63,63,47,3678,18,272,,
29,0037,06/05/2020,W,27,13,16,8,29,45,98,153,141,164,189,252,263,269,288,318,347,352,277,219,162,126,86,92,3934,18,352,,
75,0038,06/05/2020,E,71,37,59,53,158,437,838,1327,1284,1296,1263,1435,1495,1475,1422,1511,1468,1399,1193,784,572,475,240,141,20433,16,1511,,
75,0038,06/05/2020,W,76,64,54,59,102,236,565,793,963,995,1107,1244,1524,1594,1607,1696,1831,1723,1539,1081,852,675,319,206,20905,17,1831,,
07,0039,06/05/2020,E,37,21,29,48,92,183,387,512,521,472,479,501,540,564,558,679,806,751,570,338,222,189,120,89,8708,17,806,,
07,0039,06/05/2020,W,24,25,16,38,113,431,648,573,449,451,554,536,602,569,597,662,605,575,444,320,279,187,130,75,8903,16,662,,
26,0043,06/05/2020,N,20,14,15,15,13,29,64,114,124,162,201,227,233,246,301,333,406,443,265,240,162,134,124,129,4014,18,443,,
26,0043,06/05/2020,S,21,10,14,13,37,95,296,394,321,285,251,258,267,252,237,247,247,196,180,139,127,84,82,58,4111,08,394,,
02,0044,06/05/2020,N,53,31,30,40,73,147,347,649,731,790,873,827,971,902,920,891,873,806,718,491,327,258,155,102,12005,13,971,,
02,0044,06/05/2020,S,51,32,25,33,54,136,244,368,439,456,550,631,644,627,736,707,715,764,559,385,295,206,135,99,8891,18,764,,
74,0047,06/05/2020,N,41,36,26,28,44,85,127,172,210,256,292,334,377,371,351,405,438,415,377,288,198,176,111,95,5253,17,438,,
74,0047,06/05/2020,S,34,31,27,39,73,176,214,246,232,262,286,347,353,394,367,393,392,362,366,255,201,159,96,77,5382,14,394,,
48,0048,06/05/2020,E,22,10,15,14,40,123,255,256,222,194,257,236,239,244,266,264,318,287,224,162,113,88,43,40,3932,17,318,,
48,0048,06/05/2020,W,19,12,5,11,23,48,109,118,126,156,160,191,209,209,224,231,277,262,222,155,118,75,72,44,3076,17,277,,
53,0050,06/05/2020,N,63,43,27,38,52,92,230,278,338,501,529,623,524,510,432,483,396,399,321,267,181,166,122,105,6720,12,623,,
53,0050,06/05/2020,S,90,78,85,82,112,204,325,382,431,547,595,636,661,764,701,655,634,581,524,469,429,268,210,144,9607,14,764,,
60,0051,06/05/2020,N,13,8,5,11,21,41,51,85,129,173,200,202,150,139,212,173,235,224,143,112,72,72,50,38,2559,17,235,,
60,0051,06/05/2020,S,15,11,7,13,33,109,141,188,135,156,168,154,165,191,203,174,185,150,152,116,87,58,30,36,2677,15,203,,
50,0054,06/05/2020,N,31,18,14,15,20,40,60,151,144,167,193,208,215,232,251,288,305,335,247,222,163,94,73,46,3532,18,335,,
50,0054,06/05/2020,S,12,20,12,31,31,86,268,268,179,175,191,232,205,219,220,197,209,221,188,142,125,103,62,30,3426,07,268,,
49,0060,06/05/2020,E,6,3,5,1,7,13,48,80,96,98,142,157,138,120,174,146,147,129,125,70,59,45,24,15,1848,15,174,,
49,0060,06/05/2020,W,6,5,5,6,7,31,67,93,113,107,117,134,150,156,153,157,177,157,132,89,86,62,31,23,2064,17,177,,
72,0062,06/05/2020,E,113,48,40,36,62,156,624,972,1228,1284,1225,1494,1521,1467,1467,1500,1657,1671,1448,1197,888,642,514,401,21655,18,1671,,
72,0062,06/05/2020,W,127,120,91,48,50,161,452,807,964,1025,1060,1160,1327,1397,1522,1377,1469,1470,1305,1065,1024,698,607,504,19830,15,1522,,
92,0065,06/05/2020,E,51,26,27,37,66,156,350,339,302,272,305,330,307,387,378,372,392,345,342,209,181,125,89,73,5461,17,392,,
92,0065,06/05/2020,W,38,37,33,32,58,135,242,241,222,227,260,262,324,315,354,477,499,445,323,255,191,156,124,85,5335,17,499,,
15,0066,06/05/2020,N,38,25,6,4,6,15,49,292,347,446,524,571,596,626,692,702,627,598,494,492,294,194,163,159,7960,16,702,,
15,0066,06/05/2020,S,40,23,15,14,13,41,127,309,397,418,458,565,650,622,638,656,669,648,584,464,362,273,183,113,8282,17,669,,
04,0068,06/05/2020,E,16,11,11,11,30,44,68,91,97,150,102,124,168,138,183,182,213,176,149,97,65,40,37,24,2227,17,213,,
04,0068,06/05/2020,W,13,9,10,10,40,115,224,179,128,143,153,141,136,172,127,122,137,113,69,75,45,36,34,13,2244,07,224,,
28,0073,06/05/2020,N,28,21,15,16,19,70,157,165,154,141,167,196,194,208,212,205,247,241,186,136,93,76,56,42,3045,17,247,,
28,0073,06/05/2020,S,20,12,8,20,42,82,138,154,131,132,138,146,226,214,227,211,219,278,192,138,122,79,51,39,3019,18,278,,
14,0079,06/05/2020,N,56,30,50,52,98,174,296,338,280,365,416,481,476,482,548,576,701,692,519,384,290,204,160,122,7790,17,701,,
14,0079,06/05/2020,S,45,27,31,70,96,239,404,521,550,464,461,494,495,566,503,566,599,526,440,344,215,176,146,104,8082,17,599,,
10,0080,06/05/2020,E,42,26,12,27,35,121,277,259,311,323,406,404,407,506,507,592,590,564,444,302,199,173,123,102,6752,16,592,,
10,0080,06/05/2020,W,38,31,19,41,77,243,446,405,386,368,406,423,466,471,484,486,468,473,350,275,227,158,122,81,6944,16,486,,
15,0086,06/05/2020,E,69,39,33,54,57,261,640,797,760,665,705,694,795,814,850,1182,1474,1065,815,576,344,283,264,204,13440,17,1474,,
15,0086,06/05/2020,W,69,47,43,44,78,182,481,729,787,728,712,854,1061,954,1038,1173,1195,1057,841,575,371,259,250,182,13710,17,1195,,
93,0087,06/05/2020,E,13,2,4,9,10,61,189,555,786,691,576,587,579,510,545,476,469,343,303,213,116,80,32,22,7171,09,786,,
93,0087,06/05/2020,W,31,10,3,7,7,28,84,191,344,421,549,658,682,797,764,932,990,606,388,305,300,260,159,86,8602,17,990,,
03,0094,06/05/2020,E,70,46,49,29,33,90,318,691,816,993,1137,1462,1526,1524,1651,1734,1726,1557,1126,924,745,601,410,256,19514,16,1734,,
03,0094,06/05/2020,W,68,38,24,53,98,334,978,1451,1391,1372,1543,1547,1739,1552,1449,1263,1315,1180,945,690,562,387,263,162,20404,13,1739,,
87,0096,06/05/2020,N,151,95,53,105,160,332,706,910,766,652,782,750,822,847,939,1101,1106,1017,884,656,590,438,397,251,14510,17,1106,,
87,0096,06/05/2020,S,112,54,64,73,112,237,574,636,621,600,683,692,720,753,833,953,1057,955,771,551,442,357,277,204,12331,17,1057,,
93,0101,06/05/2020,E,105,68,51,77,202,649,1621,2355,2124,2052,2169,2260,2437,2393,2332,2569,2440,2215,1639,1173,881,665,462,297,33236,16,2569,,
93,0101,06/05/2020,W,189,94,81,86,128,400,1114,1532,1695,1759,2051,2212,2414,2525,2665,2830,2892,2869,2173,1457,1146,853,544,390,34099,17,2892,,
77,0102,06/05/2020,N,103,58,56,44,67,200,390,589,667,845,1058,1200,1353,1318,1388,1407,1486,1571,1340,1098,797,556,365,258,18214,18,1571,,
