COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,07/03/2020,N,72,39,30,18,19,43,132,357,602,676,790,906,931,973,921,876,907,829,696,551,439,398,283,193,11681,14,973,,
93,0010,07/03/2020,S,64,43,26,23,19,61,164,374,497,697,698,903,863,927,958,833,908,814,654,551,438,362,262,181,11320,15,958,,
87,0031,07/03/2020,E,415,249,147,95,137,339,947,1330,1450,1608,1741,1759,1684,1823,1962,1982,1971,1779,1821,1753,1495,1304,878,519,29188,16,1982,,
87,0031,07/03/2020,W,877,365,221,152,104,167,400,724,957,1255,1211,1204,1216,1282,1405,2109,2145,1884,1777,1680,1622,1749,1527,890,26923,17,2145,,
29,0037,07/03/2020,E,28,28,12,18,14,58,89,180,239,205,258,261,275,253,218,196,206,174,155,134,81,54,45,38,3219,13,275,,
29,0037,07/03/2020,W,30,24,16,10,20,31,80,107,165,160,211,219,269,291,255,290,278,255,236,176,115,111,77,60,3486,14,291,,
75,0038,07/03/2020,E,118,78,60,66,123,268,527,828,940,1197,1203,1464,1274,1372,1383,1343,1313,1185,1121,881,734,513,348,237,18576,12,1464,,
75,0038,07/03/2020,W,190,87,51,49,72,155,387,633,749,896,1124,1270,1290,1486,1393,1438,1449,1404,1324,1127,947,669,434,321,18945,14,1486,,
07,0039,07/03/2020,E,37,33,28,23,57,82,200,315,398,464,481,582,620,569,643,631,656,625,506,434,261,220,159,114,8138,17,656,,
07,0039,07/03/2020,W,49,57,30,31,75,192,336,385,423,477,620,674,700,661,629,598,620,515,467,341,314,206,144,99,8643,13,700,,
26,0043,07/03/2020,N,32,12,17,11,15,29,38,92,120,135,218,211,234,267,272,261,265,257,234,171,148,107,64,41,3251,15,272,,
26,0043,07/03/2020,S,22,18,9,16,19,47,133,162,233,268,256,285,232,279,254,192,232,195,158,110,84,71,47,27,3349,12,285,,
02,0044,07/03/2020,N,98,41,25,43,62,156,390,703,824,930,1050,1069,987,938,968,895,815,722,609,495,351,244,159,152,12726,12,1069,,
02,0044,07/03/2020,S,82,45,60,86,58,94,259,322,440,802,849,739,746,1220,1404,1324,1295,1155,764,640,624,295,178,191,13672,15,1404,,
74,0047,07/03/2020,N,52,23,25,32,39,78,108,170,204,292,341,386,375,408,360,338,355,348,311,204,170,117,105,68,4909,14,408,,
74,0047,07/03/2020,S,33,22,37,33,67,92,158,192,233,301,355,400,424,459,414,424,389,333,280,230,145,131,94,79,5325,14,459,,
48,0048,07/03/2020,E,16,10,11,13,31,46,122,168,164,186,185,201,207,222,271,232,208,226,192,144,99,99,51,40,3144,15,271,,
48,0048,07/03/2020,W,19,9,8,17,13,26,84,93,136,157,213,220,250,236,224,229,215,209,205,151,127,74,45,40,3000,13,250,,
53,0050,07/03/2020,N,54,54,38,53,71,91,219,291,411,591,641,727,599,551,479,449,396,335,311,263,220,193,165,109,7311,12,727,,
53,0050,07/03/2020,S,168,108,109,99,132,193,295,400,587,732,872,912,917,1029,998,894,726,722,602,499,388,300,219,171,12072,14,1029,,
60,0051,07/03/2020,N,11,10,6,15,19,51,53,85,170,255,281,254,196,168,193,150,154,166,144,135,111,80,68,40,2815,11,281,,
60,0051,07/03/2020,S,23,16,15,15,41,39,87,144,150,172,219,244,268,271,276,261,193,189,160,110,57,43,23,14,3030,15,276,,
50,0054,07/03/2020,N,35,21,18,17,25,38,64,120,144,185,206,236,243,283,257,276,248,243,209,173,130,95,76,65,3407,14,283,,
50,0054,07/03/2020,S,22,18,17,34,31,55,137,160,155,188,192,236,246,227,245,250,198,248,197,142,113,70,72,42,3295,16,250,,
49,0060,07/03/2020,E,7,8,8,6,5,13,34,61,70,109,158,153,159,173,180,201,236,218,148,113,83,64,47,26,2280,17,236,,
49,0060,07/03/2020,W,16,8,9,5,16,41,94,98,153,200,236,258,219,223,233,221,192,174,143,115,95,59,36,17,2861,12,258,,
72,0062,07/03/2020,E,103,70,53,30,52,152,485,737,981,1248,1439,1524,1740,1747,1570,1553,1504,1408,1218,870,604,473,373,263,20197,14,1747,,
72,0062,07/03/2020,W,122,90,58,42,40,110,286,515,761,1015,1164,1391,1364,1358,1307,1378,1416,1410,1157,901,642,561,384,293,17765,17,1416,,
92,0065,07/03/2020,E,61,45,36,33,67,126,212,291,362,466,462,505,490,457,425,394,383,348,299,281,223,170,169,109,6414,12,505,,
92,0065,07/03/2020,W,79,47,27,38,58,76,156,180,231,305,322,372,363,436,409,592,561,466,444,344,273,254,185,125,6343,16,592,,
15,0066,07/03/2020,N,78,35,10,4,23,41,116,244,402,503,637,668,769,819,713,761,744,648,682,597,623,515,368,230,10230,14,819,,
15,0066,07/03/2020,S,74,37,15,17,21,53,96,261,383,527,682,733,813,771,749,755,713,701,704,602,514,392,255,162,10030,13,813,,
04,0068,07/03/2020,E,15,7,9,9,19,18,48,74,64,89,127,144,136,142,141,125,150,144,104,93,56,57,53,37,1861,17,150,,
04,0068,07/03/2020,W,16,7,5,14,20,58,128,91,76,99,114,162,145,155,121,145,122,104,113,80,62,48,33,28,1946,12,162,,
28,0073,07/03/2020,N,21,28,22,16,16,43,70,105,153,172,219,211,192,211,207,232,222,186,162,110,82,59,57,23,2819,16,232,,
28,0073,07/03/2020,S,18,17,15,10,25,61,88,134,139,156,228,216,234,189,186,191,198,204,140,114,78,69,59,33,2802,13,234,,
14,0079,07/03/2020,N,61,54,43,54,80,156,247,288,340,394,439,531,511,551,540,612,567,529,438,366,354,279,202,104,7740,16,612,,
14,0079,07/03/2020,S,52,35,43,56,77,145,249,316,370,467,444,480,482,461,504,511,509,434,389,328,279,254,157,82,7124,16,511,,
10,0080,07/03/2020,E,46,32,23,22,40,74,127,191,221,259,354,328,387,426,411,459,430,400,376,295,262,150,113,70,5496,16,459,,
10,0080,07/03/2020,W,41,33,18,27,48,151,259,245,280,346,387,394,450,456,442,437,398,363,326,260,272,220,140,74,6067,14,456,,
15,0086,07/03/2020,E,83,52,48,49,53,107,297,389,477,643,690,786,892,906,948,887,866,833,734,635,512,484,391,322,12084,15,948,,
15,0086,07/03/2020,W,93,64,43,34,54,111,295,466,677,792,889,1022,1070,1086,1013,1056,949,842,716,609,505,399,340,308,13433,14,1086,,
93,0087,07/03/2020,E,12,7,4,9,17,54,163,385,453,517,440,433,435,495,483,411,374,323,293,226,145,96,59,30,5864,10,517,,
93,0087,07/03/2020,W,37,18,3,4,8,18,80,137,225,332,427,508,574,572,624,644,635,454,430,296,296,343,239,125,7029,16,644,,
03,0094,07/03/2020,E,104,67,34,40,29,82,308,551,722,842,1034,1345,1343,1397,1354,1401,1447,1238,1032,916,817,638,410,288,17439,17,1447,,
03,0094,07/03/2020,W,93,52,38,43,81,242,679,953,1106,1285,1359,1382,1547,1509,1332,1381,1253,1119,1008,818,585,441,302,163,18771,13,1547,,
87,0096,07/03/2020,N,182,117,82,104,143,228,434,649,602,579,560,729,730,814,826,854,879,880,824,618,520,502,355,231,12442,18,880,,
87,0096,07/03/2020,S,139,86,89,76,94,169,330,461,496,541,575,658,654,630,492,670,667,740,660,515,481,426,308,197,10154,18,740,,
93,0101,07/03/2020,E,170,93,70,96,174,430,934,1545,1766,2016,2358,2662,2721,2670,2519,2538,2419,2315,1985,1617,1096,812,542,370,33918,13,2721,,
93,0101,07/03/2020,W,253,136,81,91,106,262,782,1115,1456,1846,2417,2559,2535,2636,2715,2655,2648,2557,2343,1842,1438,1025,669,472,34639,15,2715,,
77,0102,07/03/2020,N,138,93,62,34,62,125,263,486,652,893,1113,1324,1337,1444,1367,1326,1422,1349,1197,968,838,500,349,243,17585,14,1444,,
77,0102,07/03/2020,S,141,94,59,69,115,233,450,689,854,1018,1237,1327,1360,1358,1347,1288,1222,1157,1064,874,688,489,333,225,17691,13,1360,,
75,0104,07/03/2020,E,88,46,53,31,81,231,414,510,678,852,906,1042,1081,939,977,1039,954,939,778,790,620,453,288,170,13960,13,1081,,
75,0104,07/03/2020,W,110,74,59,52,68,156,262,412,534,697,776,871,940,867,984,1059,935,892,763,639,523,443,291,212,12619,16,1059,,
76,0105,07/03/2020,N,57,35,23,44,92,196,393,546,619,725,728,810,736,721,648,630,602,542,450,354,261,183,131,100,9626,12,810,,
76,0105,07/03/2020,S,85,60,27,29,31,63,175,271,317,481,616,761,792,822,790,847,779,801,677,559,405,300,194,129,10011,16,847,,
