COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/03/2020,N,58,37,27,11,17,36,161,425,712,640,714,764,856,875,932,888,970,957,765,520,394,267,193,99,11318,17,970,,
93,0010,06/03/2020,S,53,34,17,14,25,64,236,547,767,700,738,729,816,769,945,902,809,883,632,483,381,268,157,96,11065,15,945,,
87,0031,06/03/2020,E,116,62,73,58,120,440,1288,1815,1882,1705,1472,1358,1546,1578,1867,1539,1507,1487,1266,1023,763,488,425,240,24118,09,1882,,
87,0031,06/03/2020,W,127,72,74,40,68,155,485,892,1139,1233,1392,1350,1540,1611,1760,2160,2336,1895,1511,1113,997,694,512,441,23597,17,2336,,
29,0037,06/03/2020,E,13,8,12,13,31,111,173,272,257,247,238,237,232,260,234,259,217,222,152,119,95,58,36,26,3522,08,272,,
29,0037,06/03/2020,W,10,12,15,7,23,47,114,168,159,143,208,236,241,245,304,309,346,376,254,173,112,85,66,45,3698,18,376,,
75,0038,06/03/2020,E,49,29,46,57,157,483,906,1348,1257,1232,1228,1304,1377,1337,1300,1259,1304,1364,982,758,500,331,165,90,18863,13,1377,,
75,0038,06/03/2020,W,61,44,42,46,87,248,594,859,913,926,1042,1196,1354,1400,1418,1473,1640,1654,1389,991,758,529,253,117,19034,18,1654,,
07,0039,06/03/2020,E,30,22,27,39,105,205,439,529,473,461,446,471,488,478,538,601,717,807,451,252,199,119,69,52,8018,18,807,,
07,0039,06/03/2020,W,27,15,20,28,109,460,684,677,488,496,478,497,470,496,546,539,524,505,356,222,160,144,80,37,8058,07,684,,
26,0043,06/03/2020,N,25,18,8,11,13,59,74,127,137,149,171,184,241,225,259,328,433,491,286,189,165,87,70,44,3794,18,491,,
26,0043,06/03/2020,S,14,11,9,20,35,108,405,482,314,253,233,214,237,200,198,192,241,183,203,93,91,59,43,26,3864,08,482,,
02,0044,06/03/2020,N,44,27,39,37,87,168,434,671,747,725,710,779,757,789,727,751,680,693,541,315,203,159,111,60,10254,14,789,,
02,0044,06/03/2020,S,38,30,17,36,76,167,252,387,430,479,516,572,582,589,598,641,689,676,465,314,214,144,77,56,8045,17,689,,
74,0047,06/03/2020,N,29,25,19,24,42,84,142,205,187,213,243,253,328,272,266,364,344,371,339,204,165,116,70,61,4366,18,371,,
74,0047,06/03/2020,S,21,33,27,36,77,184,257,238,239,262,282,320,282,292,281,302,338,266,237,190,138,106,73,39,4520,17,338,,
48,0048,06/03/2020,E,14,11,15,18,40,129,263,281,196,190,221,207,242,251,251,278,272,263,201,149,99,78,37,42,3748,08,281,,
48,0048,06/03/2020,W,19,3,7,10,27,48,111,125,125,126,136,164,181,166,192,217,260,282,188,118,100,58,47,29,2739,18,282,,
53,0050,06/03/2020,N,60,37,32,38,41,104,165,257,292,360,414,449,455,451,375,413,369,321,265,180,159,105,81,96,5519,13,455,,
53,0050,06/03/2020,S,55,61,53,62,115,186,305,364,390,421,417,498,521,582,626,536,500,435,360,267,253,178,134,93,7412,15,626,,
60,0051,06/03/2020,N,3,6,12,8,14,26,47,72,88,111,119,141,120,115,167,174,233,207,114,70,54,42,21,21,1985,17,233,,
60,0051,06/03/2020,S,9,9,8,13,28,148,173,194,108,105,102,121,134,141,133,154,129,103,78,70,45,18,22,12,2057,08,194,,
50,0054,06/03/2020,N,29,9,15,15,27,35,81,121,123,150,164,194,206,193,240,286,306,345,222,202,123,67,53,47,3253,18,345,,
50,0054,06/03/2020,S,16,12,16,26,35,113,285,279,168,138,172,223,215,212,200,177,187,228,188,132,89,48,53,28,3240,07,285,,
49,0060,06/03/2020,E,1,1,6,6,14,19,54,80,106,106,159,135,124,124,142,137,176,130,96,64,46,37,28,9,1800,17,176,,
49,0060,06/03/2020,W,3,8,2,1,8,32,62,96,103,130,136,138,157,135,140,138,150,112,97,71,40,31,13,13,1816,13,157,,
72,0062,06/03/2020,E,80,42,35,23,51,142,628,958,1225,1228,1291,1447,1567,1483,1369,1383,1502,1650,1372,1011,648,418,249,156,19958,18,1650,,
72,0062,06/03/2020,W,125,93,51,41,45,164,482,860,963,967,1105,1237,1427,1402,1385,1469,1557,1554,1203,1129,903,618,382,236,19398,17,1557,,
92,0065,06/03/2020,E,44,22,25,38,84,168,355,383,315,310,283,278,290,289,257,309,330,317,220,173,115,106,69,37,4817,08,383,,
92,0065,06/03/2020,W,46,26,20,31,64,158,263,246,262,259,232,292,285,271,337,315,352,446,283,224,157,103,83,45,4800,18,446,,
15,0066,06/03/2020,N,47,27,17,18,21,46,143,276,412,375,472,522,568,629,656,680,666,535,466,339,272,206,136,84,7613,16,680,,
15,0066,06/03/2020,S,48,18,10,11,12,39,156,309,402,421,472,519,582,575,591,590,564,568,462,340,270,183,102,56,7300,15,591,,
04,0068,06/03/2020,E,14,9,17,13,13,41,85,114,135,110,123,105,117,123,148,194,249,181,110,53,44,44,24,17,2083,17,249,,
04,0068,06/03/2020,W,11,6,4,14,32,123,281,187,121,109,146,125,126,139,128,120,95,74,38,24,22,16,22,10,1973,07,281,,
28,0073,06/03/2020,N,22,18,13,17,24,100,213,187,190,173,177,187,184,181,200,226,223,243,180,115,80,57,43,28,3081,18,243,,
28,0073,06/03/2020,S,12,14,15,16,41,102,211,186,176,160,203,213,188,183,219,206,228,229,185,113,95,69,34,21,3119,18,229,,
14,0079,06/03/2020,N,54,42,41,47,105,206,311,312,330,352,392,425,443,428,481,558,626,687,452,331,236,165,91,92,7207,18,687,,
14,0079,06/03/2020,S,52,38,38,73,103,245,455,536,506,505,425,477,464,432,472,507,560,508,372,250,184,145,100,69,7516,17,560,,
10,0080,06/03/2020,E,36,21,29,29,44,148,306,312,325,334,362,420,388,444,443,543,591,577,429,241,182,145,80,58,6487,17,591,,
10,0080,06/03/2020,W,36,28,33,36,83,266,492,432,354,347,376,426,458,439,407,462,507,439,304,234,173,117,69,48,6566,17,507,,
15,0086,06/03/2020,E,82,52,49,41,71,265,749,857,764,664,624,630,688,747,741,924,1176,1318,683,455,270,199,165,97,12311,18,1318,,
