COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/10/2020,N,92,47,30,29,13,34,170,446,725,782,742,856,1013,1026,984,1043,1075,1089,808,608,482,375,248,162,12879,18,1089,,
93,0010,06/10/2020,S,71,36,10,18,25,79,246,554,865,762,764,806,927,943,936,923,962,926,757,537,440,335,199,137,12258,17,962,,
87,0031,06/10/2020,E,300,148,111,97,153,545,1591,2041,2189,2082,1868,1804,1991,1942,1978,1983,1935,1864,1494,1287,1299,1088,888,539,31217,09,2189,,
87,0031,06/10/2020,W,493,248,149,92,88,150,512,956,1378,1414,1497,1657,1865,1898,2301,2579,2828,2286,2062,1925,1671,1303,987,882,31221,17,2828,,
29,0037,06/10/2020,E,19,7,15,14,34,113,161,298,265,257,245,248,257,233,226,253,212,241,158,135,89,58,45,22,3605,08,298,,
29,0037,06/10/2020,W,19,22,14,11,28,47,128,173,161,171,215,236,286,276,299,308,337,365,244,167,131,92,54,45,3829,18,365,,
75,0038,06/10/2020,E,84,48,58,64,212,492,966,1354,1281,1313,1284,1309,1349,1325,1312,1326,1382,1281,1059,724,513,414,264,145,19559,17,1382,,
75,0038,06/10/2020,W,83,86,62,60,96,248,686,836,981,1006,1136,1209,1377,1466,1477,1664,1647,1689,1347,1047,819,577,355,232,20186,18,1689,,
07,0039,06/10/2020,E,39,30,20,57,113,214,408,532,460,421,466,500,526,503,469,608,750,779,550,327,216,160,111,57,8316,18,779,,
07,0039,06/10/2020,W,31,29,21,32,105,441,683,664,484,448,450,521,495,523,513,536,557,606,415,304,187,134,69,57,8305,07,683,,
26,0043,06/10/2020,N,22,22,7,9,14,51,77,136,122,157,171,182,209,221,224,345,418,501,259,204,156,108,54,36,3705,18,501,,
26,0043,06/10/2020,S,16,10,10,16,42,89,353,441,313,258,239,212,233,213,199,212,209,196,168,104,101,81,46,22,3783,08,441,,
02,0044,06/10/2020,N,56,22,25,40,67,179,461,707,742,760,774,785,802,794,766,751,699,703,512,349,256,167,118,67,10602,13,802,,
