COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,07/01/2020,N,77,41,22,19,24,41,185,465,715,793,774,953,1057,1022,921,973,1035,1063,830,650,410,330,199,148,12747,18,1063,,
93,0010,07/01/2020,S,67,24,13,21,24,90,228,620,859,760,827,841,999,990,921,885,873,957,710,553,385,317,196,108,12268,13,999,,
87,0031,07/01/2020,E,325,189,126,107,188,564,1526,2025,2210,1956,1864,1823,1728,1822,1969,1932,1884,1820,1781,1519,1109,1034,856,578,30935,09,2210,,
87,0031,07/01/2020,W,610,366,216,143,136,219,497,1010,1351,1338,1163,1134,1122,1300,1308,1358,1484,1456,1713,1725,1743,1136,954,932,24414,21,1743,,
29,0037,07/01/2020,E,18,12,14,19,44,94,170,268,243,281,246,268,255,251,241,223,249,242,173,108,77,57,42,36,3631,10,281,,
29,0037,07/01/2020,W,16,12,18,12,27,53,121,178,172,209,230,234,249,286,290,321,333,323,276,168,154,96,50,42,3870,17,333,,
75,0038,07/01/2020,E,92,56,70,60,176,466,952,1308,1242,1211,1177,1326,1342,1359,1312,1356,1237,1285,1059,771,583,433,270,159,19302,14,1359,,
75,0038,07/01/2020,W,126,79,43,57,91,254,573,837,921,903,1076,1199,1307,1327,1414,1584,1610,1723,1345,974,767,598,375,229,19412,18,1723,,
07,0039,07/01/2020,E,47,29,32,46,114,201,425,460,513,489,454,521,499,543,533,682,752,775,581,350,261,157,87,51,8602,18,775,,
07,0039,07/01/2020,W,28,32,26,42,114,442,673,665,481,478,533,565,595,547,533,538,600,622,426,262,239,161,92,38,8732,07,673,,
26,0043,07/01/2020,N,30,12,6,10,10,55,60,139,105,135,186,232,239,240,257,318,405,509,267,189,124,100,60,37,3725,18,509,,
26,0043,07/01/2020,S,16,14,5,17,49,94,363,454,305,274,232,223,220,208,216,210,224,210,158,111,80,52,47,29,3811,08,454,,
02,0044,07/01/2020,N,60,22,26,27,83,207,422,767,789,818,820,810,762,840,690,728,696,679,562,372,281,204,160,64,10889,14,840,,
02,0044,07/01/2020,S,34,62,36,48,75,195,318,495,462,560,774,948,1207,847,895,844,918,725,498,648,374,180,214,132,11489,13,1207,,
74,0047,07/01/2020,N,27,27,23,26,40,93,152,213,224,237,293,295,325,319,284,321,382,362,333,242,175,119,67,55,4634,17,382,,
74,0047,07/01/2020,S,30,30,27,44,82,187,279,243,264,251,288,349,345,337,367,348,365,338,272,183,151,111,76,73,5040,15,367,,
48,0048,07/01/2020,E,9,5,14,8,45,124,222,218,190,194,175,150,203,165,190,188,236,226,134,89,66,66,36,23,2976,17,236,,
48,0048,07/01/2020,W,18,3,10,9,20,54,108,116,133,124,145,179,184,170,188,251,258,264,180,94,89,68,30,30,2725,18,264,,
53,0050,07/01/2020,N,55,35,39,50,56,94,180,279,326,472,525,553,528,468,437,420,401,372,282,222,191,144,97,79,6305,12,553,,
53,0050,07/01/2020,S,64,75,66,75,101,214,338,364,426,515,542,607,631,654,777,586,623,593,505,399,300,275,183,126,9039,15,777,,
60,0051,07/01/2020,N,3,6,4,10,12,25,59,109,110,141,151,206,171,132,149,165,209,207,97,86,52,45,27,14,2190,17,209,,
60,0051,07/01/2020,S,11,10,4,14,31,147,154,196,130,131,116,140,182,182,199,205,193,132,169,104,67,65,40,26,2648,16,205,,
50,0054,07/01/2020,N,39,13,19,13,31,50,84,138,140,165,177,186,200,204,240,281,324,324,214,176,117,77,57,37,3306,17,324,,
50,0054,07/01/2020,S,13,21,20,18,47,101,290,267,182,177,194,211,219,193,179,223,208,212,170,122,110,62,46,39,3324,07,290,,
