COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/08/2020,N,87,36,22,18,16,46,166,467,719,713,771,837,899,946,943,926,1078,993,795,508,421,313,194,151,12065,17,1078,,
93,0010,06/08/2020,S,62,26,12,15,31,72,236,575,816,784,715,789,896,933,908,849,890,860,657,484,406,248,150,103,11517,14,933,,
87,0031,06/08/2020,E,195,121,96,91,128,461,1348,1822,1963,1736,1581,1566,1573,1598,1623,1684,1581,1538,1479,1192,1042,730,578,331,26057,09,1963,,
87,0031,06/08/2020,W,317,191,128,106,118,183,512,982,1183,1232,1407,1532,1558,1781,2016,2259,2418,2009,1603,1312,1236,927,711,579,26300,17,2418,,
29,0037,06/08/2020,E,15,14,15,22,30,102,158,277,229,243,209,237,234,226,230,233,198,238,157,104,77,55,34,22,3359,08,277,,
29,0037,06/08/2020,W,13,13,11,15,19,39,117,162,156,154,197,219,217,244,250,291,321,358,264,138,120,86,53,35,3492,18,358,,
75,0038,06/08/2020,E,59,46,46,80,165,485,912,1343,1281,1168,1119,1288,1257,1299,1305,1389,1312,1312,1035,734,516,382,216,161,18910,16,1389,,
75,0038,06/08/2020,W,84,55,39,63,77,283,637,821,943,931,1066,1124,1249,1261,1327,1476,1696,1752,1351,1002,699,556,290,204,18986,18,1752,,
07,0039,06/08/2020,E,28,27,27,57,126,223,429,484,423,422,483,488,491,469,477,628,730,747,567,332,205,137,96,47,8143,18,747,,
07,0039,06/08/2020,W,39,22,25,39,118,437,689,644,501,461,440,452,484,568,477,512,556,603,351,251,189,123,74,35,8090,07,689,,
26,0043,06/08/2020,N,20,10,8,5,10,56,73,119,121,150,171,232,207,218,250,303,439,466,262,182,148,87,66,40,3643,18,466,,
26,0043,06/08/2020,S,13,9,10,13,39,106,333,454,344,252,238,229,223,191,211,231,203,186,147,130,84,74,46,15,3781,08,454,,
02,0044,06/08/2020,N,57,35,41,42,63,179,420,618,661,656,676,680,748,759,749,698,740,708,552,390,226,167,95,72,10032,14,759,,
02,0044,06/08/2020,S,50,30,17,43,85,160,281,375,411,462,496,520,544,565,607,596,648,683,471,299,259,155,88,53,7898,18,683,,
74,0047,06/08/2020,N,19,20,16,18,38,100,129,175,157,199,252,259,267,282,265,317,341,336,257,173,152,114,87,44,4017,17,341,,
74,0047,06/08/2020,S,25,16,15,39,68,176,236,221,211,258,245,254,265,287,296,282,289,252,189,173,144,90,53,38,4122,15,296,,
48,0048,06/08/2020,E,11,3,12,5,42,109,226,245,155,182,178,171,188,171,192,194,189,203,142,92,82,44,32,16,2884,08,245,,
48,0048,06/08/2020,W,11,10,8,9,18,48,93,114,100,120,139,157,141,164,171,228,274,224,148,134,84,56,34,33,2518,17,274,,
53,0050,06/08/2020,N,50,19,19,30,40,96,176,253,289,385,404,460,391,403,350,410,382,317,218,185,141,129,93,83,5323,12,460,,
53,0050,06/08/2020,S,46,48,41,50,141,187,308,362,338,391,463,499,532,593,634,506,465,391,344,287,195,176,111,90,7198,15,634,,
60,0051,06/08/2020,N,6,4,8,8,15,32,47,58,93,103,128,142,125,121,142,131,187,215,127,83,47,40,25,26,1913,18,215,,
60,0051,06/08/2020,S,5,6,6,16,29,139,150,166,135,103,123,108,131,135,123,119,117,102,65,54,43,20,27,13,1935,08,166,,
