COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/10/2020,N,63,44,20,13,17,20,50,106,173,307,348,426,465,462,481,484,433,483,398,354,265,185,94,78,5769,16,484,,
93,0010,05/10/2020,S,112,14,52,157,147,141,165,175,203,223,260,314,309,311,311,332,327,356,287,235,202,173,146,137,5089,18,356,,
87,0031,05/10/2020,E,234,138,94,80,79,182,319,388,273,358,437,660,923,1011,1049,1046,1109,1040,1009,764,623,563,445,270,13094,17,1109,,
87,0031,05/10/2020,W,277,155,122,99,68,124,174,314,302,428,449,756,998,1091,1143,1135,1068,1073,1069,758,601,517,438,313,13472,15,1143,,
29,0037,05/10/2020,E,20,14,6,15,13,26,38,68,68,105,145,168,214,155,133,174,171,161,114,134,90,63,50,34,2179,13,214,,
29,0037,05/10/2020,W,19,12,18,9,11,24,36,44,50,90,130,168,185,220,209,179,184,190,169,129,96,74,44,30,2320,14,220,,
75,0038,05/10/2020,E,112,77,52,38,49,89,169,281,444,623,797,869,970,949,1063,930,960,916,793,687,545,446,284,150,12293,15,1063,,
75,0038,05/10/2020,W,128,88,53,47,41,72,151,243,368,558,684,790,988,1069,1094,1070,979,883,875,736,600,455,351,164,12487,15,1094,,
07,0039,05/10/2020,E,43,37,17,23,18,33,73,154,222,356,416,425,460,495,472,488,439,391,307,262,206,147,81,43,5608,14,495,,
07,0039,05/10/2020,W,50,47,31,27,33,59,80,117,192,288,376,471,535,510,464,408,394,379,357,312,282,152,119,61,5744,13,535,,
26,0043,05/10/2020,N,23,17,8,7,12,16,15,47,51,71,107,133,170,184,166,201,176,174,160,132,120,79,46,31,2146,16,201,,
26,0043,05/10/2020,S,19,12,5,12,14,27,70,60,79,82,120,187,167,201,191,182,195,148,167,115,115,92,54,19,2333,14,201,,
02,0044,05/10/2020,N,41,35,19,19,23,45,124,185,331,435,589,701,752,690,640,547,562,482,404,339,239,187,102,69,7560,13,752,,
02,0044,05/10/2020,S,43,30,15,17,17,40,66,110,190,348,481,613,679,636,595,645,590,579,443,379,269,194,118,67,7164,13,679,,
74,0047,05/10/2020,N,29,21,13,16,6,40,28,63,106,170,236,297,335,308,352,310,337,297,241,206,132,146,68,43,3800,15,352,,
74,0047,05/10/2020,S,35,29,25,15,27,29,57,49,122,172,247,282,317,339,326,330,337,307,274,242,176,139,84,51,4011,14,339,,
48,0048,05/10/2020,E,19,10,15,7,10,30,50,65,116,145,210,267,273,280,275,276,272,235,196,176,154,111,76,50,3318,14,280,,
48,0048,05/10/2020,W,19,9,2,7,7,21,25,42,66,124,141,221,220,198,230,203,178,160,150,122,90,66,39,22,2362,15,230,,
53,0050,05/10/2020,N,47,25,22,17,24,36,87,138,207,347,494,544,548,482,414,406,386,388,339,279,209,173,100,74,5786,13,548,,
53,0050,05/10/2020,S,53,33,27,30,38,40,93,141,241,339,388,440,464,502,472,481,441,376,322,280,234,137,95,64,5731,14,502,,
60,0051,05/10/2020,N,14,7,2,2,9,18,27,36,83,101,149,176,178,164,133,139,137,158,106,91,83,45,28,9,1895,13,178,,
60,0051,05/10/2020,S,9,3,3,5,16,17,28,35,51,115,137,150,137,118,119,124,129,128,113,70,75,38,15,14,1649,12,150,,
50,0054,05/10/2020,N,23,9,19,12,12,14,21,52,78,116,159,165,218,225,214,206,198,209,155,140,124,87,42,24,2522,14,225,,
50,0054,05/10/2020,S,14,5,10,10,13,24,52,47,73,104,163,168,207,205,211,216,218,211,197,165,136,99,65,34,2647,17,218,,
49,0060,05/10/2020,E,10,4,5,5,3,5,18,30,49,112,124,160,151,151,194,191,226,219,186,142,96,56,18,11,2166,17,226,,
49,0060,05/10/2020,W,8,4,2,0,6,14,25,22,42,84,132,173,223,197,161,134,124,85,91,53,39,26,14,10,1669,13,223,,
72,0062,05/10/2020,E,124,109,50,34,31,63,226,281,425,601,856,963,1045,1110,1056,1061,1052,1079,899,752,575,336,223,126,13077,14,1110,,
72,0062,05/10/2020,W,194,128,77,48,35,45,135,266,399,541,764,890,1024,981,963,1010,978,927,894,909,839,432,259,146,12884,13,1024,,
92,0065,05/10/2020,E,40,25,20,11,23,39,49,117,136,179,251,332,348,348,338,281,247,286,237,220,176,130,98,63,3994,13,348,,
92,0065,05/10/2020,W,62,28,25,16,24,35,58,75,102,193,219,254,287,273,329,327,291,334,323,330,233,158,117,63,4156,18,334,,
15,0066,05/10/2020,N,59,22,15,13,10,23,44,80,183,284,407,456,520,566,523,525,558,436,415,402,269,147,92,42,6091,14,566,,
15,0066,05/10/2020,S,43,27,14,16,7,28,59,121,212,267,365,476,558,572,582,610,588,497,422,359,262,188,91,48,6412,16,610,,
04,0068,05/10/2020,E,13,20,8,11,4,8,22,35,53,75,103,113,135,110,146,119,125,113,104,64,49,34,23,21,1508,15,146,,
04,0068,05/10/2020,W,12,8,9,7,14,12,37,46,71,90,109,128,112,118,122,124,103,101,100,92,64,40,25,18,1562,12,128,,
14,0079,05/10/2020,N,69,56,31,30,50,38,73,113,173,260,410,433,461,442,469,472,450,424,367,317,268,188,127,77,5798,16,472,,
14,0079,05/10/2020,S,72,43,42,22,41,44,104,111,228,303,413,456,528,475,457,457,452,384,392,334,279,195,141,86,6059,13,528,,
10,0080,05/10/2020,E,56,47,29,25,20,22,48,78,108,229,317,311,382,359,378,365,348,299,252,239,202,172,89,63,4438,13,382,,
10,0080,05/10/2020,W,39,42,20,22,22,33,64,87,160,209,318,387,422,390,404,385,370,311,282,243,215,168,75,47,4715,13,422,,
15,0086,05/10/2020,E,180,95,83,41,27,52,72,140,181,333,462,590,669,747,704,649,682,553,461,446,392,287,171,85,8102,14,747,,
15,0086,05/10/2020,W,162,122,52,45,25,49,102,174,236,338,477,605,671,706,683,652,607,518,439,348,317,197,134,90,7749,14,706,,
93,0087,05/10/2020,E,4,6,5,8,3,19,65,123,178,181,238,272,263,248,280,225,248,235,187,121,72,32,26,13,3052,15,280,,
93,0087,05/10/2020,W,27,7,4,10,4,9,29,90,153,197,217,243,314,307,346,304,300,296,268,212,182,68,45,23,3655,15,346,,
03,0094,05/10/2020,E,109,65,41,34,15,46,108,218,299,485,536,777,930,932,944,988,909,806,703,620,472,384,245,120,10786,16,988,,
03,0094,05/10/2020,W,61,54,37,27,41,141,224,275,434,601,717,955,1010,1031,1017,937,822,789,628,521,352,287,170,83,11214,14,1031,,
87,0096,05/10/2020,N,171,127,88,63,47,85,169,250,206,215,303,378,456,488,504,472,489,507,530,446,405,353,305,227,7284,19,530,,
87,0096,05/10/2020,S,142,88,79,45,28,60,131,196,193,238,340,361,384,423,396,451,414,507,390,385,364,262,229,182,6288,18,507,,
93,0101,05/10/2020,E,226,179,96,63,73,160,337,536,747,921,1291,1580,1575,1679,1665,1598,1506,1357,1243,1007,828,589,367,261,19884,14,1679,,
93,0101,05/10/2020,W,226,155,97,69,65,121,265,486,718,1151,1274,1624,1668,1857,1771,1584,1574,1364,1177,892,760,507,361,252,20018,14,1857,,
77,0102,05/10/2020,N,127,96,45,40,40,51,111,272,429,674,848,1001,1062,1098,1116,987,923,938,807,720,561,363,251,146,12706,15,1116,,
77,0102,05/10/2020,S,139,98,62,42,52,86,154,321,502,680,884,1033,1005,1133,979,1030,898,880,799,672,543,358,211,134,12695,14,1133,,
75,0104,05/10/2020,E,139,79,36,45,34,77,108,187,338,463,644,816,926,1000,893,909,804,715,655,547,445,336,209,125,10530,14,1000,,
75,0104,05/10/2020,W,121,82,60,45,47,73,87,160,287,429,551,642,796,735,744,792,745,841,797,766,727,551,316,199,10593,18,841,,
76,0105,05/10/2020,N,57,31,28,28,33,69,134,188,264,406,509,585,580,596,582,500,509,518,397,330,308,206,118,49,7025,14,596,,
76,0105,05/10/2020,S,77,59,55,35,15,23,76,95,139,227,412,478,564,613,561,597,525,516,463,379,346,241,133,81,6710,14,613,,
87,0108,05/10/2020,E,248,162,102,59,87,261,647,502,523,565,764,916,1014,1065,1175,1144,1073,1087,1108,904,760,644,535,287,15632,15,1175,,
87,0108,05/10/2020,W,274,137,111,75,77,106,288,505,470,575,805,1141,1158,1154,1256,1221,1083,1021,999,860,677,546,399,363,15301,15,1256,,
32,0112,05/10/2020,N,217,183,170,130,145,186,275,514,683,885,1176,1218,1341,1310,1200,1088,1076,1033,801,736,602,507,357,313,16146,13,1341,,
32,0112,05/10/2020,S,243,218,218,175,182,207,270,343,533,685,843,978,1103,1252,1293,1289,1270,1160,971,864,738,561,459,303,16158,15,1293,,
70,0113,05/10/2020,E,122,98,43,39,56,78,141,242,303,452,693,909,1043,1129,1042,1098,1072,891,734,579,466,322,211,128,11891,14,1129,,
70,0113,05/10/2020,W,161,111,52,34,59,55,152,218,304,463,673,894,1043,1140,1167,1168,1112,1082,946,842,678,519,310,180,13363,16,1168,,
70,0114,05/10/2020,N,35,22,8,12,20,47,93,102,145,174,285,372,383,388,350,378,312,312,279,223,165,108,51,41,4305,14,388,,
