COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/18/2020,N,55,23,13,15,10,34,149,438,630,637,727,785,868,854,836,785,871,727,547,355,221,171,133,75,9959,17,871,,
93,0010,05/18/2020,S,46,11,13,16,21,65,219,511,705,671,660,742,846,822,842,742,726,640,509,348,241,169,109,50,9724,13,846,,
87,0031,05/18/2020,E,122,90,83,54,96,409,1173,1613,1562,1398,1190,1150,1218,1209,1329,1236,1258,1257,1050,744,420,386,331,185,19563,08,1613,,
87,0031,05/18/2020,W,238,95,76,45,52,185,393,830,933,1014,1168,1205,1353,1473,1647,1936,1992,1668,1201,959,475,464,398,322,20122,17,1992,,
29,0037,05/18/2020,E,13,11,15,21,38,86,142,284,251,225,251,209,214,247,240,227,243,221,141,118,59,33,33,18,3340,08,284,,
29,0037,05/18/2020,W,16,11,15,14,19,45,109,163,156,167,175,234,259,243,238,308,295,310,226,156,117,86,51,39,3452,18,310,,
75,0038,05/18/2020,E,82,56,67,78,171,412,898,1259,1153,1126,1125,1282,1150,1139,1172,1266,1174,1245,936,607,483,343,220,156,17600,12,1282,,
75,0038,05/18/2020,W,99,69,56,75,74,239,583,784,826,912,1015,1136,1231,1213,1274,1513,1659,1687,1195,845,661,472,326,215,18159,18,1687,,
07,0039,05/18/2020,E,33,27,21,50,120,224,425,513,451,425,452,417,524,464,455,560,677,792,497,242,173,99,62,39,7742,18,792,,
07,0039,05/18/2020,W,31,25,21,44,108,470,664,669,512,450,438,394,481,453,441,529,582,585,362,180,148,90,55,35,7767,08,669,,
26,0043,05/18/2020,N,17,8,11,3,10,31,65,132,120,153,180,191,210,211,248,311,374,449,253,159,144,73,43,44,3440,18,449,,
26,0043,05/18/2020,S,12,12,8,15,35,104,289,452,319,239,214,222,239,238,178,196,220,157,162,98,71,42,30,20,3572,08,452,,
02,0044,05/18/2020,N,42,26,21,35,73,159,379,614,709,665,576,620,691,671,621,644,647,531,405,307,197,139,78,55,8905,09,709,,
02,0044,05/18/2020,S,44,18,24,27,75,153,259,371,406,456,525,525,529,486,552,556,578,657,408,275,195,111,67,52,7349,18,657,,
74,0047,05/18/2020,N,19,22,15,20,33,91,122,176,185,207,263,248,275,283,292,315,354,340,295,191,127,111,59,41,4084,17,354,,
74,0047,05/18/2020,S,27,23,27,41,72,153,247,227,259,279,275,268,296,264,289,276,264,253,216,162,132,94,56,44,4244,13,296,,
48,0048,05/18/2020,E,8,6,7,13,37,118,224,224,190,211,225,259,261,272,291,296,270,279,175,107,66,54,43,24,3660,16,296,,
48,0048,05/18/2020,W,13,11,12,8,36,40,99,120,120,106,112,141,154,172,161,174,239,230,151,100,74,44,25,25,2367,17,239,,
53,0050,05/18/2020,N,55,20,28,24,56,100,198,260,265,381,409,505,422,378,335,359,305,321,247,191,127,103,65,82,5236,12,505,,
53,0050,05/18/2020,S,50,34,58,43,98,203,296,332,328,361,362,396,452,532,492,464,423,382,305,211,146,136,92,73,6269,14,532,,
60,0051,05/18/2020,N,12,7,3,11,18,32,44,66,89,92,118,120,134,129,115,151,193,179,107,73,45,28,30,18,1814,17,193,,
60,0051,05/18/2020,S,7,7,4,10,27,123,159,168,115,130,88,87,107,85,95,91,93,77,63,42,38,28,11,11,1666,08,168,,
50,0054,05/18/2020,N,17,16,12,9,21,39,63,120,107,129,152,165,162,199,197,238,294,319,213,130,111,59,31,43,2846,18,319,,
50,0054,05/18/2020,S,13,15,20,23,35,96,273,271,149,143,168,180,179,153,179,171,173,182,142,104,74,71,45,19,2878,07,273,,
49,0060,05/18/2020,E,6,3,3,5,18,19,54,83,112,116,122,141,123,126,125,98,107,105,81,45,27,30,12,11,1572,12,141,,
49,0060,05/18/2020,W,7,4,9,2,8,28,67,81,95,77,87,117,113,127,91,103,115,111,64,36,32,25,13,10,1422,14,127,,
72,0062,05/18/2020,E,77,48,20,24,42,138,559,870,1084,1056,1093,1202,1272,1274,1179,1201,1328,1362,1149,802,544,318,244,131,17017,18,1362,,
72,0062,05/18/2020,W,127,75,40,28,43,141,395,771,850,888,1051,1083,1256,1157,1182,1278,1241,1270,1036,954,812,471,300,162,16611,16,1278,,
92,0065,05/18/2020,E,43,20,13,34,65,206,421,387,326,352,338,324,288,269,265,271,290,283,218,127,112,86,44,32,4814,07,421,,
92,0065,05/18/2020,W,52,32,18,29,62,160,236,276,262,223,301,298,284,296,283,339,349,404,287,187,127,100,61,48,4714,18,404,,
15,0066,05/18/2020,N,40,28,17,11,19,65,140,287,357,342,440,456,522,522,567,520,464,422,345,300,332,228,97,67,6588,15,567,,
15,0066,05/18/2020,S,34,22,14,4,12,40,133,310,307,308,328,415,463,525,497,467,436,457,378,358,269,203,116,47,6143,14,525,,
04,0068,05/18/2020,E,17,5,10,16,23,39,87,128,131,130,249,166,129,142,139,186,202,200,103,71,47,28,18,18,2284,11,249,,
04,0068,05/18/2020,W,10,7,7,10,43,138,279,286,158,152,126,136,152,155,135,117,144,126,80,47,35,30,16,14,2403,08,286,,
14,0079,05/18/2020,N,49,41,40,57,92,216,341,366,303,414,417,403,430,435,474,581,598,641,435,293,229,134,100,80,7169,18,641,,
14,0079,05/18/2020,S,44,38,32,59,99,245,448,581,457,460,411,379,452,431,476,451,493,466,374,294,179,119,80,69,7137,08,581,,
10,0080,05/18/2020,E,25,27,17,22,35,134,244,285,296,339,357,374,376,356,433,466,547,479,373,260,170,124,82,47,5868,17,547,,
10,0080,05/18/2020,W,29,24,15,30,70,239,471,420,346,351,341,339,379,388,415,432,427,412,310,225,172,129,93,52,6109,07,471,,
15,0086,05/18/2020,E,72,42,22,39,52,257,641,825,690,532,560,551,599,604,590,706,680,760,561,416,275,181,124,85,9864,08,825,,
15,0086,05/18/2020,W,72,34,43,20,64,176,503,721,701,541,552,534,583,624,748,868,836,819,545,369,304,195,142,90,10084,16,868,,
93,0087,05/18/2020,E,13,5,4,6,12,56,203,534,741,647,515,497,507,505,416,385,308,287,220,113,66,40,38,22,6140,09,741,,
93,0087,05/18/2020,W,19,6,6,3,14,27,62,182,325,384,440,548,628,684,709,814,795,522,327,193,154,116,67,32,7057,16,814,,
03,0094,05/18/2020,E,73,43,26,18,44,105,309,660,744,917,1091,1296,1444,1371,1476,1749,1831,1685,764,569,400,344,233,155,17347,17,1831,,
03,0094,05/18/2020,W,52,41,35,29,91,318,962,1389,1285,1230,1403,1377,1496,1522,1470,1359,1208,1015,523,447,313,253,175,80,18073,14,1522,,
87,0096,05/18/2020,N,179,129,91,85,197,368,701,810,665,680,663,624,671,766,793,913,1021,916,714,519,360,272,253,146,12536,17,1021,,
87,0096,05/18/2020,S,193,127,70,83,87,214,555,652,612,604,656,643,670,714,694,884,878,860,592,353,293,234,206,146,11020,16,884,,
93,0101,05/18/2020,E,155,86,62,101,208,604,1563,2239,2126,1820,1896,2063,2114,2121,1960,2023,1893,1814,1280,845,561,398,301,179,28412,08,2239,,
93,0101,05/18/2020,W,173,107,79,95,158,424,1190,1521,1568,1662,1832,1884,2027,2156,2071,2143,2440,2491,1832,1121,721,478,346,269,28788,18,2491,,
77,0102,05/18/2020,N,89,53,53,44,67,183,383,624,649,778,918,1103,1177,1153,1150,1144,1266,1310,1050,863,607,380,254,160,15458,18,1310,,
77,0102,05/18/2020,S,80,79,59,59,87,297,638,898,817,934,904,1144,1115,1101,1074,1091,1051,1133,894,736,484,323,238,124,15360,12,1144,,
