COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,04/17/2020,N,34,26,14,22,24,31,118,336,481,510,562,634,728,692,761,770,723,670,511,382,272,214,125,68,8708,16,770,,
93,0010,04/17/2020,S,24,16,7,13,13,41,164,390,511,489,602,613,669,675,683,677,664,715,519,412,266,152,91,59,8465,18,715,,
87,0031,04/17/2020,E,77,38,44,45,104,335,897,1270,1175,1096,935,853,1004,981,1093,992,1042,1081,959,743,637,427,314,211,16353,08,1270,,
87,0031,04/17/2020,W,108,49,31,36,52,129,308,583,689,789,930,946,1136,1203,1313,1582,1562,1335,1074,858,721,561,388,287,16670,16,1582,,
29,0037,04/17/2020,E,13,9,12,13,28,70,106,217,211,181,186,217,210,202,216,244,205,235,152,116,92,45,30,29,3039,16,244,,
29,0037,04/17/2020,W,18,5,9,7,24,41,98,133,142,147,156,202,227,229,273,259,280,279,245,151,116,68,37,35,3181,17,280,,
75,0038,04/17/2020,E,30,17,27,34,98,227,492,626,572,546,668,726,789,763,725,828,754,701,579,434,337,239,159,105,10476,16,828,,
75,0038,04/17/2020,W,79,57,67,56,77,179,472,704,665,714,858,1017,1211,1218,1266,1323,1391,1397,1079,881,656,417,322,195,16301,18,1397,,
07,0039,04/17/2020,E,20,25,32,41,55,191,351,410,416,356,342,448,502,504,556,555,626,690,456,311,189,133,73,45,7327,18,690,,
07,0039,04/17/2020,W,22,19,13,44,96,369,521,515,405,385,289,439,463,494,471,497,509,584,401,286,218,112,93,52,7297,18,584,,
26,0043,04/17/2020,N,20,8,7,11,17,29,58,108,125,127,171,200,250,259,300,288,344,359,222,170,141,81,56,32,3383,18,359,,
26,0043,04/17/2020,S,10,18,6,14,33,71,254,316,252,213,198,258,205,236,235,225,235,201,176,111,87,42,50,28,3474,08,316,,
02,0044,04/17/2020,N,33,15,21,27,60,116,323,496,538,529,635,682,661,708,723,699,707,639,533,387,281,137,84,46,9080,15,723,,
02,0044,04/17/2020,S,28,18,18,27,37,121,217,292,302,339,399,434,480,473,523,583,568,548,360,298,176,122,91,53,6507,16,583,,
74,0047,04/17/2020,N,19,17,21,21,49,80,87,170,159,194,226,252,246,293,299,333,314,283,287,198,161,107,77,42,3935,16,333,,
74,0047,04/17/2020,S,21,15,27,37,52,137,208,196,159,179,183,242,252,291,254,259,282,269,223,199,129,107,75,50,3846,14,291,,
48,0048,04/17/2020,E,19,11,12,14,28,109,235,217,153,187,187,168,192,212,210,243,242,228,190,138,97,78,55,38,3263,16,243,,
48,0048,04/17/2020,W,14,5,8,3,23,40,117,102,111,106,130,152,191,189,177,240,226,227,153,118,75,43,44,19,2513,16,240,,
53,0050,04/17/2020,N,37,27,16,31,40,57,146,161,174,202,230,234,266,276,268,331,302,245,207,143,94,70,56,45,3658,16,331,,
53,0050,04/17/2020,S,45,32,30,37,89,142,242,275,221,216,268,273,332,284,347,312,315,309,259,186,165,85,50,37,4551,15,347,,
60,0051,04/17/2020,N,3,7,4,6,13,43,26,45,45,64,66,86,114,106,141,155,173,163,111,77,50,31,25,20,1574,17,173,,
60,0051,04/17/2020,S,2,8,12,11,26,72,132,105,86,76,96,99,109,93,98,137,117,98,82,44,42,27,11,12,1595,16,137,,
50,0054,04/17/2020,N,17,13,11,14,22,35,60,103,105,120,133,178,160,204,193,259,294,289,198,172,122,49,33,30,2814,17,294,,
50,0054,04/17/2020,S,8,5,10,21,30,80,243,236,148,114,159,148,112,186,158,160,168,206,156,144,111,51,33,25,2712,07,243,,
49,0060,04/17/2020,E,3,3,2,0,8,11,43,56,51,73,68,87,88,127,103,109,103,106,75,39,33,16,10,5,1219,14,127,,
49,0060,04/17/2020,W,8,1,2,2,12,24,40,86,61,68,74,86,91,98,100,108,94,94,78,60,36,27,16,11,1277,16,108,,
72,0062,04/17/2020,E,62,31,21,17,34,78,411,694,773,821,903,956,1099,1044,1062,1115,1321,1430,1143,815,484,311,176,156,14957,18,1430,,
72,0062,04/17/2020,W,57,33,19,21,26,106,323,585,601,689,788,974,1132,979,998,1052,1111,1113,1102,1088,821,399,214,156,14387,13,1132,,
92,0065,04/17/2020,E,21,25,20,22,42,139,316,294,198,199,193,222,285,255,266,287,301,277,243,171,135,108,61,40,4120,07,316,,
92,0065,04/17/2020,W,29,20,16,30,35,109,192,208,167,181,185,226,228,248,255,325,347,365,271,190,149,103,63,40,3982,18,365,,
15,0066,04/17/2020,N,19,15,9,8,12,31,87,174,243,286,385,398,430,453,470,447,505,417,322,328,243,113,80,45,5520,17,505,,
