COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/17/2020,N,100,63,30,23,12,24,66,112,177,289,430,581,677,687,707,693,592,614,492,398,331,246,168,111,7623,15,707,,
93,0010,05/17/2020,S,81,47,36,17,17,28,89,148,203,327,379,505,589,576,633,686,577,564,466,414,303,224,137,88,7134,16,686,,
87,0031,05/17/2020,E,286,161,125,88,84,208,400,435,480,675,825,1102,1406,1521,1690,1287,1054,1142,1183,1114,717,585,397,241,17206,15,1690,,
87,0031,05/17/2020,W,355,210,133,101,78,143,204,358,342,522,762,1040,1228,1370,1477,1843,1332,1085,1149,1168,1093,831,555,418,17797,16,1843,,
29,0037,05/17/2020,E,23,14,5,15,12,31,53,83,93,111,145,171,169,152,169,137,157,154,121,118,81,65,39,17,2135,12,171,,
29,0037,05/17/2020,W,45,22,11,6,11,26,43,43,58,105,144,128,162,179,181,186,194,181,176,131,103,79,47,46,2307,17,194,,
75,0038,05/17/2020,E,133,83,55,34,63,102,199,259,450,675,900,949,1058,1063,1137,1045,906,915,810,649,576,395,258,152,12866,15,1137,,
75,0038,05/17/2020,W,133,86,46,53,40,71,139,251,362,543,721,904,1063,1176,1037,1079,984,935,981,745,631,460,313,184,12937,14,1176,,
07,0039,05/17/2020,E,48,38,23,25,37,58,100,173,271,388,442,456,473,518,478,468,498,465,350,292,215,164,97,51,6128,14,518,,
07,0039,05/17/2020,W,124,95,55,48,27,55,113,175,234,310,434,535,530,591,485,466,438,391,348,327,271,162,107,53,6374,14,591,,
26,0043,05/17/2020,N,25,15,7,13,11,16,26,53,76,79,129,130,146,170,171,177,171,159,148,130,128,87,52,28,2147,16,177,,
26,0043,05/17/2020,S,26,8,10,15,11,21,66,61,87,124,145,175,203,178,212,158,147,136,128,110,109,55,40,24,2249,15,212,,
02,0044,05/17/2020,N,66,33,19,24,26,82,195,252,431,596,785,862,869,738,684,609,507,488,407,320,254,159,114,62,8582,13,869,,
02,0044,05/17/2020,S,57,33,17,19,32,41,51,161,233,385,510,673,702,698,822,838,762,624,540,449,271,188,121,66,8293,16,838,,
74,0047,05/17/2020,N,81,23,22,18,12,32,44,90,139,175,239,251,375,337,320,331,359,339,313,270,221,161,73,46,4271,13,375,,
74,0047,05/17/2020,S,39,21,14,20,16,46,52,66,115,226,343,365,397,362,404,362,355,323,253,227,184,118,72,40,4420,15,404,,
48,0048,05/17/2020,E,62,41,13,11,13,21,46,75,118,172,195,224,319,319,346,326,284,260,202,177,157,76,62,34,3553,15,346,,
48,0048,05/17/2020,W,30,13,12,10,6,15,36,48,81,114,142,207,190,181,201,175,176,149,125,93,94,45,33,26,2202,12,207,,
53,0050,05/17/2020,N,80,37,43,29,31,52,67,156,267,436,547,584,610,582,476,447,488,443,356,299,232,167,106,59,6594,13,610,,
53,0050,05/17/2020,S,70,50,23,35,39,80,103,196,284,444,457,535,531,596,506,516,444,346,299,238,212,107,106,60,6277,14,596,,
