COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
"93","0010",3/31/2020,"N",26,14,12,5,12,38,153,369,485,521,490,565,656,607,631,625,660,614,450,367,235,150,82,73,7840,"17",660,,
"93","0010",3/31/2020,"S",32,7,10,9,11,35,170,430,502,503,558,556,598,580,623,577,565,589,497,333,243,151,77,58,7714,"15",623,,
"87","0031",3/31/2020,"E",56,27,29,44,99,407,1018,1389,1189,933,867,852,888,851,928,807,800,829,717,617,439,439,321,166,14712,"08",1389,,
"87","0031",3/31/2020,"W",105,55,42,28,50,130,307,610,663,764,772,940,966,1016,1222,1442,1516,1109,865,714,489,447,293,220,14765,"17",1516,,
"29","0037",3/31/2020,"E",6,7,16,14,33,83,132,233,206,163,177,169,166,177,181,209,184,186,105,77,50,26,20,17,2637,"08",233,,
"29","0037",3/31/2020,"W",22,5,11,7,21,40,112,152,137,137,163,181,197,171,220,239,265,266,179,98,68,35,27,32,2785,"18",266,,
"75","0038",3/31/2020,"E",34,34,31,47,118,375,765,1045,880,789,761,844,1011,947,899,963,980,979,706,567,367,223,180,77,13622,"08",1045,,
"75","0038",3/31/2020,"W",46,32,41,46,72,197,492,700,683,683,731,883,1003,957,1037,1123,1249,1248,830,666,453,327,218,117,13834,"17",1249,,
"07","0039",3/31/2020,"E",19,32,29,44,84,172,427,411,436,403,408,413,417,445,415,481,643,646,406,226,143,102,60,21,6883,"18",646,,
"07","0039",3/31/2020,"W",26,27,15,43,106,390,592,556,425,379,397,380,413,392,402,402,446,543,334,235,152,87,92,34,6868,"07",592,,
"26","0043",3/31/2020,"N",17,12,10,9,14,36,65,133,121,153,161,198,204,222,233,341,372,349,177,118,86,50,31,31,3143,"17",372,,
"26","0043",3/31/2020,"S",5,5,8,16,41,104,331,344,263,193,216,211,218,202,192,177,211,145,112,75,50,31,25,18,3193,"08",344,,
"02","0044",3/31/2020,"N",28,18,27,30,70,176,388,569,577,603,554,663,621,579,559,585,549,548,340,250,166,112,62,25,8099,"12",663,,
"02","0044",3/31/2020,"S",34,24,18,39,51,143,234,289,362,372,385,470,465,439,465,465,511,534,311,228,164,89,51,32,6175,"18",534,,
"74","0047",3/31/2020,"N",19,23,21,26,39,87,134,165,153,198,190,208,232,244,242,243,280,245,203,132,77,71,36,30,3298,"17",280,,
"74","0047",3/31/2020,"S",18,14,23,33,66,161,228,198,217,215,182,210,232,247,237,247,273,215,143,115,94,61,49,35,3513,"17",273,,
"48","0048",3/31/2020,"E",8,15,6,20,30,143,240,225,184,168,146,137,143,140,169,183,189,197,154,95,86,47,30,16,2771,"07",240,,
"48","0048",3/31/2020,"W",10,4,4,8,21,39,99,93,103,95,95,97,113,120,148,204,238,211,145,82,64,28,26,14,2061,"17",238,,
"53","0050",3/31/2020,"N",40,32,25,29,34,77,127,181,189,207,232,259,250,255,274,285,239,224,155,126,87,57,45,50,3479,"16",285,,
"53","0050",3/31/2020,"S",31,29,30,50,91,142,258,252,246,207,245,253,232,222,234,225,225,231,185,149,99,70,76,47,3829,"07",258,,
"60","0051",3/31/2020,"N",5,2,6,7,13,29,44,51,54,48,69,83,87,73,87,127,160,144,74,59,39,16,10,10,1297,"17",160,,
"60","0051",3/31/2020,"S",9,7,8,7,24,104,159,139,93,82,71,76,61,49,59,70,73,65,46,37,19,18,8,10,1294,"07",159,,
"50","0054",3/31/2020,"N",23,10,9,14,20,43,75,129,110,132,119,143,168,182,164,234,240,277,166,143,76,39,16,26,2558,"18",277,,
"50","0054",3/31/2020,"S",7,16,15,21,33,84,255,276,162,137,144,145,150,142,154,130,138,147,130,85,75,40,31,13,2530,"08",276,,
"49","0060",3/31/2020,"E",5,0,5,1,15,12,38,50,60,82,67,75,115,84,94,74,104,78,36,23,23,13,3,4,1061,"13",115,,
"49","0060",3/31/2020,"W",3,0,3,3,4,29,45,86,72,92,78,75,70,68,65,88,75,61,59,30,14,8,4,5,1037,"10",92,,
"72","0062",3/31/2020,"E",37,47,27,16,44,81,417,685,818,733,774,888,999,944,904,1006,963,978,726,412,276,161,118,82,12136,"16",1006,,
"72","0062",3/31/2020,"W",46,29,29,18,24,129,376,610,617,628,716,829,1006,941,872,971,999,985,777,455,288,204,109,94,11752,"13",1006,,
"92","0065",3/31/2020,"E",22,11,19,27,46,169,348,321,236,220,237,221,249,199,225,234,243,227,195,112,74,65,37,23,3760,"07",348,,
"92","0065",3/31/2020,"W",29,18,19,28,39,143,223,182,188,182,208,222,226,254,234,270,338,343,222,120,119,61,46,22,3736,"18",343,,
"15","0066",3/31/2020,"N",14,14,4,5,3,12,33,157,285,316,318,415,408,423,447,416,416,354,266,214,154,76,57,29,4836,"15",447,,
"15","0066",3/31/2020,"S",10,11,17,5,3,34,101,214,270,290,313,331,372,399,412,382,378,369,294,232,136,70,37,29,4709,"15",412,,
"04","0068",3/31/2020,"E",14,7,13,8,46,46,100,115,143,152,133,131,132,131,133,156,176,215,120,58,56,30,14,19,2148,"18",215,,
"04","0068",3/31/2020,"W",10,7,10,20,44,137,247,206,132,140,141,116,177,168,119,124,131,116,69,50,35,30,25,16,2270,"07",247,,
"14","0079",3/31/2020,"N",39,45,32,44,87,196,303,288,324,319,338,370,398,400,450,561,592,643,414,259,215,139,80,76,6612,"18",643,,
"14","0079",3/31/2020,"S",33,28,38,64,105,230,423,504,447,354,349,402,410,395,395,401,530,402,321,249,149,101,67,40,6437,"17",530,,
"10","0080",3/31/2020,"E",30,8,15,25,54,108,219,249,226,257,286,295,331,322,350,382,473,452,334,271,186,114,60,40,5087,"17",473,,
"10","0080",3/31/2020,"W",32,20,6,27,63,244,414,350,298,285,299,337,359,336,359,396,381,418,289,238,163,117,52,21,5504,"18",418,,
"15","0086",3/31/2020,"E",46,27,13,33,51,208,562,690,513,437,472,536,535,549,552,634,680,657,498,370,238,147,100,64,8612,"08",690,,
"15","0086",3/31/2020,"W",37,28,16,20,55,154,478,645,612,492,463,536,578,596,599,783,798,663,489,284,216,135,113,73,8863,"17",798,,
"93","0087",3/31/2020,"E",6,2,2,12,12,41,161,494,592,514,452,443,393,384,353,307,291,300,210,154,67,31,25,22,5268,"09",592,,
"93","0087",3/31/2020,"W",15,2,1,2,15,13,62,165,270,313,411,464,505,525,599,684,760,472,328,292,194,54,37,34,6217,"17",760,,
"03","0094",3/31/2020,"E",48,24,19,30,36,71,285,565,649,746,971,1041,1150,1072,1158,1244,1290,1186,733,503,408,254,147,118,13748,"17",1290,,
"03","0094",3/31/2020,"W",46,31,25,44,106,318,829,1220,999,959,1087,1104,1200,1125,1032,1014,930,783,617,443,306,212,134,64,14628,"08",1220,,
"87","0096",3/31/2020,"N",82,65,45,99,140,375,646,715,558,520,580,569,614,672,696,799,777,753,617,489,420,344,229,164,10968,"16",799,,
"87","0096",3/31/2020,"S",82,48,47,60,104,256,522,537,494,454,483,500,552,587,661,811,701,756,539,412,349,247,199,120,9521,"16",811,,
"93","0101",3/31/2020,"E",129,62,62,95,170,593,1464,1962,1840,1492,1536,1608,1613,1638,1616,1725,1788,1656,1264,854,606,441,269,163,24646,"08",1962,,
