COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/21/2020,N,64,34,22,22,13,28,167,443,639,662,721,776,848,822,817,847,898,845,661,518,359,284,147,134,10771,17,898,,
93,0010,05/21/2020,S,46,32,22,15,22,71,257,562,743,705,737,793,885,859,828,849,889,848,636,456,382,210,192,98,11137,17,889,,
87,0031,05/21/2020,E,198,109,86,62,133,408,1115,1707,1671,1493,1400,1374,1383,1339,1413,1295,1321,1304,1284,1198,1046,784,631,377,23131,08,1707,,
87,0031,05/21/2020,W,237,139,87,67,82,169,414,797,1086,1169,1213,1402,1493,1604,1824,2001,2163,1660,1356,1147,1121,801,646,506,23184,17,2163,,
29,0037,05/21/2020,E,7,11,11,21,32,102,165,282,241,224,227,201,245,226,219,225,264,234,162,122,76,57,37,22,3413,08,282,,
29,0037,05/21/2020,W,18,12,14,10,29,54,95,174,146,172,183,231,261,219,268,327,301,317,232,197,144,87,62,44,3597,16,327,,
75,0038,05/21/2020,E,85,44,46,80,156,440,897,1283,1254,1136,1140,1303,1357,1391,1278,1336,1289,1414,964,742,539,363,275,156,18968,18,1414,,
75,0038,05/21/2020,W,120,69,34,64,80,235,630,803,914,905,1024,1210,1372,1353,1360,1667,1688,1769,1299,979,751,488,346,211,19371,18,1769,,
07,0039,05/21/2020,E,34,25,28,47,102,223,458,484,545,497,453,471,510,496,523,603,715,757,577,308,214,142,96,52,8360,18,757,,
07,0039,05/21/2020,W,37,23,15,36,119,438,675,615,452,489,520,473,497,553,550,512,699,572,391,272,235,121,75,60,8429,17,699,,
26,0043,05/21/2020,N,19,12,14,5,18,39,54,129,119,154,177,170,244,216,262,339,364,456,280,211,151,95,68,32,3628,18,456,,
26,0043,05/21/2020,S,11,11,7,15,47,101,338,411,330,217,225,217,224,230,225,197,203,199,171,130,103,48,44,26,3730,08,411,,
02,0044,05/21/2020,N,36,29,24,50,76,155,425,729,739,752,784,859,849,859,824,833,820,724,570,441,305,187,117,70,11257,12,859,,
02,0044,05/21/2020,S,32,28,28,25,66,159,261,391,416,463,537,554,563,655,659,633,762,729,489,339,252,171,96,89,8397,17,762,,
74,0047,05/21/2020,N,32,23,19,35,49,98,134,199,209,211,271,274,309,332,288,328,337,366,314,243,175,133,64,66,4509,18,366,,
74,0047,05/21/2020,S,26,26,19,36,75,170,283,215,237,280,252,267,313,307,340,364,374,319,253,185,157,114,80,42,4734,17,374,,
48,0048,05/21/2020,E,16,5,7,18,36,125,256,275,188,249,286,303,309,354,330,327,305,363,285,207,137,123,76,40,4620,18,363,,
48,0048,05/21/2020,W,19,11,5,14,31,48,116,110,123,136,134,152,178,182,180,224,280,277,186,142,89,69,47,32,2785,17,280,,
53,0050,05/21/2020,N,47,38,37,37,33,91,204,256,285,347,356,384,373,404,348,364,378,321,270,192,159,128,87,89,5228,14,404,,
53,0050,05/21/2020,S,73,42,67,56,104,167,304,358,404,519,571,541,708,686,789,744,733,669,650,573,524,381,280,162,10105,15,789,,
60,0051,05/21/2020,N,9,7,8,6,15,36,52,61,83,91,111,97,106,104,143,144,221,174,128,85,62,41,35,24,1843,17,221,,
60,0051,05/21/2020,S,11,5,13,13,26,129,145,164,118,97,131,129,129,178,187,218,190,181,129,122,107,105,60,36,2623,16,218,,
50,0054,05/21/2020,N,25,23,21,15,27,43,75,136,133,141,170,175,232,182,190,266,314,342,239,195,122,72,42,48,3228,18,342,,
50,0054,05/21/2020,S,15,22,19,21,34,106,275,264,154,163,153,171,199,223,195,188,205,226,182,142,131,87,55,37,3267,07,275,,
49,0060,05/21/2020,E,2,1,5,3,9,16,53,65,93,127,113,115,142,116,103,153,147,170,96,73,50,53,27,9,1741,18,170,,
49,0060,05/21/2020,W,4,8,5,3,10,31,68,94,116,109,110,160,139,165,175,159,177,161,110,99,82,58,39,16,2098,17,177,,
