COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,04/24/2020,N,35,25,10,9,9,30,121,360,507,519,541,639,749,730,744,740,679,679,528,381,266,187,118,85,8691,13,749,,
93,0010,04/24/2020,S,32,20,11,9,15,37,161,397,531,542,585,674,734,759,731,730,655,656,547,411,278,166,127,68,8876,14,759,,
87,0031,04/24/2020,E,108,54,50,46,76,346,950,1197,1251,1097,986,995,1096,1125,1175,1017,1100,1162,1011,845,631,483,403,243,17447,09,1251,,
87,0031,04/24/2020,W,124,59,51,49,49,147,303,659,666,812,999,1027,1233,1331,1437,1708,1735,1421,1176,950,752,588,428,324,18028,17,1735,,
29,0037,04/24/2020,E,13,10,15,12,38,56,101,209,202,174,181,198,203,179,181,199,233,212,162,125,76,54,47,31,2911,17,233,,
29,0037,04/24/2020,W,16,14,20,12,26,41,87,139,134,140,155,172,208,226,269,264,270,258,211,156,100,63,39,36,3056,17,270,,
75,0038,04/24/2020,E,68,39,31,53,141,336,654,930,882,825,922,985,1117,1033,1010,1011,1029,953,714,559,419,296,228,154,14389,13,1117,,
75,0038,04/24/2020,W,83,57,31,41,87,212,417,602,637,714,784,948,1064,1229,1178,1211,1308,1299,974,740,490,370,251,160,14887,17,1308,,
07,0039,04/24/2020,E,32,22,23,66,104,177,386,418,480,446,436,493,538,494,598,615,689,633,491,295,180,120,61,56,7853,17,689,,
07,0039,04/24/2020,W,33,30,22,45,103,256,401,467,337,327,361,408,401,436,491,491,434,503,387,279,224,138,74,58,6706,18,503,,
26,0043,04/24/2020,N,16,13,13,10,8,34,52,96,117,122,152,185,236,233,235,301,338,337,227,180,113,70,36,29,3153,17,338,,
26,0043,04/24/2020,S,16,8,7,12,33,68,226,295,237,201,211,223,233,217,203,200,215,182,151,117,92,47,38,27,3259,08,295,,
02,0044,04/24/2020,N,32,26,24,28,56,134,254,422,526,532,562,591,626,645,644,663,638,557,485,315,201,117,79,55,8212,16,663,,
02,0044,04/24/2020,S,32,25,22,27,41,86,159,252,247,328,363,413,443,414,494,477,494,504,323,257,148,102,75,53,5779,18,504,,
74,0047,04/24/2020,N,22,15,16,16,34,79,114,147,148,166,242,262,314,332,302,375,353,337,286,195,167,112,69,54,4157,16,375,,
74,0047,04/24/2020,S,26,7,12,24,54,128,178,194,184,183,210,201,281,270,316,301,304,295,217,161,132,92,86,62,3918,15,316,,
48,0048,04/24/2020,E,12,6,9,12,33,109,250,220,187,193,257,224,222,210,246,264,242,232,215,158,140,86,45,37,3609,16,264,,
48,0048,04/24/2020,W,9,7,5,5,28,41,103,104,118,128,148,181,188,206,195,291,257,228,176,152,84,47,32,29,2762,16,291,,
53,0050,04/24/2020,N,34,27,24,38,40,69,154,158,187,230,282,289,299,308,316,353,298,284,242,163,125,92,72,64,4148,16,353,,
53,0050,04/24/2020,S,37,24,31,46,99,148,247,291,263,326,333,333,405,396,441,410,385,399,334,249,202,130,94,66,5689,15,441,,
60,0051,04/24/2020,N,5,3,9,4,11,29,42,42,78,63,91,101,107,139,144,151,152,183,120,86,65,32,22,20,1699,18,183,,
60,0051,04/24/2020,S,4,6,12,8,26,82,136,121,105,117,130,134,111,106,117,121,150,122,113,75,56,40,25,14,1931,17,150,,
50,0054,04/24/2020,N,21,12,13,14,16,36,57,95,118,127,181,158,162,195,215,278,274,307,228,177,137,67,47,27,2962,18,307,,
50,0054,04/24/2020,S,9,6,7,17,28,79,225,233,126,126,121,181,178,182,185,191,198,201,180,120,118,66,45,23,2845,08,233,,
49,0060,04/24/2020,E,5,1,3,2,6,13,35,69,60,61,77,84,105,115,101,140,112,95,67,55,29,17,10,4,1266,16,140,,
49,0060,04/24/2020,W,6,3,3,0,12,31,51,78,80,51,75,95,117,99,106,132,95,135,109,63,46,25,16,9,1437,18,135,,
72,0062,04/24/2020,E,53,34,25,17,30,81,380,674,760,749,855,957,1080,1070,1038,1063,1168,1177,975,714,475,277,204,138,13994,18,1177,,
