COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,04/12/2020,N,31,22,10,12,3,11,41,87,139,200,266,307,395,437,443,393,408,366,313,273,221,123,80,61,4642,15,443,,
93,0010,04/12/2020,S,30,9,7,8,5,12,47,73,129,192,260,324,363,406,411,397,355,318,332,236,215,107,82,42,4360,15,411,,
87,0031,04/12/2020,E,77,55,51,22,51,183,305,326,289,372,472,561,683,725,893,832,824,792,757,623,474,381,300,141,10189,15,893,,
87,0031,04/12/2020,W,106,66,40,41,33,78,177,254,237,275,437,560,733,814,868,886,828,789,794,706,508,396,294,227,10147,16,886,,
29,0037,04/12/2020,E,9,6,11,6,13,14,28,51,49,104,81,103,92,126,104,99,115,101,95,102,56,44,33,16,1458,14,126,,
29,0037,04/12/2020,W,23,10,9,5,11,12,48,35,42,59,93,125,122,117,107,105,114,116,102,71,66,41,28,29,1490,12,125,,
75,0038,04/12/2020,E,39,19,14,19,22,47,75,126,177,246,306,374,437,424,414,402,395,401,363,318,283,205,125,66,5297,13,437,,
75,0038,04/12/2020,W,72,29,31,15,21,61,126,173,262,343,466,538,668,705,674,633,632,609,548,504,411,276,203,99,8099,14,705,,
07,0039,04/12/2020,E,21,18,13,13,13,24,70,79,179,194,278,330,330,278,334,275,256,216,176,157,141,63,49,18,3525,15,334,,
07,0039,04/12/2020,W,33,16,11,18,20,30,62,81,127,170,237,333,321,327,309,298,243,253,252,222,178,118,58,40,3757,12,333,,
26,0043,04/12/2020,N,14,10,9,8,7,14,22,47,63,67,106,118,105,128,136,141,110,106,90,91,84,47,35,28,1586,16,141,,
26,0043,04/12/2020,S,14,13,4,10,9,21,66,41,64,61,88,94,112,137,134,117,109,107,132,112,78,47,45,24,1639,14,137,,
02,0044,04/12/2020,N,27,20,17,12,18,27,95,103,198,243,336,445,462,429,388,313,332,270,230,238,160,87,63,29,4542,13,462,,
02,0044,04/12/2020,S,26,19,18,18,23,23,42,66,101,189,240,325,422,416,390,400,336,312,322,261,205,100,52,30,4336,13,422,,
74,0047,04/12/2020,N,18,20,8,6,12,28,25,49,57,82,120,129,160,152,165,159,168,142,123,135,83,65,51,25,1982,17,168,,
74,0047,04/12/2020,S,21,18,9,11,9,25,37,45,48,105,116,157,179,197,203,165,180,191,151,135,109,82,59,28,2280,15,203,,
48,0048,04/12/2020,E,11,12,13,9,14,15,30,46,74,94,101,155,133,131,139,173,122,100,110,87,66,35,28,8,1706,16,173,,
48,0048,04/12/2020,W,17,7,6,7,5,9,22,32,41,89,72,117,119,125,119,108,96,92,76,75,48,30,19,13,1344,14,125,,
53,0050,04/12/2020,N,24,10,7,15,12,10,31,57,73,111,122,138,140,158,131,156,147,125,115,94,68,29,19,17,1809,14,158,,
53,0050,04/12/2020,S,23,19,12,6,14,18,48,63,73,102,134,162,164,178,181,169,174,156,154,119,95,63,50,31,2208,15,181,,
60,0051,04/12/2020,N,6,5,2,6,5,6,12,21,32,70,74,60,75,52,64,62,44,55,33,31,18,14,19,9,775,13,75,,
60,0051,04/12/2020,S,4,7,3,7,15,18,14,17,32,51,58,63,69,57,62,71,74,56,39,24,21,19,14,9,804,17,74,,
50,0054,04/12/2020,N,9,5,4,5,10,16,17,44,49,74,101,95,103,129,144,138,117,114,109,113,68,37,17,20,1538,15,144,,
50,0054,04/12/2020,S,10,7,7,7,14,22,47,30,51,71,80,123,113,139,161,141,134,138,130,95,104,47,31,21,1723,15,161,,
49,0060,04/12/2020,E,3,2,0,1,4,5,13,18,25,27,42,46,59,71,59,69,76,49,54,23,23,11,6,4,690,17,76,,
49,0060,04/12/2020,W,3,2,1,1,5,15,13,13,25,28,39,43,47,63,44,43,47,54,28,24,15,12,5,7,577,14,63,,
72,0062,04/12/2020,E,65,37,27,23,18,35,171,160,232,325,419,535,620,611,651,577,534,507,471,424,310,191,124,76,7143,15,651,,
72,0062,04/12/2020,W,67,41,32,23,21,45,118,202,230,335,426,474,641,579,578,545,512,470,442,421,334,199,134,73,6942,13,641,,
92,0065,04/12/2020,E,9,6,8,13,11,36,62,70,88,105,156,224,190,177,191,191,161,141,158,113,106,80,55,35,2386,12,224,,
92,0065,04/12/2020,W,24,12,10,11,19,24,38,56,86,87,149,158,155,170,193,196,217,184,192,160,150,93,54,45,2483,17,217,,
15,0066,04/12/2020,N,36,10,5,13,11,18,36,66,145,185,255,352,411,440,432,436,356,317,279,256,166,96,65,34,4420,14,440,,
15,0066,04/12/2020,S,20,8,8,9,6,9,39,62,122,176,256,384,452,431,439,476,377,308,259,286,155,86,42,23,4433,16,476,,
04,0068,04/12/2020,E,5,5,4,6,4,10,16,17,28,43,51,77,85,107,74,78,85,74,65,49,29,25,14,16,967,14,107,,
04,0068,04/12/2020,W,9,5,6,5,6,12,19,30,34,50,77,90,85,79,92,92,81,59,66,55,42,38,28,16,1076,15,92,,
14,0079,04/12/2020,N,39,31,17,17,44,37,68,97,157,213,273,328,375,369,342,329,298,270,301,259,211,120,74,59,4328,13,375,,
14,0079,04/12/2020,S,35,22,18,30,25,45,80,95,148,197,265,303,322,361,373,348,348,361,289,281,234,171,83,65,4499,15,373,,
10,0080,04/12/2020,E,21,16,15,9,14,19,35,68,107,168,174,224,269,244,277,251,226,237,208,229,174,127,67,45,3224,15,277,,
10,0080,04/12/2020,W,34,23,7,12,16,28,48,80,110,163,224,236,304,286,286,275,235,253,240,181,198,114,71,27,3451,13,304,,
15,0086,04/12/2020,E,72,33,22,19,17,46,71,97,126,196,299,357,407,449,519,446,410,407,432,327,273,190,119,59,5393,15,519,,
15,0086,04/12/2020,W,55,25,26,11,18,37,97,155,141,213,329,396,465,517,497,434,416,379,369,295,236,174,105,54,5444,14,517,,
93,0087,04/12/2020,E,7,2,1,6,2,16,67,82,104,136,149,158,216,219,242,224,215,167,190,132,53,21,24,12,2445,15,242,,
93,0087,04/12/2020,W,15,2,2,4,3,7,36,83,110,116,152,190,234,263,304,297,319,275,234,178,146,40,26,15,3051,17,319,,
03,0094,04/12/2020,E,36,38,17,17,17,32,94,180,234,350,429,554,565,573,652,573,524,483,421,373,286,201,141,76,6866,15,652,,
03,0094,04/12/2020,W,39,34,21,19,29,90,146,235,321,400,487,598,560,664,702,606,548,475,467,388,294,184,108,60,7475,15,702,,
87,0096,04/12/2020,N,99,72,43,38,48,60,190,180,161,217,234,318,415,401,376,388,395,413,405,346,348,382,302,167,5998,13,415,,
