COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,04/26/2020,N,59,17,26,9,10,24,55,100,172,234,302,431,469,484,345,352,348,325,331,264,188,144,75,66,4830,14,484,,
93,0010,04/26/2020,S,48,21,17,13,8,24,66,110,150,252,312,371,445,459,330,346,326,302,297,261,205,136,76,40,4615,14,459,,
87,0031,04/26/2020,E,150,87,57,55,66,205,305,360,329,456,584,749,891,1034,1136,826,635,773,849,730,563,425,331,196,11792,15,1136,,
87,0031,04/26/2020,W,171,111,60,60,55,119,190,281,294,374,536,703,883,945,1105,1104,755,763,841,779,619,513,376,295,11932,15,1105,,
29,0037,04/26/2020,E,18,14,13,7,9,26,38,70,67,106,130,134,160,141,137,161,152,108,103,115,70,44,40,24,1887,16,161,,
29,0037,04/26/2020,W,23,6,9,8,8,28,44,42,51,91,113,144,143,175,184,175,152,133,126,110,91,59,43,29,1987,15,184,,
75,0038,04/26/2020,E,76,42,34,42,52,100,178,255,416,538,661,809,882,989,927,852,830,778,707,578,456,337,225,93,10857,14,989,,
75,0038,04/26/2020,W,91,58,40,62,58,106,163,253,323,494,616,778,920,960,964,960,842,765,736,556,492,355,250,133,10975,15,964,,
07,0039,04/26/2020,E,29,20,15,18,24,39,83,137,205,260,394,335,362,336,376,334,339,338,224,187,131,81,46,26,4339,11,394,,
07,0039,04/26/2020,W,42,27,16,14,36,76,104,134,175,231,319,373,376,343,347,364,336,261,276,229,205,106,87,37,4514,13,376,,
26,0043,04/26/2020,N,25,15,9,7,6,25,20,52,71,89,141,138,162,200,193,149,187,166,124,145,90,67,33,26,2140,14,200,,
26,0043,04/26/2020,S,26,13,6,11,12,27,72,68,92,115,127,194,155,162,177,175,171,154,139,110,92,55,49,16,2218,12,194,,
02,0044,04/26/2020,N,35,35,22,15,18,76,144,222,298,415,587,599,662,648,604,518,456,404,333,246,178,108,61,40,6724,13,662,,
02,0044,04/26/2020,S,47,32,23,15,31,35,63,94,156,254,342,439,530,587,565,636,562,557,418,320,251,126,80,45,6208,16,636,,
74,0047,04/26/2020,N,32,13,11,12,9,29,36,66,91,119,180,198,242,223,250,225,214,199,195,162,128,96,59,44,2833,15,250,,
74,0047,04/26/2020,S,26,15,18,16,29,43,43,71,86,143,188,238,247,293,303,270,259,235,208,173,148,100,50,42,3244,15,303,,
48,0048,04/26/2020,E,27,22,18,9,15,26,53,77,96,136,173,214,202,258,238,222,196,176,147,140,112,62,36,30,2685,14,258,,
48,0048,04/26/2020,W,19,14,3,8,7,19,42,49,68,108,137,157,187,206,160,171,150,142,118,108,67,37,26,20,2023,14,206,,
53,0050,04/26/2020,N,35,29,17,12,18,21,69,72,143,190,253,292,323,312,308,296,273,212,193,169,122,80,55,41,3535,13,323,,
53,0050,04/26/2020,S,40,23,27,21,36,46,79,94,134,198,238,313,310,314,327,328,307,253,212,161,143,114,69,52,3839,16,328,,
60,0051,04/26/2020,N,5,2,2,4,7,15,18,32,69,90,96,122,115,129,129,98,105,103,81,51,48,32,17,12,1382,14,129,,
60,0051,04/26/2020,S,5,5,5,3,17,17,25,36,54,74,86,89,106,128,116,104,112,82,99,73,34,30,5,6,1311,14,128,,
50,0054,04/26/2020,N,29,17,15,3,18,17,23,37,66,100,125,115,147,159,141,180,174,150,140,130,100,47,24,25,1982,16,180,,
50,0054,04/26/2020,S,25,9,4,8,10,29,53,40,62,111,116,137,165,168,170,191,144,162,136,121,107,71,37,17,2093,16,191,,
49,0060,04/26/2020,E,7,8,4,1,6,6,20,32,30,56,58,89,101,126,140,136,138,115,95,64,32,32,11,2,1309,15,140,,
49,0060,04/26/2020,W,7,5,5,2,8,14,20,23,43,67,78,115,103,125,137,104,73,66,57,32,25,13,14,10,1146,15,137,,
72,0062,04/26/2020,E,77,60,34,21,32,79,250,278,508,746,708,833,943,991,928,948,1017,1140,953,616,403,229,142,94,12030,18,1140,,
72,0062,04/26/2020,W,108,60,41,25,34,40,129,271,358,605,806,1034,925,907,816,830,786,817,949,982,816,334,192,119,11984,12,1034,,
92,0065,04/26/2020,E,20,18,12,11,32,48,81,128,134,182,290,356,347,377,306,298,244,250,190,131,120,84,54,33,3746,14,377,,
92,0065,04/26/2020,W,55,28,43,34,37,32,49,63,106,148,156,212,255,276,338,324,381,368,299,244,207,137,70,45,3907,17,381,,
15,0066,04/26/2020,N,38,31,10,12,12,18,35,66,169,227,322,405,446,602,632,601,512,428,353,296,213,107,66,46,5647,15,632,,
15,0066,04/26/2020,S,29,18,5,9,10,27,43,89,143,213,328,479,526,604,647,577,486,398,348,258,173,81,45,25,5561,15,647,,
04,0068,04/26/2020,E,19,9,5,5,8,8,21,35,36,59,81,101,105,112,112,138,108,87,100,91,60,42,21,13,1376,16,138,,
04,0068,04/26/2020,W,9,6,10,8,12,23,49,48,43,58,98,99,122,118,143,124,117,135,87,74,46,38,32,16,1515,15,143,,
14,0079,04/26/2020,N,64,43,23,43,51,66,108,141,194,273,330,409,471,483,418,384,351,371,298,217,200,152,92,79,5261,14,483,,
14,0079,04/26/2020,S,64,34,32,19,33,56,76,108,176,232,321,419,442,462,433,436,427,397,365,283,232,183,89,67,5386,14,462,,
10,0080,04/26/2020,E,47,25,19,13,16,26,43,79,116,155,243,339,482,494,385,314,327,260,271,227,177,127,91,36,4312,14,494,,
10,0080,04/26/2020,W,45,25,19,19,21,34,78,88,139,206,264,334,399,398,360,354,327,345,275,230,214,114,81,54,4423,13,399,,
15,0086,04/26/2020,E,138,64,32,24,24,48,105,118,171,261,387,460,636,642,561,597,599,539,438,387,294,184,151,85,6945,14,642,,
15,0086,04/26/2020,W,78,60,36,30,20,54,137,162,218,319,428,583,654,687,643,564,563,414,398,278,211,155,161,104,6957,14,687,,
93,0087,04/26/2020,E,10,5,0,8,4,21,73,117,163,178,229,236,269,216,179,184,189,211,186,137,61,34,32,18,2760,13,269,,
93,0087,04/26/2020,W,20,7,3,5,8,9,35,84,118,158,187,281,334,320,240,217,260,217,233,225,172,61,45,27,3266,13,334,,
03,0094,04/26/2020,E,43,30,27,27,24,44,115,229,278,363,482,621,700,511,561,618,590,610,457,425,330,186,156,94,7521,13,700,,
03,0094,04/26/2020,W,49,34,30,30,47,112,218,248,365,493,582,638,742,462,612,659,604,564,498,402,280,185,147,79,8080,13,742,,
87,0096,04/26/2020,N,150,91,69,44,65,77,156,230,178,222,275,302,396,437,493,399,336,406,454,335,354,316,301,163,6249,15,493,,
87,0096,04/26/2020,S,118,80,58,41,40,65,146,195,183,205,302,292,367,416,466,362,318,379,384,319,313,256,281,193,5779,15,466,,
93,0101,04/26/2020,E,150,79,70,72,67,158,332,473,655,899,1261,1470,1627,1223,1187,1116,1084,977,882,748,600,422,283,196,16031,13,1627,,
93,0101,04/26/2020,W,196,121,73,54,69,118,280,430,552,951,1142,1390,1649,1416,1201,1190,1085,1005,900,727,576,405,281,255,16066,13,1649,,
77,0102,04/26/2020,N,92,66,45,36,28,60,93,192,356,527,700,842,961,1037,1049,963,940,916,752,663,513,296,212,120,11459,15,1049,,
77,0102,04/26/2020,S,94,54,49,44,47,80,143,254,394,572,718,868,987,993,964,963,909,882,733,610,425,280,202,107,11372,14,993,,
75,0104,04/26/2020,E,66,32,32,33,34,118,224,242,323,464,606,782,857,888,829,764,667,599,521,413,333,272,159,98,9356,14,888,,
75,0104,04/26/2020,W,72,50,39,35,37,71,98,135,215,353,415,556,673,658,746,811,799,763,783,660,488,323,188,96,9064,16,811,,
76,0105,04/26/2020,N,42,32,21,16,36,95,131,199,283,376,525,550,569,556,607,529,469,510,377,311,228,165,109,49,6785,15,607,,
76,0105,04/26/2020,S,75,37,27,26,17,36,90,99,154,283,381,541,580,605,602,544,511,435,455,360,254,197,115,59,6483,14,605,,
87,0108,04/26/2020,E,155,76,64,47,72,229,594,506,443,593,665,753,890,964,1198,850,741,774,944,723,543,465,425,196,12910,15,1198,,
87,0108,04/26/2020,W,183,87,66,70,53,104,245,486,427,490,636,795,872,998,1171,1060,760,739,812,835,602,464,364,322,12641,15,1171,,
32,0112,04/26/2020,N,185,132,110,114,126,141,237,438,633,769,940,1028,1057,1022,975,883,826,648,563,498,435,318,298,212,12588,13,1057,,
32,0112,04/26/2020,S,176,166,135,146,129,155,187,266,374,492,655,700,916,934,746,739,749,599,505,404,346,252,196,149,10116,14,934,,
70,0113,04/26/2020,E,70,64,27,35,44,74,163,249,314,545,717,912,1079,1017,1057,890,840,723,601,464,334,232,123,96,10670,13,1079,,
70,0113,04/26/2020,W,126,66,44,36,43,60,144,244,292,505,691,916,936,1149,1133,1076,1120,947,818,713,546,333,212,132,12282,14,1149,,
