COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,10,4/14/2020,N,27,18,10,10,6,42,145,323,432,481,534,591,644,691,652,580,658,603,517,354,246,138,109,76,7887,14,691,,
93,10,4/14/2020,S,19,8,4,8,11,40,164,377,482,483,487,572,659,628,584,630,626,629,442,338,225,154,77,48,7695,13,659,,
87,31,4/14/2020,E,96,40,46,50,107,487,1323,1431,1135,1000,887,882,947,904,920,837,808,921,780,655,510,321,292,134,15513,8,1431,,
87,31,4/14/2020,W,94,56,32,35,38,126,319,637,621,724,779,900,1003,1122,1244,1490,1466,1131,953,746,617,473,311,218,15135,16,1490,,
29,37,4/14/2020,E,5,2,12,17,30,76,122,214,176,125,145,154,182,171,171,167,197,188,105,82,40,27,23,14,2445,8,214,,
29,37,4/14/2020,W,10,5,17,8,19,42,111,136,120,121,132,174,185,162,213,224,240,264,169,106,63,33,26,25,2605,18,264,,
75,38,4/14/2020,E,28,26,22,42,92,254,531,644,558,516,530,611,645,614,579,675,694,631,505,354,275,156,127,64,9173,17,694,,
75,38,4/14/2020,W,91,73,40,56,73,232,504,744,633,672,770,888,993,989,1058,1161,1272,1284,938,661,495,349,207,131,14314,18,1284,,
7,39,4/14/2020,E,23,12,21,49,89,196,402,436,398,347,352,423,404,428,429,452,644,593,385,227,151,77,59,32,6629,17,644,,
7,39,4/14/2020,W,33,12,13,39,91,402,599,523,366,360,384,416,438,396,440,461,448,519,321,206,156,82,57,44,6806,7,599,,
26,43,4/14/2020,N,13,12,8,3,11,34,58,103,92,106,125,149,169,190,207,242,313,358,186,147,96,58,29,24,2733,18,358,,
26,43,4/14/2020,S,5,8,3,13,33,88,263,324,199,159,165,157,174,163,174,157,186,152,139,108,58,33,28,15,2804,8,324,,
2,44,4/14/2020,N,24,25,31,26,54,142,339,496,532,501,545,543,557,603,593,562,526,475,357,246,165,95,72,26,7535,14,603,,
2,44,4/14/2020,S,20,22,17,34,56,137,257,286,306,375,355,395,450,437,426,456,462,491,329,206,142,78,48,37,5822,18,491,,
74,47,4/14/2020,N,25,19,13,17,29,82,120,161,166,161,195,213,238,226,206,245,255,244,223,110,77,69,38,36,3168,17,255,,
74,47,4/14/2020,S,23,17,19,29,61,151,205,193,187,160,157,181,186,233,253,228,259,194,139,122,91,49,65,35,3237,17,259,,
48,48,4/14/2020,E,10,9,8,16,34,136,261,221,172,184,178,166,171,198,179,197,211,210,152,111,94,48,38,20,3024,7,261,,
48,48,4/14/2020,W,18,8,2,10,24,47,109,102,109,121,130,147,150,144,170,201,265,211,154,96,72,30,24,10,2354,17,265,,
53,50,4/14/2020,N,32,36,20,23,35,78,137,194,178,212,208,245,236,273,228,268,239,250,162,105,82,63,49,51,3404,14,273,,
53,50,4/14/2020,S,26,29,30,35,83,137,260,223,235,222,212,274,272,258,262,231,259,253,173,146,78,63,69,48,3878,12,274,,
60,51,4/14/2020,N,6,2,5,3,12,32,40,57,63,85,68,77,102,94,113,132,168,144,94,74,30,28,24,15,1468,17,168,,
60,51,4/14/2020,S,3,3,6,13,33,100,137,142,101,81,86,72,76,80,82,86,83,70,66,39,33,14,7,5,1418,8,142,,
