COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,04/25/2020,N,46,28,15,12,15,22,55,163,259,395,453,591,603,612,621,588,523,516,437,361,266,219,141,98,7039,15,621,,
93,0010,04/25/2020,S,50,24,21,12,17,26,58,163,268,352,511,547,587,583,590,579,559,529,485,329,301,186,133,87,6997,15,590,,
87,0031,04/25/2020,E,130,78,50,50,65,224,436,567,514,629,674,825,982,1068,1123,1111,1125,1071,1042,952,750,556,419,242,14683,17,1125,,
87,0031,04/25/2020,W,162,89,71,52,51,112,224,366,435,535,780,909,1077,1126,1303,1301,1168,1151,1070,990,874,652,529,335,15362,15,1303,,
29,0037,04/25/2020,E,11,7,10,9,16,21,67,96,131,169,196,202,183,204,137,146,157,148,130,118,84,55,52,28,2377,14,204,,
29,0037,04/25/2020,W,25,12,14,5,17,23,73,70,79,107,155,185,196,208,185,198,175,186,149,129,84,68,49,44,2436,14,208,,
75,0038,04/25/2020,E,59,45,23,40,59,149,287,423,588,848,982,1081,1148,1069,1122,1016,1071,942,853,739,599,480,290,151,14064,13,1148,,
75,0038,04/25/2020,W,73,38,19,35,40,85,248,404,479,714,880,1021,1178,1238,1149,1149,1047,1039,910,782,680,483,271,181,14143,14,1238,,
07,0039,04/25/2020,E,34,21,19,24,35,68,147,200,287,372,432,472,524,483,478,433,438,438,311,248,192,152,74,48,5930,13,524,,
07,0039,04/25/2020,W,34,31,21,27,34,91,205,231,231,295,363,448,438,457,411,307,333,334,272,261,225,142,92,43,5326,14,457,,
26,0043,04/25/2020,N,20,8,6,5,7,32,31,55,73,127,192,232,232,237,222,238,203,211,173,128,125,78,47,29,2711,16,238,,
26,0043,04/25/2020,S,17,13,0,11,15,32,95,101,170,187,209,256,235,213,219,214,202,170,150,119,111,68,44,31,2882,12,256,,
02,0044,04/25/2020,N,31,22,20,30,33,85,189,286,410,564,651,766,704,726,683,607,516,447,386,287,231,144,83,61,7962,12,766,,
02,0044,04/25/2020,S,32,23,11,19,20,54,89,145,174,327,376,487,452,508,505,535,524,417,405,301,269,130,99,52,5954,16,535,,
74,0047,04/25/2020,N,39,18,21,25,27,45,67,105,151,209,253,263,298,273,226,206,215,203,186,169,141,105,60,52,3357,13,298,,
74,0047,04/25/2020,S,32,23,22,16,32,50,87,105,143,168,210,252,256,261,274,258,265,239,224,158,162,123,98,38,3496,15,274,,
48,0048,04/25/2020,E,25,10,13,6,13,44,86,136,156,158,225,216,271,247,237,242,230,210,186,143,115,75,62,44,3150,13,271,,
48,0048,04/25/2020,W,24,8,10,5,10,23,63,62,125,167,187,183,199,209,200,202,171,150,147,113,70,57,34,26,2445,14,209,,
53,0050,04/25/2020,N,38,17,22,32,36,50,77,127,161,203,265,253,271,257,217,235,220,179,172,127,110,79,60,54,3262,13,271,,
53,0050,04/25/2020,S,51,39,37,27,49,80,130,136,177,239,270,307,339,361,387,358,281,244,227,161,110,95,59,45,4209,15,387,,
60,0051,04/25/2020,N,6,6,4,8,12,17,19,38,81,88,117,104,116,100,109,98,106,104,64,75,53,37,20,26,1408,11,117,,
60,0051,04/25/2020,S,7,7,7,10,23,28,49,64,91,100,121,105,113,103,105,111,120,105,75,64,52,42,24,9,1535,11,121,,
50,0054,04/25/2020,N,20,11,9,16,12,31,29,67,98,123,173,190,209,180,168,216,196,155,152,153,123,48,40,31,2450,16,216,,
50,0054,04/25/2020,S,7,7,14,14,10,48,92,95,105,134,156,189,201,179,169,178,152,200,164,126,118,58,41,31,2488,13,201,,
49,0060,04/25/2020,E,3,4,3,2,6,2,30,33,48,55,76,91,80,124,94,136,129,124,102,74,52,32,17,9,1326,16,136,,
49,0060,04/25/2020,W,6,5,2,3,5,20,31,39,42,85,97,134,168,143,155,104,92,96,71,40,30,18,9,14,1409,13,168,,
72,0062,04/25/2020,E,90,57,31,16,38,89,339,439,649,803,900,1047,1117,1102,1046,1035,1117,1332,1211,810,529,340,233,156,14526,18,1332,,
72,0062,04/25/2020,W,90,62,34,30,25,75,143,320,481,672,956,1129,1099,1032,957,918,885,963,1107,1128,1043,429,295,164,14037,12,1129,,
92,0065,04/25/2020,E,25,17,24,15,34,68,112,150,182,222,297,327,327,341,297,292,264,206,173,158,136,108,80,41,3896,14,341,,
92,0065,04/25/2020,W,17,21,10,17,20,35,82,101,123,158,189,204,261,290,289,259,302,290,249,212,203,170,95,57,3654,17,302,,
15,0066,04/25/2020,N,38,12,7,5,9,21,45,102,179,272,314,393,457,539,596,503,533,488,378,350,353,178,98,73,5943,15,596,,
15,0066,04/25/2020,S,15,13,8,7,8,17,37,114,155,245,328,428,457,569,596,623,545,421,429,373,258,130,78,50,5904,16,623,,
04,0068,04/25/2020,E,13,5,2,5,9,8,41,38,52,78,83,111,123,119,120,125,144,81,98,70,42,45,22,17,1451,17,144,,
04,0068,04/25/2020,W,13,6,3,7,13,28,75,89,70,68,103,109,126,114,118,99,87,68,70,48,46,35,35,30,1460,13,126,,
14,0079,04/25/2020,N,53,32,41,38,65,99,135,149,238,312,393,483,450,506,515,487,415,459,375,313,259,193,157,107,6274,15,515,,
14,0079,04/25/2020,S,46,42,33,32,46,85,132,157,280,356,419,472,436,450,470,458,456,429,337,292,248,193,124,109,6102,12,472,,
