COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/13/2020,N,157,84,61,30,23,40,86,236,406,612,672,844,892,890,900,894,901,871,837,788,577,425,313,231,11770,17,901,,
93,0010,06/13/2020,S,147,109,51,38,32,48,118,276,418,551,730,802,852,842,852,831,884,839,779,660,549,411,318,211,11348,17,884,,
87,0031,06/13/2020,E,669,404,302,238,205,360,819,1009,1229,1624,1887,2025,2367,2584,2541,2536,1721,1745,2210,2041,1674,1527,1390,1040,34147,14,2584,,
87,0031,06/13/2020,W,1056,798,521,342,237,231,349,608,744,1036,1420,1631,1850,1957,2124,2207,2198,1991,2584,2941,2417,1914,1660,1549,34365,20,2941,,
29,0037,06/13/2020,E,24,19,23,12,26,41,83,134,164,187,223,240,258,224,229,209,197,171,181,147,112,72,53,36,3065,13,258,,
29,0037,06/13/2020,W,42,24,24,15,14,23,62,65,115,176,192,225,240,263,241,277,243,202,213,164,179,144,103,70,3316,16,277,,
75,0038,06/13/2020,E,144,89,61,84,86,180,407,610,888,1073,1278,1334,1369,1325,1286,1239,1178,1052,1001,844,656,564,361,253,17362,13,1369,,
75,0038,06/13/2020,W,190,101,94,58,61,134,320,527,682,884,1096,1216,1407,1452,1375,1317,1255,1244,1120,931,846,652,437,330,17729,14,1452,,
07,0039,06/13/2020,E,55,39,44,24,52,105,193,285,380,467,471,546,520,533,623,586,538,496,381,307,272,232,158,99,7406,15,623,,
07,0039,06/13/2020,W,43,32,19,38,53,136,255,309,412,509,571,635,675,599,539,508,489,475,376,293,237,170,146,105,7624,13,675,,
26,0043,06/13/2020,N,27,25,11,10,18,32,36,86,107,156,202,243,254,259,286,268,240,217,200,174,135,105,82,43,3216,15,286,,
26,0043,06/13/2020,S,25,9,15,9,19,35,95,141,207,235,282,255,244,250,251,237,217,215,179,127,99,86,52,34,3318,11,282,,
02,0044,06/13/2020,N,76,37,33,27,55,139,282,514,703,863,973,1084,958,967,843,745,757,634,529,415,289,252,173,105,11453,12,1084,,
02,0044,06/13/2020,S,64,47,25,29,36,66,121,192,322,416,583,655,723,800,811,758,759,678,570,518,383,329,186,128,9199,15,811,,
74,0047,06/13/2020,N,51,35,25,25,20,63,90,135,221,265,326,312,325,327,278,264,294,283,287,256,225,213,130,98,4548,14,327,,
74,0047,06/13/2020,S,33,31,23,17,37,69,96,143,203,262,361,431,385,423,393,343,329,296,285,232,198,191,102,55,4938,12,431,,
48,0048,06/13/2020,E,41,16,8,7,17,45,104,131,171,220,243,270,251,237,227,271,253,265,184,148,123,118,77,51,3478,16,271,,
48,0048,06/13/2020,W,28,17,7,16,24,37,62,89,130,159,242,242,235,229,231,245,237,234,184,158,113,97,53,40,3109,16,245,,
53,0050,06/13/2020,N,71,46,51,41,58,107,198,311,456,769,946,991,682,571,441,433,368,418,325,311,244,217,205,191,8451,12,991,,
53,0050,06/13/2020,S,116,90,83,106,99,148,272,380,656,849,972,1143,1256,1392,1513,1228,742,607,462,355,291,238,142,108,13248,15,1513,,
60,0051,06/13/2020,N,20,19,11,11,37,76,127,209,351,470,549,458,217,213,159,182,171,175,161,156,121,94,58,41,4086,11,549,,
60,0051,06/13/2020,S,16,17,7,17,38,53,75,125,181,243,273,380,428,530,631,721,558,444,222,112,74,44,31,43,5263,16,721,,
50,0054,06/13/2020,N,33,22,17,13,31,33,61,120,134,175,202,208,209,218,214,211,215,194,213,183,167,122,71,57,3123,14,218,,
50,0054,06/13/2020,S,26,18,14,9,27,51,94,124,114,164,179,252,248,261,218,208,196,201,194,137,133,111,43,40,3062,14,261,,
49,0060,06/13/2020,E,14,7,6,3,6,18,38,72,105,180,260,240,158,174,201,196,232,240,259,173,141,96,63,27,2909,11,260,,
49,0060,06/13/2020,W,16,13,9,5,13,85,113,126,144,169,208,244,256,238,228,272,217,190,125,77,57,37,39,18,2899,16,272,,
72,0062,06/13/2020,E,248,117,76,57,73,104,350,518,891,1102,1395,1663,1555,1500,1568,1488,1229,1275,1240,1189,927,722,621,459,20367,12,1663,,
72,0062,06/13/2020,W,276,273,211,119,66,101,190,420,571,913,1075,1191,1302,1313,1358,1266,1311,1298,1208,1249,1120,916,717,597,19061,15,1358,,
92,0065,06/13/2020,E,60,42,40,28,60,94,206,274,457,539,633,651,562,534,507,412,427,331,267,250,217,188,130,129,7038,12,651,,
92,0065,06/13/2020,W,101,55,54,29,42,73,133,177,211,295,351,418,408,446,404,533,536,633,492,515,416,348,222,120,7012,18,633,,
15,0066,06/13/2020,N,152,76,60,28,31,37,87,178,283,455,574,626,668,675,757,759,702,763,749,753,645,468,361,213,10100,18,763,,
15,0066,06/13/2020,S,94,73,39,21,17,41,84,153,265,453,622,618,788,820,789,811,728,738,713,607,427,347,256,161,9665,14,820,,
04,0068,06/13/2020,E,19,10,8,21,20,15,43,57,68,121,126,122,145,137,140,140,133,103,96,80,74,45,35,58,1816,13,145,,
04,0068,06/13/2020,W,26,13,12,14,23,49,94,83,108,115,119,138,117,149,120,111,123,103,82,89,53,59,47,21,1868,14,149,,
28,0073,06/13/2020,N,23,24,19,10,12,37,61,80,103,162,189,197,203,202,187,183,164,160,153,120,99,83,54,34,2559,13,203,,
28,0073,06/13/2020,S,25,17,12,11,16,52,69,97,151,177,198,188,209,161,182,193,195,138,138,113,94,78,73,29,2616,13,209,,
14,0079,06/13/2020,N,94,53,31,49,77,125,181,220,324,338,363,466,454,483,505,473,442,420,328,329,324,253,221,189,6742,15,505,,
14,0079,06/13/2020,S,78,52,39,53,49,100,170,211,339,389,449,494,497,482,474,540,504,479,410,336,282,234,208,156,7025,16,540,,
10,0080,06/13/2020,E,79,71,50,37,35,61,107,141,193,268,299,378,395,378,468,433,419,378,360,269,243,175,137,86,5460,15,468,,
10,0080,06/13/2020,W,40,39,42,24,48,123,201,243,252,315,406,413,440,448,524,496,383,419,313,255,222,171,132,100,6049,15,524,,
15,0086,06/13/2020,E,149,93,77,68,46,76,167,280,382,527,606,711,770,812,865,863,747,788,723,702,543,441,366,287,11089,15,865,,
