COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/16/2020,N,100,48,37,23,14,23,68,174,353,462,615,751,788,920,918,835,746,636,608,555,389,289,225,150,9727,14,920,,
93,0010,05/16/2020,S,92,56,26,30,22,32,87,175,314,478,576,690,751,842,813,809,702,710,598,505,434,291,240,151,9424,14,842,,
87,0031,05/16/2020,E,201,99,97,73,89,256,493,657,621,824,960,1144,1280,1392,1521,1534,1574,1642,1518,1346,1018,849,674,453,20315,18,1642,,
87,0031,05/16/2020,W,251,124,79,72,84,115,250,411,496,740,919,1075,1307,1365,1571,1645,1621,1529,1620,1516,1364,962,780,616,20512,16,1645,,
29,0037,05/16/2020,E,16,11,10,15,14,30,62,119,142,156,222,240,215,182,206,177,195,156,141,114,104,73,47,14,2661,12,240,,
29,0037,05/16/2020,W,23,12,12,11,13,24,49,55,96,124,152,221,194,251,244,234,222,181,180,156,121,102,60,40,2777,14,251,,
75,0038,05/16/2020,E,121,84,53,55,96,176,329,499,780,989,1161,1379,1256,1282,1280,1215,1049,1120,898,791,636,453,371,236,16309,12,1379,,
75,0038,05/16/2020,W,156,84,80,55,55,133,271,445,597,838,1093,1136,1376,1443,1361,1250,1257,1175,1026,958,775,513,419,283,16779,14,1443,,
07,0039,05/16/2020,E,43,28,28,25,57,104,180,293,387,480,527,564,574,527,550,569,520,503,439,342,282,246,167,95,7530,13,574,,
07,0039,05/16/2020,W,53,45,25,39,45,160,268,277,326,422,577,615,594,654,604,552,506,477,412,345,284,212,179,83,7754,14,654,,
26,0043,05/16/2020,N,27,19,15,8,12,27,31,81,98,132,198,211,241,229,241,236,220,217,166,168,134,80,69,41,2901,13,241,,
26,0043,05/16/2020,S,34,9,13,20,21,32,103,147,174,246,214,259,263,225,206,227,198,194,153,100,92,63,40,39,3072,13,263,,
02,0044,05/16/2020,N,53,48,33,26,51,114,248,460,599,769,957,1017,936,883,766,719,647,552,439,434,268,199,126,82,10426,12,1017,,
02,0044,05/16/2020,S,60,22,17,24,31,55,91,185,313,418,518,614,628,620,651,706,719,677,515,463,319,244,125,101,8116,17,719,,
74,0047,05/16/2020,N,49,30,24,33,30,74,111,172,196,264,280,297,273,288,268,276,299,335,297,257,185,144,103,80,4365,18,335,,
74,0047,05/16/2020,S,35,33,14,17,32,67,97,129,210,305,401,407,421,325,354,374,343,320,302,239,189,141,88,73,4916,13,421,,
48,0048,05/16/2020,E,67,41,37,25,18,60,121,169,250,274,348,338,398,330,367,320,329,289,216,227,165,128,111,55,4683,13,398,,
48,0048,05/16/2020,W,27,12,6,8,16,28,44,82,117,157,217,211,239,226,226,217,198,179,177,121,91,82,48,33,2762,13,239,,
53,0050,05/16/2020,N,55,34,20,26,43,66,111,174,274,336,386,439,419,364,332,334,337,315,314,258,236,200,149,93,5315,12,439,,
53,0050,05/16/2020,S,69,64,56,70,68,129,199,324,475,618,681,631,637,690,627,511,488,390,350,250,191,144,126,82,7870,14,690,,
60,0051,05/16/2020,N,14,6,7,4,10,28,37,63,83,105,134,132,120,117,120,127,111,113,109,124,95,67,29,25,1780,11,134,,
60,0051,05/16/2020,S,11,13,5,12,34,46,54,71,97,142,188,184,160,154,136,133,119,108,100,68,62,40,15,11,1963,11,188,,
50,0054,05/16/2020,N,20,24,8,7,26,21,40,91,134,175,208,208,200,178,181,208,212,189,206,183,149,95,48,41,2852,17,212,,
50,0054,05/16/2020,S,13,9,14,14,20,47,106,114,148,180,203,224,229,192,195,198,196,193,165,146,95,70,57,35,2863,13,229,,
49,0060,05/16/2020,E,9,3,3,6,7,6,33,32,57,100,114,118,105,158,235,291,340,361,342,348,169,132,64,34,3067,18,361,,
49,0060,05/16/2020,W,13,10,8,2,6,27,56,89,157,348,446,432,333,294,243,191,166,124,97,61,49,37,17,15,3221,11,446,,
72,0062,05/16/2020,E,159,99,75,34,53,103,361,497,805,1122,1283,1513,1632,1591,1369,1340,1268,1258,1162,923,693,546,394,265,18545,13,1632,,
72,0062,05/16/2020,W,280,137,74,58,34,62,160,346,560,870,1068,1226,1296,1490,1314,1257,1289,1383,1329,1205,1062,703,550,416,18169,14,1490,,
92,0065,05/16/2020,E,39,21,34,23,44,72,153,189,283,360,460,488,433,408,388,339,292,297,267,225,175,127,157,93,5367,12,488,,
92,0065,05/16/2020,W,47,38,26,27,32,56,91,128,174,219,273,274,354,362,356,395,399,448,390,273,327,284,140,92,5205,18,448,,
15,0066,05/16/2020,N,68,29,20,17,17,26,81,167,283,385,574,666,706,760,811,778,837,770,722,710,762,487,320,199,10195,17,837,,
15,0066,05/16/2020,S,50,31,13,11,5,29,94,176,363,480,657,738,846,825,793,853,748,711,649,674,449,341,220,130,9886,16,853,,
04,0068,05/16/2020,E,12,12,10,8,12,27,49,69,106,118,143,139,144,143,140,154,137,108,144,107,67,50,46,26,1971,16,154,,
04,0068,05/16/2020,W,11,14,5,16,11,40,101,139,128,132,129,159,155,139,180,135,127,117,103,83,73,42,30,19,2088,15,180,,
14,0079,05/16/2020,N,67,50,43,47,78,99,190,211,307,385,448,480,510,534,507,436,492,426,377,359,324,256,182,129,6937,14,534,,
14,0079,05/16/2020,S,74,40,48,56,46,92,154,238,347,372,466,529,469,519,463,469,489,473,371,315,307,226,165,133,6861,12,529,,
