COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,5/31/2020,N,137,80,72,29,17,34,67,172,228,342,473,661,649,695,767,801,756,617,558,473,401,296,208,96,8629,16,801,,
93,0010,5/31/2020,S,110,95,39,22,22,28,89,152,255,350,404,555,611,675,640,645,607,587,575,510,423,284,172,100,7950,14,675,,
87,0031,5/31/2020,E,178,125,95,64,79,157,409,575,636,855,1044,1229,1335,1493,1575,1488,1187,871,42,153,181,291,219,129,14410,15,1575,,
87,0031,5/31/2020,W,339,226,93,69,55,108,224,364,460,651,832,1082,1282,1307,1528,1574,1506,1379,39,5,508,521,279,219,14650,16,1574,,
29,0037,5/31/2020,E,27,33,52,15,8,19,61,93,103,140,165,189,218,146,157,165,139,124,128,107,80,63,41,19,2292,13,218,,
29,0037,5/31/2020,W,68,22,14,12,11,20,42,42,60,108,143,148,159,204,214,191,174,176,181,137,116,79,51,50,2422,15,214,,
75,0038,5/31/2020,E,217,78,67,51,65,114,217,322,554,726,921,1020,1099,1132,1211,1013,987,980,813,730,642,505,223,106,13793,15,1211,,
75,0038,5/31/2020,W,189,110,93,46,50,96,178,288,441,580,792,932,1089,1182,1216,1191,1083,1050,890,817,749,620,268,123,14073,15,1216,,
07,0039,5/31/2020,E,60,37,21,20,31,53,92,162,247,362,394,418,475,524,499,503,502,454,390,309,219,162,98,63,6095,14,524,,
07,0039,5/31/2020,W,66,45,25,19,33,52,87,143,224,347,456,518,547,589,563,479,454,442,357,333,262,192,124,57,6414,14,589,,
26,0043,5/31/2020,N,32,28,19,18,9,20,22,52,63,92,137,144,162,199,183,177,199,177,167,142,131,82,52,36,2343,14,199,,
26,0043,5/31/2020,S,33,17,13,8,10,27,70,65,117,118,160,180,193,216,172,200,175,162,151,112,113,67,49,29,2457,14,216,,
02,0044,5/31/2020,N,56,46,39,20,35,103,210,330,526,718,921,850,937,807,693,651,541,510,369,354,238,191,113,60,9318,13,937,,
02,0044,5/31/2020,S,56,35,19,20,26,39,72,152,242,353,572,675,782,793,875,764,825,779,580,431,345,241,130,85,8891,15,875,,
74,0047,5/31/2020,N,54,39,24,15,10,30,54,102,141,200,219,282,416,340,339,373,351,319,306,279,258,166,73,66,4456,13,416,,
74,0047,5/31/2020,S,39,27,21,20,27,50,62,97,157,274,301,320,365,385,360,364,317,275,237,230,185,106,80,48,4347,14,385,,
48,0048,5/31/2020,E,38,30,21,8,16,22,70,108,166,231,281,307,456,551,588,435,327,278,251,170,143,97,57,23,4674,15,588,,
48,0048,5/31/2020,W,41,19,8,5,8,23,36,58,92,146,204,208,234,199,229,212,193,164,148,124,89,83,51,22,2596,13,234,,
53,0050,5/31/2020,N,177,62,55,33,18,51,118,173,342,520,730,854,789,662,618,570,506,506,415,296,229,169,137,109,8139,12,854,,
53,0050,5/31/2020,S,76,66,51,55,54,77,123,188,352,458,560,613,746,741,717,610,519,416,380,288,242,168,141,92,7733,13,746,,
60,0051,5/31/2020,N,8,11,5,13,12,25,50,71,110,200,279,239,266,221,194,175,148,145,137,94,73,59,39,13,2587,11,279,,
60,0051,5/31/2020,S,10,7,3,9,15,20,32,50,85,124,154,165,179,247,222,196,143,137,96,61,56,30,17,13,2071,14,247,,
50,0054,5/31/2020,N,31,20,11,15,12,19,26,57,92,109,141,129,208,180,180,214,186,172,169,130,129,80,44,38,2392,16,214,,
50,0054,5/31/2020,S,28,15,5,7,16,26,62,57,85,111,143,164,206,175,210,185,198,181,167,146,113,78,43,28,2449,15,210,,
49,0060,5/31/2020,E,16,9,3,10,6,6,34,36,71,147,210,208,182,200,262,260,346,329,303,193,121,83,47,18,3100,17,346,,
