COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/07/2020,N,54,27,12,12,14,25,134,381,557,584,674,853,819,824,793,783,825,933,696,496,347,208,163,93,10307,18,933,,
93,0010,05/07/2020,S,144,130,135,139,156,120,221,302,403,391,363,437,442,432,432,442,462,427,297,277,253,213,168,170,6956,17,462,,
87,0031,05/07/2020,E,143,88,56,52,87,371,1141,1503,1382,1228,1129,1100,1152,1188,1211,1180,1204,1305,1107,971,835,596,466,251,19746,08,1503,,
87,0031,05/07/2020,W,181,100,66,52,67,147,379,719,891,957,1052,1123,1225,1353,1573,1849,1875,1533,1263,1109,868,774,506,378,20040,17,1875,,
29,0037,05/07/2020,E,9,9,9,18,31,76,165,252,207,199,193,212,199,210,191,211,243,218,161,125,69,53,36,26,3122,08,252,,
29,0037,05/07/2020,W,23,11,10,10,20,40,98,175,154,128,182,206,248,239,249,259,280,314,237,150,108,93,59,39,3332,18,314,,
75,0038,05/07/2020,E,68,59,52,60,154,411,842,1115,1063,1009,1031,1193,1168,1209,1230,1313,1301,1212,955,760,557,376,271,134,17543,16,1313,,
75,0038,05/07/2020,W,96,75,42,52,86,270,564,783,795,815,975,1110,1225,1276,1375,1470,1616,1673,1185,932,688,439,337,213,18092,18,1673,,
07,0039,05/07/2020,E,39,21,26,47,100,203,416,480,504,444,457,460,511,512,507,592,704,798,519,350,204,134,102,48,8178,18,798,,
07,0039,05/07/2020,W,50,22,19,35,105,440,651,574,435,418,448,439,521,515,489,517,594,620,403,242,243,132,98,36,8046,07,651,,
26,0043,05/07/2020,N,15,13,10,9,15,39,68,114,98,135,164,179,216,220,235,311,400,433,230,162,110,100,53,43,3372,18,433,,
26,0043,05/07/2020,S,21,12,12,13,38,86,328,390,256,212,208,214,211,197,182,169,197,189,149,114,91,60,55,21,3425,08,390,,
02,0044,05/07/2020,N,48,22,27,39,68,146,388,648,675,687,779,719,800,725,742,695,725,660,495,371,204,165,117,73,10018,13,800,,
02,0044,05/07/2020,S,38,18,24,27,49,146,238,336,396,433,488,547,573,635,653,618,642,712,425,336,213,152,83,55,7837,18,712,,
