COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/28/2020,N,64,32,19,13,19,41,158,460,705,748,869,880,991,956,962,1029,1016,1081,827,604,421,312,246,130,12583,18,1081,,
93,0010,05/28/2020,S,69,51,12,19,28,69,238,545,831,776,783,846,889,990,925,919,886,901,771,589,406,315,190,113,12161,14,990,,
87,0031,05/28/2020,E,262,139,101,93,148,450,1228,1761,1833,1627,1582,1485,1529,1681,1681,1552,1506,1685,1530,1413,1198,843,707,457,26491,09,1833,,
87,0031,05/28/2020,W,442,216,129,75,103,180,411,834,1043,1170,1337,1419,1705,1761,1907,2223,2438,2019,1622,1414,1309,979,876,697,26309,17,2438,,
29,0037,05/28/2020,E,16,5,13,15,39,89,160,284,263,218,220,270,218,220,233,251,247,227,164,102,70,54,34,29,3441,08,284,,
29,0037,05/28/2020,W,27,7,15,6,24,50,118,159,152,154,179,224,247,240,283,268,342,382,299,166,108,80,79,35,3644,18,382,,
75,0038,05/28/2020,E,109,67,54,74,173,459,951,1304,1154,1182,1259,1350,1412,1325,1326,1429,1220,1267,971,661,465,372,249,143,18976,16,1429,,
75,0038,05/28/2020,W,140,89,70,75,83,258,635,872,831,980,1085,1147,1369,1396,1455,1668,1691,1688,1238,949,647,463,348,242,19419,17,1691,,
07,0039,05/28/2020,E,33,33,25,44,108,212,423,552,493,462,465,468,502,500,530,610,787,738,562,304,201,118,107,57,8334,17,787,,
07,0039,05/28/2020,W,30,29,20,30,117,478,675,592,480,481,488,534,563,494,511,556,630,605,384,267,192,110,83,48,8397,07,675,,
26,0043,05/28/2020,N,30,16,10,7,17,41,63,129,108,149,151,198,208,241,220,337,426,432,268,194,141,73,58,50,3567,18,432,,
26,0043,05/28/2020,S,14,13,10,16,41,118,335,437,293,263,214,236,224,188,199,187,210,168,165,107,78,53,36,19,3624,08,437,,
02,0044,05/28/2020,N,44,24,19,50,83,170,430,725,771,745,808,777,834,802,780,735,697,738,519,376,261,155,105,56,10704,13,834,,
02,0044,05/28/2020,S,31,24,18,38,67,174,260,393,409,468,517,576,607,627,661,736,625,727,469,344,223,170,98,61,8323,16,736,,
74,0047,05/28/2020,N,37,24,20,21,35,104,140,226,215,235,267,292,305,294,282,369,349,358,298,178,149,123,60,62,4443,16,369,,
74,0047,05/28/2020,S,32,16,24,39,78,180,255,252,268,275,241,299,313,298,316,316,340,294,222,213,135,96,78,50,4630,17,340,,
48,0048,05/28/2020,E,14,7,7,6,45,128,256,277,223,186,226,236,251,280,362,396,447,384,282,165,116,87,59,36,4476,17,447,,
48,0048,05/28/2020,W,7,7,10,10,33,46,100,138,116,128,135,149,179,176,197,261,299,269,167,123,73,64,46,29,2762,17,299,,
53,0050,05/28/2020,N,45,31,28,36,52,98,172,292,330,314,408,451,446,407,365,432,400,401,292,199,163,116,93,94,5665,12,451,,
53,0050,05/28/2020,S,67,55,56,53,122,181,287,341,381,533,567,601,580,636,645,592,566,574,425,397,331,227,164,111,8492,15,645,,
60,0051,05/28/2020,N,9,6,6,9,16,31,44,67,78,108,128,162,121,111,140,180,256,183,136,75,75,36,30,20,2027,17,256,,
60,0051,05/28/2020,S,8,9,8,13,38,130,163,199,113,117,100,135,121,141,163,174,180,150,113,61,54,56,30,33,2309,08,199,,
50,0054,05/28/2020,N,20,16,12,15,25,44,86,107,142,150,160,163,170,199,218,249,297,321,235,172,134,67,47,41,3090,18,321,,
50,0054,05/28/2020,S,12,20,19,23,31,102,274,276,167,173,166,171,168,171,188,180,173,207,154,143,104,95,47,20,3084,08,276,,
49,0060,05/28/2020,E,4,4,6,0,12,15,60,97,102,115,125,137,111,125,129,144,145,164,114,85,26,27,20,13,1780,18,164,,
