COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/24/2020,N,73,41,25,14,17,41,164,469,693,710,742,0,0,890,932,1021,1003,1251,1072,808,478,364,286,136,11230,18,1251,,
93,0010,06/24/2020,S,58,33,20,15,27,64,260,629,896,764,706,0,0,844,868,879,876,962,967,716,479,331,233,112,10739,19,967,,
87,0031,06/24/2020,E,336,205,151,100,182,561,1577,2002,2260,2058,1982,1967,1992,2008,2035,1996,1919,1987,1876,1727,1308,1189,894,650,32962,09,2260,,
87,0031,06/24/2020,W,656,424,242,175,133,259,538,998,1404,1441,1475,1807,1887,1964,2217,2590,2756,2298,2043,1912,1724,1435,1250,1025,32653,17,2756,,
29,0037,06/24/2020,E,23,8,21,27,35,90,164,320,253,237,250,248,227,235,208,264,196,243,158,126,77,51,39,39,3539,08,320,,
29,0037,06/24/2020,W,26,20,18,16,18,39,116,196,178,184,202,232,257,237,299,313,328,337,254,150,113,104,58,57,3752,18,337,,
75,0038,06/24/2020,E,95,54,45,77,190,506,948,1316,1271,1171,1187,1283,1318,1280,1254,1302,1280,1317,1109,792,616,374,303,166,19254,13,1318,,
75,0038,06/24/2020,W,106,71,45,66,96,254,662,871,972,953,1012,1176,1316,1323,1374,1527,1693,1852,1371,1075,777,553,377,239,19761,18,1852,,
07,0039,06/24/2020,E,39,16,27,47,112,212,439,487,512,462,423,529,487,517,491,607,734,746,575,307,228,167,94,62,8320,18,746,,
07,0039,06/24/2020,W,31,20,25,41,111,453,693,651,477,468,505,496,486,522,497,547,587,667,394,257,212,147,101,49,8437,07,693,,
26,0043,06/24/2020,N,19,15,10,10,10,47,78,144,118,159,168,149,221,248,279,350,378,485,285,194,154,96,73,34,3724,18,485,,
26,0043,06/24/2020,S,16,10,7,13,47,100,337,443,351,249,227,209,204,196,221,196,211,195,180,114,78,55,46,19,3724,08,443,,
02,0044,06/24/2020,N,50,24,39,37,82,183,405,680,753,782,869,858,882,877,714,779,707,710,527,392,245,176,115,67,10953,13,882,,
02,0044,06/24/2020,S,21,10,17,25,46,96,171,215,238,312,335,332,347,362,368,391,422,467,292,228,155,82,71,34,5037,18,467,,
74,0047,06/24/2020,N,37,27,18,31,45,93,140,190,208,235,262,283,314,314,274,328,349,367,282,202,174,128,59,50,4410,18,367,,
74,0047,06/24/2020,S,34,22,24,36,84,192,258,248,241,298,239,320,326,307,289,304,272,305,210,139,126,83,59,44,4460,13,326,,
