COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/21/2020,N,135,65,58,36,22,32,69,174,218,334,480,572,641,658,600,629,581,585,588,441,411,299,171,190,7989,14,658,,
93,0010,06/21/2020,S,144,76,56,38,18,33,118,150,308,344,506,566,607,589,592,572,578,537,500,454,412,273,174,100,7745,13,607,,
87,0031,06/21/2020,E,890,641,483,301,222,332,684,768,856,1139,1394,1747,2036,1984,2044,2017,2105,2040,2063,1683,1557,1350,1114,854,30304,17,2105,,
87,0031,06/21/2020,W,1420,1113,892,625,401,327,373,541,613,861,1229,1461,1746,1960,1876,1948,1981,1986,2095,2086,2090,1656,1370,1187,31837,19,2095,,
29,0037,06/21/2020,E,30,19,18,11,13,28,57,65,102,135,169,211,228,193,148,169,172,166,151,145,76,88,48,30,2472,13,228,,
29,0037,06/21/2020,W,45,40,16,15,9,26,44,46,82,103,134,167,218,206,236,213,201,175,191,182,154,102,66,33,2704,15,236,,
75,0038,06/21/2020,E,138,84,50,45,85,103,226,431,603,803,997,1050,1199,1119,1027,968,1015,890,863,727,636,528,364,188,14139,13,1199,,
75,0038,06/21/2020,W,184,114,75,56,56,98,184,318,479,616,832,976,1167,1207,1122,1049,1013,942,893,755,713,571,385,232,14037,14,1207,,
07,0039,06/21/2020,E,59,44,34,27,34,41,90,169,237,365,474,488,566,575,549,474,522,475,380,323,249,187,113,73,6548,14,575,,
07,0039,06/21/2020,W,82,45,27,22,24,55,74,138,240,375,459,530,516,511,594,501,417,415,325,348,276,183,136,74,6367,15,594,,
26,0043,06/21/2020,N,25,15,13,13,7,21,29,53,68,97,164,153,192,196,189,179,177,180,163,166,111,89,70,36,2406,14,196,,
26,0043,06/21/2020,S,19,14,8,11,15,26,68,73,95,122,166,192,199,195,166,188,159,188,146,120,133,77,48,30,2458,13,199,,
02,0044,06/21/2020,N,73,43,29,25,36,96,179,339,499,709,881,875,886,821,733,626,574,553,477,368,272,222,141,81,9538,13,886,,
