COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,05/09/2020,N,57,29,20,13,19,31,79,205,314,455,520,695,749,791,733,696,658,581,550,452,383,236,176,120,8562,14,791,,
93,0010,05/09/2020,S,148,133,124,148,125,176,149,193,272,341,379,440,431,437,474,430,451,397,362,330,272,211,181,151,6755,15,474,,
87,0031,05/09/2020,E,191,119,83,86,101,256,540,731,712,776,967,1173,1370,1437,1561,1435,1429,1405,1332,1210,972,809,676,398,19769,15,1561,,
87,0031,05/09/2020,W,278,169,101,80,80,121,260,433,536,736,929,1144,1381,1459,1538,1572,1590,1527,1440,1356,1254,909,744,511,20148,17,1590,,
29,0037,05/09/2020,E,16,8,6,13,16,28,60,101,139,148,233,219,210,210,191,179,182,157,161,146,93,70,53,27,2666,11,233,,
29,0037,05/09/2020,W,30,9,16,8,19,27,55,65,76,124,158,220,208,235,249,211,206,202,191,177,127,89,86,46,2834,15,249,,
75,0038,05/09/2020,E,81,63,55,45,87,154,317,489,710,978,1180,1281,1255,1245,1198,1178,1125,1072,932,790,565,430,352,214,15796,12,1281,,
75,0038,05/09/2020,W,139,108,109,62,106,117,296,448,609,778,1082,1258,1321,1285,1293,1238,1204,1113,1040,911,739,512,379,234,16381,13,1321,,
07,0039,05/09/2020,E,35,33,28,28,50,87,186,296,406,504,565,569,596,600,559,553,583,558,456,342,273,221,134,109,7771,14,600,,
07,0039,05/09/2020,W,61,33,31,40,41,157,272,311,377,445,531,683,646,628,577,535,525,435,390,361,294,199,143,92,7807,12,683,,
26,0043,05/09/2020,N,33,16,18,10,13,25,34,64,102,151,198,213,239,274,247,223,231,221,177,160,134,89,60,36,2968,14,274,,
26,0043,05/09/2020,S,25,17,7,10,20,26,104,126,181,221,240,282,240,225,222,214,228,174,135,120,92,71,49,34,3063,12,282,,
