COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,06/02/2020,N,56,23,8,15,15,35,183,484,670,707,769,893,950,975,930,925,1030,1130,839,568,413,275,166,115,12174,18,1130,,
93,0010,06/02/2020,S,47,16,16,10,27,61,242,566,843,752,780,828,894,875,920,869,854,876,746,510,356,243,168,82,11581,15,920,,
87,0031,06/02/2020,E,92,51,47,44,99,399,1302,1839,2029,1669,1518,1440,1487,1423,1541,1393,1376,1400,1212,938,822,555,348,167,23191,09,2029,,
87,0031,06/02/2020,W,141,79,41,38,72,150,474,875,1152,1263,1290,1502,1564,1649,1886,2270,2153,1784,1419,1039,938,692,405,268,23144,16,2270,,
29,0037,06/02/2020,E,22,11,18,14,44,97,170,288,268,234,263,242,239,234,236,219,246,223,169,126,86,55,28,18,3550,08,288,,
29,0037,06/02/2020,W,16,19,20,14,20,46,122,164,187,185,187,245,250,270,282,323,326,347,241,175,141,99,39,37,3755,18,347,,
75,0038,06/02/2020,E,63,34,42,52,174,482,908,1367,1291,1160,1280,1377,1436,1327,1329,1396,1347,1367,1009,738,538,358,167,97,19339,13,1436,,
75,0038,06/02/2020,W,57,41,41,47,93,250,630,890,951,934,1039,1172,1353,1383,1369,1596,1771,1766,1378,1025,833,558,265,141,19583,17,1771,,
07,0039,06/02/2020,E,35,29,24,61,114,207,469,527,479,426,427,450,472,469,517,624,704,780,522,304,205,117,89,31,8082,18,780,,
07,0039,06/02/2020,W,30,21,21,38,108,461,687,623,478,480,512,483,515,509,455,483,590,604,350,269,158,107,67,38,8087,07,687,,
26,0043,06/02/2020,N,23,11,10,11,14,45,88,126,143,170,175,195,266,246,247,357,424,522,271,197,152,95,54,38,3880,18,522,,
26,0043,06/02/2020,S,15,9,9,18,43,96,351,466,327,280,243,203,268,226,248,211,247,197,155,118,117,57,54,21,3979,08,466,,
02,0044,06/02/2020,N,49,38,34,37,73,175,402,665,743,744,779,773,799,806,761,736,691,675,478,318,218,160,111,82,10347,14,806,,
02,0044,06/02/2020,S,38,37,28,46,68,171,266,416,412,506,501,573,554,636,637,609,639,751,437,295,235,181,85,35,8156,18,751,,
74,0047,06/02/2020,N,34,24,17,24,47,95,139,197,216,215,248,267,258,289,280,323,346,376,327,231,142,135,72,59,4361,18,376,,
74,0047,06/02/2020,S,25,24,31,37,79,184,254,263,230,290,283,281,292,281,279,299,339,269,238,154,135,100,66,57,4490,17,339,,
48,0048,06/02/2020,E,19,11,12,17,46,130,274,274,201,213,198,221,240,228,235,299,299,293,179,131,112,67,52,33,3784,16,299,,
48,0048,06/02/2020,W,13,8,6,11,25,52,106,151,130,118,145,162,178,187,198,236,272,269,156,110,72,57,43,24,2729,17,272,,
53,0050,06/02/2020,N,55,34,33,40,51,107,200,262,286,332,388,511,403,383,389,423,378,331,273,205,119,99,77,75,5454,12,511,,
53,0050,06/02/2020,S,64,48,58,58,97,187,308,371,347,359,417,427,456,516,552,453,431,431,303,218,204,147,115,85,6652,15,552,,
60,0051,06/02/2020,N,9,3,4,7,21,23,52,57,79,97,158,122,145,122,129,203,242,170,104,57,50,30,24,24,1932,17,242,,
60,0051,06/02/2020,S,4,10,8,10,39,144,157,187,128,123,103,123,129,124,114,127,111,88,67,51,48,32,25,18,1970,08,187,,
50,0054,06/02/2020,N,22,21,18,15,24,38,80,115,131,142,173,150,177,203,203,253,276,357,225,184,108,73,39,37,3064,18,357,,
50,0054,06/02/2020,S,13,10,15,25,42,116,284,279,168,153,167,180,150,183,176,193,175,185,165,122,92,81,38,27,3039,07,284,,
49,0060,06/02/2020,E,2,2,4,3,12,14,66,67,84,123,108,115,112,140,130,161,170,155,112,72,48,35,29,8,1772,17,170,,
49,0060,06/02/2020,W,5,7,2,4,5,37,60,128,97,112,122,145,153,122,140,126,130,106,116,70,31,25,14,10,1767,13,153,,
72,0062,06/02/2020,E,81,43,29,29,54,160,577,968,1184,1250,1302,1436,1648,1582,1374,1493,1587,1648,1361,997,669,422,267,174,20335,13,1648,,
72,0062,06/02/2020,W,111,58,43,40,42,151,489,823,995,945,1101,1362,1448,1449,1349,1447,1561,1664,1270,1198,914,670,380,229,19739,18,1664,,
92,0065,06/02/2020,E,15,39,23,29,65,172,352,369,301,295,268,265,254,265,251,273,318,291,231,156,124,85,66,48,4555,08,369,,
92,0065,06/02/2020,W,53,31,22,23,52,148,259,246,238,280,273,239,261,275,273,308,320,409,274,213,125,123,74,47,4566,18,409,,
15,0066,06/02/2020,N,39,26,15,10,24,55,168,278,433,463,502,515,635,625,572,659,629,621,509,468,450,295,182,75,8248,16,659,,
15,0066,06/02/2020,S,33,18,2,15,13,44,128,329,418,442,509,561,578,552,639,586,561,577,574,445,333,241,139,58,7795,15,639,,
04,0068,06/02/2020,E,9,6,11,15,22,52,90,125,113,127,121,129,109,139,134,156,199,230,145,67,54,35,26,27,2141,18,230,,
04,0068,06/02/2020,W,9,8,5,11,33,118,276,218,131,151,137,143,142,166,117,116,119,96,75,53,43,29,23,10,2229,07,276,,
28,0073,06/02/2020,N,20,21,11,20,27,83,180,175,177,153,196,196,152,153,168,219,215,218,165,86,68,69,25,30,2827,16,219,,
28,0073,06/02/2020,S,20,9,14,21,44,94,197,178,161,167,148,168,151,159,208,182,221,253,153,126,86,63,43,17,2883,18,253,,
14,0079,06/02/2020,N,51,48,46,51,102,196,337,319,343,361,375,451,443,425,485,561,633,645,443,278,228,169,121,98,7209,18,645,,
14,0079,06/02/2020,S,64,39,57,48,92,257,439,550,529,413,445,420,468,472,459,536,529,480,374,288,202,142,108,68,7479,08,550,,
10,0080,06/02/2020,E,35,22,19,25,56,151,310,293,301,335,349,390,429,433,488,553,595,567,399,291,188,112,82,64,6487,17,595,,
10,0080,06/02/2020,W,27,16,29,31,74,263,508,463,371,397,381,398,435,433,412,491,507,422,286,226,170,131,78,45,6594,07,508,,
15,0086,06/02/2020,E,63,42,33,20,64,252,739,876,853,671,627,612,712,667,704,893,1349,1475,910,510,358,268,183,143,13024,18,1475,,
15,0086,06/02/2020,W,43,34,23,19,51,180,549,889,892,827,855,858,848,773,833,1070,1061,1093,712,492,302,230,187,113,12934,18,1093,,
93,0087,06/02/2020,E,10,1,1,11,10,61,192,544,788,712,553,564,549,507,497,411,415,535,328,230,114,44,35,17,7129,09,788,,
93,0087,06/02/2020,W,26,7,4,3,6,18,71,194,340,435,537,588,639,658,859,890,844,605,407,320,248,182,73,47,8001,16,890,,
03,0094,06/02/2020,E,60,37,29,26,26,81,346,694,853,940,1257,1390,1471,1424,1541,1769,1785,1676,762,499,404,356,252,133,17811,17,1785,,
03,0094,06/02/2020,W,44,35,21,43,86,336,1036,1477,1433,1419,1476,1484,1647,1513,1424,1428,1068,922,763,481,348,253,152,92,18981,13,1647,,
87,0096,06/02/2020,N,102,79,54,87,169,401,751,869,779,713,753,694,758,872,878,1058,1062,1075,858,568,452,318,233,149,13732,18,1075,,
87,0096,06/02/2020,S,249,50,21,84,740,835,816,1581,413,811,351,303,370,413,474,936,1158,852,397,4323,786,144,970,264,17341,20,4323,,
93,0101,06/02/2020,E,93,73,57,84,215,636,1765,2443,2263,1968,2115,2132,2251,2263,2230,2226,2285,2235,1583,1094,728,469,289,208,31705,08,2443,,
93,0101,06/02/2020,W,165,102,81,88,136,437,1231,1640,1730,1826,1937,2085,2238,2298,2507,2550,2891,3001,2021,1348,986,575,392,263,32528,18,3001,,
77,0102,06/02/2020,N,107,58,51,32,62,193,408,681,728,813,919,1138,1223,1169,1191,1240,1317,1516,1120,853,647,432,256,159,16313,18,1516,,
77,0102,06/02/2020,S,81,60,44,57,110,312,724,908,982,965,1081,1184,1252,1191,1148,1173,1210,1262,947,736,583,417,238,148,16813,18,1262,,
75,0104,06/02/2020,E,71,33,30,36,91,341,638,701,623,588,610,655,726,691,766,887,977,1032,740,588,433,371,189,98,11915,18,1032,,
75,0104,06/02/2020,W,70,51,28,37,93,359,605,671,661,600,645,657,689,732,671,784,888,939,738,492,343,248,131,88,11220,18,939,,
76,0105,06/02/2020,N,40,22,44,51,145,380,805,899,749,732,658,687,617,636,624,514,566,532,403,267,229,148,123,74,9945,08,899,,
76,0105,06/02/2020,S,61,46,37,34,41,108,251,329,369,483,515,593,681,696,705,724,919,1077,750,460,408,232,192,117,9828,18,1077,,
87,0108,06/02/2020,E,121,62,51,58,134,562,2182,2978,3154,2339,2128,1891,1884,1929,2103,1879,1901,2061,1889,1215,915,548,487,259,32730,09,3154,,
87,0108,06/02/2020,W,159,90,58,73,92,221,738,1527,1901,2020,1872,2036,2180,2189,2551,3347,3132,2850,1870,1397,1115,619,416,498,32951,16,3347,,
32,0112,06/02/2020,N,369,303,273,241,266,366,526,692,865,1069,1268,1301,1271,1355,1298,1298,1217,1105,934,757,681,575,421,413,18864,14,1355,,
32,0112,06/02/2020,S,314,297,285,356,336,377,530,532,695,819,933,921,978,1111,1158,1152,1055,1004,898,749,633,482,472,368,16455,15,1158,,
70,0113,06/02/2020,E,81,69,40,51,83,195,537,984,1199,1349,1412,1513,1626,1540,1535,1519,1658,1531,1041,690,509,407,255,177,20001,17,1658,,
70,0113,06/02/2020,W,134,90,53,44,75,201,612,1025,1123,1187,1353,1534,1759,1664,1747,1832,1509,1685,1203,870,726,447,339,232,21444,16,1832,,
70,0114,06/02/2020,N,26,28,51,27,60,170,469,681,578,489,468,493,511,529,483,608,562,544,329,197,163,123,68,57,7714,08,681,,
70,0114,06/02/2020,S,39,14,16,21,68,236,371,475,445,383,395,457,491,488,522,651,642,719,381,310,204,152,80,48,7608,18,719,,
34,0116,06/02/2020,N,36,19,13,15,23,91,140,185,254,346,416,408,484,465,502,481,532,505,368,278,192,92,91,49,5985,17,532,,
34,0116,06/02/2020,S,23,20,13,43,51,110,205,386,377,369,392,454,451,440,447,427,420,374,256,205,158,114,57,35,5827,12,454,,
53,0117,06/02/2020,E,34,8,16,22,44,114,258,445,467,526,576,656,699,588,616,651,635,574,377,288,239,133,74,69,8109,13,699,,
53,0117,06/02/2020,W,19,11,13,14,44,97,292,455,457,509,594,631,681,694,641,622,685,562,436,309,221,132,87,51,8257,14,694,,
36,0118,06/02/2020,N,114,86,85,94,168,376,643,766,821,830,883,863,1014,1023,929,1007,1169,1162,852,582,468,336,245,183,14699,17,1169,,
36,0118,06/02/2020,S,123,103,100,136,208,372,742,959,816,788,762,781,818,874,884,912,956,933,758,546,429,299,218,179,13696,08,959,,
57,0122,06/02/2020,E,36,28,18,25,72,243,346,559,462,459,414,469,497,477,462,567,579,608,388,216,179,131,75,46,7356,18,608,,
57,0122,06/02/2020,W,51,24,16,27,55,149,334,379,378,401,424,436,475,469,527,543,638,641,414,279,228,143,83,47,7161,18,641,,
75,0130,06/02/2020,E,331,287,251,298,655,1817,3499,4014,3603,3232,3107,3238,3325,3361,3429,3803,3530,3502,2729,2115,1664,1370,785,508,54453,08,4014,,
75,0130,06/02/2020,W,408,278,250,361,500,1264,2795,2914,2793,2494,2605,2829,3055,3223,3554,4059,4565,4765,3586,2947,2149,1952,1184,710,55240,18,4765,,
74,0132,06/02/2020,N,390,288,235,274,402,835,1209,1603,1484,1624,1800,2017,2017,1897,1905,1992,1916,1831,1380,1189,924,786,581,463,29042,12,2017,,
74,0132,06/02/2020,S,377,275,220,272,405,688,1078,1120,1118,1239,1394,1614,1553,1554,1732,1900,1808,1616,1297,1015,767,619,532,406,24599,16,1900,,
79,0133,06/02/2020,N,189,168,125,163,219,416,904,1452,1387,1403,1446,1381,1359,1368,1241,1427,1425,1308,1000,660,519,411,371,284,20626,08,1452,,
79,0133,06/02/2020,S,241,164,141,194,258,518,705,876,948,953,1067,1102,1165,1182,1263,1463,1599,1571,1160,832,619,438,448,267,19174,17,1599,,
70,0134,06/02/2020,N,207,155,123,137,176,441,938,1041,1091,1110,1083,1186,1143,1081,1103,1110,1250,1168,894,722,508,442,348,259,17716,17,1250,,
70,0134,06/02/2020,S,221,175,172,165,248,402,780,888,924,951,984,934,1023,1026,1087,1235,1242,1144,830,760,589,430,355,295,16860,17,1242,,
87,0137,06/02/2020,E,438,247,285,329,670,2023,4287,4823,4704,4148,3942,3921,4067,4296,4446,4634,4667,4853,3901,2900,2295,1526,1173,761,69336,18,4853,,
87,0137,06/02/2020,W,376,279,305,395,872,2230,4012,4206,4072,3863,3753,3871,4139,4322,4602,5044,4897,4910,3879,2831,2276,1534,1042,631,68341,16,5044,,
88,0139,06/02/2020,E,27,27,20,39,43,77,132,175,157,158,141,153,166,168,155,180,132,157,166,124,68,57,46,42,2610,16,180,,
88,0139,06/02/2020,W,27,20,29,18,44,74,139,138,164,167,170,212,187,185,187,162,203,163,126,105,70,65,45,33,2733,12,212,,
93,0140,06/02/2020,E,18,8,18,17,33,194,324,316,187,166,190,175,150,156,176,180,155,175,111,72,56,46,28,17,2968,07,324,,
93,0140,06/02/2020,W,25,23,27,25,44,114,180,164,167,206,170,153,165,162,203,259,270,278,129,93,49,33,32,23,2994,18,278,,
03,0143,06/02/2020,N,37,29,35,30,121,404,573,364,328,319,361,342,415,415,445,477,571,640,383,262,179,137,75,43,6985,18,640,,
03,0143,06/02/2020,S,35,21,19,27,121,210,514,628,448,390,361,376,415,406,436,478,567,617,420,252,182,122,58,43,7146,08,628,,
94,0144,06/02/2020,E,5,3,4,3,13,36,89,96,84,81,84,109,89,85,92,111,113,115,59,38,25,14,33,7,1388,18,115,,
94,0144,06/02/2020,W,3,4,1,3,12,29,166,115,82,95,99,82,94,98,84,105,86,93,48,36,25,20,9,6,1395,07,166,,
04,0145,06/02/2020,N,35,21,17,39,45,109,190,227,224,250,288,257,285,262,275,282,299,307,217,133,108,89,66,38,4063,18,307,,
04,0145,06/02/2020,S,24,37,50,44,66,175,255,290,279,243,244,269,285,231,229,227,211,246,160,129,95,56,48,38,3931,08,290,,
13,0146,06/02/2020,E,10,12,6,9,16,37,83,64,106,121,147,146,148,177,185,244,282,306,198,133,105,79,45,24,2683,18,306,,
13,0146,06/02/2020,W,8,5,6,4,31,106,247,247,182,183,165,164,183,156,169,159,151,178,104,76,55,36,29,19,2663,07,247,,
33,0149,06/02/2020,N,4,6,5,8,24,60,116,154,143,135,130,130,136,125,147,137,139,178,122,81,52,35,19,13,2099,18,178,,
33,0149,06/02/2020,S,15,4,7,9,21,45,99,98,118,106,126,137,129,137,165,156,170,189,144,116,66,44,26,16,2143,18,189,,
55,0151,06/02/2020,E,93,56,50,32,41,79,202,564,483,544,563,779,887,805,826,827,948,1043,744,516,440,334,229,97,11182,18,1043,,
55,0151,06/02/2020,W,78,46,23,34,37,109,294,650,596,452,479,553,667,723,656,672,716,785,606,529,397,338,230,110,9780,18,785,,
75,0154,06/02/2020,N,138,77,85,95,195,417,702,1041,1064,940,981,1113,1270,1214,1346,1512,1528,1517,1309,1008,858,708,424,229,19771,17,1528,,
75,0154,06/02/2020,S,94,80,87,171,365,690,1143,1324,1141,1076,1107,1195,1337,1319,1362,1433,1499,1550,1251,1040,865,672,323,181,21305,18,1550,,
