01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08,01/09,01/10,01/11,01/12,01/13,01/14,01/15,01/16,01/17,01/18,01/19,01/20,01/21,01/22,01/23,01/24,01/25,01/26,01/27,01/28,01/29,01/30,01/31,02/01,02/02,02/03,02/04,02/05,02/06,02/07,02/08,02/09,02/10,02/11,02/12,02/13,02/14,02/15,02/16,02/17,02/18,02/19,02/20,02/21,02/22,02/23,02/24,02/25,02/26,02/27,02/28,02/29,03/01,03/02,03/03,03/04,03/05,03/06,03/07,03/08,03/09,03/10,03/11,03/12,03/13,03/14,03/15,03/16,03/17,03/18,03/19,03/20,03/21,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/20,04/21,04/22,04/23,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,COUNTY
117423,148119,159311,147044,140417,110480,96994,97715,104840,119029,93122,100741,97474,93811,97393,110079,138579,102194,98207,122848,96057,94599,104858,119740,93883,103145,99237,93259,96484,107956,130767,105978,97405,104920,95860,97776,99806,126479,96029,110549,103706,96103,101036,116181,142719,113486,115765,128712,104745,102883,114052,137649,107718,119417,106007,95489,102096,116566,111832,125359,129815,107734,99882,102658,114492,141741,121857,127249,114646,103422,111629,130835,160153,140933,133233,120241,112350,112199,113637,121514,105949,90795,86644,82551,81999,81774,85504,71068,64730,71550,70527,73902,78359,68961,52664,46618,62643,62640,65884,66161,50401,42835,61592,62032,63655,67082,71358,65631,69922,71186,70699,78762,66175,65063,73715,74326,78466,85937,97607,80515,78249,84242,82254,84199,92538,105303,88703,84174,93435,87864,90438,96540,109468,92528,93496,92843,91050,96540,111784,138329,109767,91487,113787,83342,100474,106432,121650,112948,110874,97967,101108,108898,123260,111067,96300,100389,96789,103794,132553,123423,121261,112790,103162,108488,120752,145122,134033,122252,121161,105936,109223,121481,142300,134301,100233,115280,108944,122022,144884,139546,87239,136401,126308,105119,Columbia
1904,2471,2678,2195,2039,2306,2264,2315,2431,2618,2299,2073,2370,2393,2381,2506,2871,2378,2086,2259,2216,2286,2340,2520,2148,2139,2311,2406,2392,2405,2679,2293,2140,2408,2433,2437,2384,2607,2479,2151,2488,2390,2440,2514,2821,2489,2122,2274,2463,2449,2447,2644,2335,2160,2491,2087,2356,2565,2885,2649,2355,2654,2464,2527,2368,2907,2416,2237,2435,2490,2569,2651,3099,2586,2479,2491,2624,2450,2523,2770,2359,2100,2276,2277,2239,2283,2475,2247,1950,2271,2017,2261,2463,2326,2079,1623,2058,2101,2205,2391,2121,1714,2030,1868,1937,2391,2530,2185,2389,2313,2318,2388,2436,2195,2350,2381,2529,2465,2943,2564,2437,2574,2524,2549,2540,2972,2544,2315,2550,2507,2549,2613,2880,2761,2497,2551,2431,2502,2718,3101,2773,2394,2514,2458,2526,2570,2766,2599,2356,2566,2602,2693,2813,2333,1964,2499,2492,2565,2869,2620,2511,2627,2605,2546,2710,3014,2813,2555,2609,2549,2688,2907,2994,2503,2367,2670,2561,2743,2983,3002,2937,2525,2470,2492,Dixie
106346,127154,135234,130286,113071,80779,68361,69042,74208,84379,68307,77068,66459,33058,67300,77921,97608,75500,74258,87965,64636,65064,72592,81640,68250,76006,67731,63391,67409,77394,94638,83365,72361,71876,65669,67901,74570,88451,71363,80868,71311,65130,69837,83386,107954,90768,91046,96457,74800,73237,81947,99152,83506,91738,72216,65711,70214,81955,99824,100644,102109,76511,69993,72727,84378,106440,98671,99641,82622,73606,79936,95852,118745,120599,113606,95202,92517,94097,96545,104352,97529,78192,66686,65555,65246,64208,65247,59036,51827,52264,53646,56487,59464,50712,41571,36427,45280,46138,48060,46801,36377,30048,43157,46268,47155,49770,50865,46483,51256,52939,51826,58301,50485,48999,47970,50516,52343,59033,67182,58913,57045,57076,60714,63184,69956,79097,70906,66067,68965,65762,68169,73099,83542,75215,76182,68300,68341,73911,88835,109948,90377,74746,94677,79671,40458,82159,94362,95401,91893,73028,75628,83583,95778,92527,44804,39801,37831,40769,104729,105875,100829,85501,77668,83054,93877,59387,114787,100246,94871,82217,85126,97609,116320,121347,110944,90603,85586,99034,120035,118103,73112,120637,103639,82454,Hamilton
3377,4641,5022,4008,3515,4659,4518,4605,4751,5560,4382,3662,4681,4764,4650,4923,5679,4674,3709,4523,4341,4537,4723,5324,4117,3719,4447,4598,4475,4766,5162,4127,3462,4665,4621,4663,5204,5424,4757,3817,4712,4726,4803,5222,6186,5837,4596,4694,4754,4702,4877,5405,4415,3839,4591,3927,4328,5028,5544,4552,4104,4769,5008,4661,4676,5731,4839,3896,4819,4870,4786,5107,6083,5057,4243,4630,4705,4385,4679,5065,4458,3429,4124,3997,3938,4172,4641,3858,3067,3946,3806,4005,4167,4058,3159,2509,3596,3700,3913,4085,3545,2552,3668,3326,3369,4140,4630,3789,3959,4018,4046,4538,4222,3642,4286,4192,4164,4430,5493,4451,4084,4468,4312,4372,4611,5445,4467,3852,4510,4423,4478,4722,5608,4933,4350,4530,4651,4690,5136,6215,5092,4258,4491,4574,4627,4955,5608,4923,4541,4937,4936,4938,5273,4195,3611,4660,4526,4959,5589,5497,4819,5280,5070,5142,5692,6335,5564,5034,5037,4757,4861,5620,5922,5117,4656,5295,5084,5252,6022,5576,4465,4846,4693,4466,Lafayette
27029,41911,44352,34424,33290,33608,32877,33107,34217,39642,31910,29246,33815,33508,34060,36326,43089,34483,29505,34264,32557,31953,34990,39669,33205,30662,33019,33346,31670,35120,41441,33390,29007,36386,34491,34591,35382,40242,33936,31748,35497,33851,35434,38191,44544,35519,32365,35785,35160,34277,36286,40780,32872,31547,35363,31636,34100,38844,46124,46743,35241,36865,36903,36353,22870,31476,22970,21827,23873,23142,33591,39241,48617,39845,34487,38849,34847,35339,33454,41169,17798,15354,18435,27300,27317,27926,30731,24278,20792,26053,28327,36168,29368,28288,21272,16714,25524,25062,26268,26455,22872,17376,24720,23599,27146,29248,41038,27465,35677,32148,27718,28662,25176,22633,36332,29727,28800,29554,36243,28784,25161,31063,30273,30131,33505,37244,30616,26008,36236,33518,31064,33034,37283,31564,28691,30773,31706,31811,34708,42513,34231,28437,29224,32189,32277,34392,38191,32263,29813,32518,34076,34257,37884,28345,24814,32369,31628,33633,39900,33633,31153,35258,33507,34323,36708,41481,35094,32742,34109,32204,33137,35866,39932,31476,29120,30790,30047,31916,36625,36895,25308,29647,30808,29355,Levy
31338,42342,45659,43962,45279,9922,31285,9487,33235,39398,27830,30988,31907,30929,31958,36165,47490,31887,31152,39271,32462,31405,35094,41147,6898,34179,33290,31603,31706,35994,42875,32999,31515,35556,32018,32479,27262,43088,29889,35368,34635,32605,33277,37804,46929,31535,35480,39101,10166,33116,37604,46304,33210,37896,36154,33370,35018,39261,46934,37161,4903,35823,32969,33740,36051,45654,36182,4802,37959,33549,36127,43932,55183,42114,37227,34643,31318,30427,30563,32633,28124,25460,25457,23784,23363,23242,24698,19939,18218,20846,20254,21798,22583,20587,15692,13513,5458,17514,18988,19631,15594,12966,18064,18444,18533,20214,21463,6462,19864,20449,20188,23173,19133,18293,21225,20805,21899,6958,7958,6073,4212,7556,24266,24538,27043,31110,25597,24416,27155,25256,25522,7529,31307,24951,25122,26482,26148,26999,31091,39291,29070,24152,30668,29731,7992,30459,34354,29551,30115,28117,28860,31231,35073,28886,22929,28965,28028,29808,36487,30938,32589,32457,29907,30115,33937,39739,32752,31946,33335,29542,29786,32521,37643,31772,31841,31393,30109,32245,37552,37474,23026,34306,33687,28844,Madison
128167,175346,190383,157922,146845,136969,115065,118544,151483,197443,158125,151034,172546,168307,172758,184188,219076,172615,150576,187350,168087,162230,178171,203118,162471,157220,173284,168664,171037,181838,176382,145367,149151,180719,171048,175461,178462,209683,167756,163028,149118,173371,147594,188419,223892,186820,172165,196604,148398,180516,191840,217671,180385,141674,182018,140850,138068,199546,226936,198985,182098,187824,180644,184948,193572,225763,189414,187597,192950,180608,188046,194940,225732,195793,142238,187189,177267,178368,176158,186021,151472,121565,142046,135366,133995,109278,140758,109964,91913,100552,99074,127293,130249,120514,87866,56548,107684,78437,59795,92315,73265,55715,109967,95471,113148,116501,127173,111732,119388,99740,123289,126292,110675,96984,102710,125878,132249,135810,155315,127273,112143,141075,138208,140519,122632,136767,140324,120529,150185,145334,120930,154635,142073,142945,129084,122697,121568,125788,168454,197083,157839,107325,114511,131524,160739,163472,183558,130270,119973,158851,132624,162745,185840,144983,132372,155509,156781,163365,185053,171429,130614,172551,164314,169540,148674,163484,180372,156895,177083,136150,169587,179913,202027,175795,126912,141360,165719,176701,197906,188965,99277,133854,174987,163133,Marion
32502,43629,46123,44201,46144,35430,31109,31334,33126,38660,29139,32196,31939,30173,31662,36183,47284,33374,32364,41528,32150,31100,34838,41238,29678,35182,32866,30666,31462,35217,42893,32440,32117,35058,31409,32507,28848,43303,30940,37660,34574,31613,32811,37583,46264,33921,37209,40253,33303,32723,37512,46314,34739,40131,35859,31600,33981,38611,47545,37938,41247,35382,32274,32838,36732,45511,37534,42187,37418,33196,36207,43411,55643,42699,39206,36336,33206,32291,32166,34442,28582,26352,26107,24030,24287,24121,25644,20388,18901,21902,20847,22348,23416,21167,15642,13854,18856,19036,19525,20681,15622,13244,19313,18523,19060,20728,23113,20755,21179,21980,21728,24566,20066,19455,23093,22843,23571,25785,30499,24086,23866,26299,24955,25346,27953,32612,26069,25181,28535,26331,26601,29030,32945,26115,26892,28057,26921,28271,32545,41309,30774,25979,32690,30947,29500,31550,36304,5810,31943,29288,22928,32174,37062,30045,24025,29290,29061,30515,38462,32610,34285,33931,30872,31827,35664,42136,35022,34227,35299,31141,6437,34242,40228,33216,34004,32980,31657,34466,40923,39545,24372,36887,35524,30310,Suwannee
1630,2445,2299,1890,1869,2086,2141,2005,2019,2516,1593,1557,2080,1921,1961,2183,2809,1919,1751,2582,2133,2129,2280,2488,2007,1884,2041,1959,1887,2268,2455,1911,1666,2228,2031,2156,1928,2427,1776,1895,2330,2088,2283,2387,2654,2014,1821,2439,2213,2180,2209,2651,1795,1900,2254,1932,1852,2228,2603,2076,2145,2106,2049,1937,2037,2556,2108,2119,2065,1990,2215,2183,2571,2139,1984,2213,1857,1982,2076,2255,1659,1441,1652,1631,1605,1730,1806,1194,1048,1594,1503,1761,1747,1553,1031,725,1591,1654,1574,1399,1106,701,1467,1493,1328,1528,1695,1554,1725,1737,1500,1653,1319,1258,1844,1818,1817,1910,2184,1702,1508,1860,1839,1875,2118,2162,1653,1447,1944,1902,1955,1929,2243,1801,1785,1769,1799,1738,1929,2508,2058,1865,1874,1785,1747,1773,2099,1728,1865,1757,1857,1997,2127,1500,1253,1835,1629,1899,2190,1925,2015,2077,1981,1940,2263,2635,2165,2031,2140,1842,1926,2007,2333,1948,1849,1888,1740,1996,2413,2116,1378,2073,1904,1695,Taylor
92354,139450,141158,111372,91151,139712,144079,144889,145925,154921,91852,88837,143023,146072,147498,150291,159861,116334,92824,129947,143767,144598,146755,155480,117367,90090,132506,146404,140772,141731,144656,115137,90301,139075,150433,146719,114589,163627,121953,101714,148598,149567,152154,150757,173344,130282,95995,142770,137839,152996,150208,163163,123562,102330,145879,149971,153663,158378,166630,133954,107681,150941,152686,151632,153006,167078,133998,107388,154683,156995,158299,161537,170647,134278,112329,148660,142568,137458,135056,135074,93150,69383,108670,106317,105968,106805,111403,76060,61116,100376,95038,105501,103244,92143,62023,49428,90289,91172,92509,95781,69949,46215,93473,94694,99265,102809,106635,101168,102977,104999,94090,117960,88095,74023,109930,110257,106648,118463,131797,106044,90365,125738,127118,128340,131966,145177,122244,104208,132741,133997,137365,141557,137572,117881,97296,121673,141681,121371,150167,171178,145864,124593,129748,146004,147292,152078,164757,147558,125448,139750,143684,152713,161139,125853,100376,142832,141850,149758,169970,152747,130128,153988,141975,155484,149893,156856,165224,134074,155283,155025,156792,162344,152485,153326,110211,138276,154222,139730,166732,155771,124145,123179,133025,145192,Bay
13282,18679,19479,16249,14207,18756,18012,18115,18989,20835,10606,12825,18221,18047,18469,18702,22530,16443,13304,18046,25461,25811,18581,20706,16392,13578,17651,18772,17139,18867,20844,16483,13610,19415,18690,18591,13444,22130,16543,14931,18706,18711,18633,18686,23265,17238,13561,18559,18886,19103,18679,21650,16457,14734,18328,18253,18635,20098,23025,18333,15811,19151,19614,18409,18870,22755,17932,15354,19941,19700,19361,20224,23761,19239,16417,19306,18673,18170,18141,19773,14637,11612,15377,14873,14965,15385,16423,12204,10113,14972,13863,15360,15073,14542,9628,7941,13351,13489,14076,14881,10958,7884,13710,14131,14414,15488,16561,12301,13549,15309,13369,17911,13238,11190,15755,12160,15143,17033,19888,15176,14160,17570,17369,17682,17858,20765,16778,15417,17358,17386,18183,18584,21429,17499,15882,17699,18111,14316,20360,24432,19594,16130,18020,18631,18447,19379,21235,19778,16856,18195,18757,19443,21722,16582,13324,17857,14372,19405,22669,21785,18639,19328,19130,19829,20506,23499,23271,18721,19679,18425,17394,18373,22042,22212,17483,19130,15539,20184,22207,21580,17408,18058,19180,17552,Calhoun
171980,264689,274006,229805,187136,265397,268369,269910,276625,286133,165433,182059,255507,267569,268231,275689,310219,213667,189311,238659,265272,265175,265559,291794,230343,178945,264327,272881,262427,285495,297926,232556,174593,271984,261199,247362,244772,291216,217085,186905,257859,262407,268573,274211,296297,219397,169442,242892,258196,263127,267779,299605,224149,183665,257812,274574,290507,244300,325726,263916,221135,280566,284220,268099,293022,329331,264818,218699,286755,289105,295678,308599,323466,253434,212483,257630,248213,234972,234035,239633,159951,125821,195289,188483,190077,188975,194115,134950,106435,174716,169279,183747,180247,166519,111205,87905,158196,161587,166738,161801,123129,78440,164391,169851,173228,173864,180692,172181,176084,179944,152632,199463,146540,119610,182339,185914,177096,202184,220231,172475,144220,208247,211900,214593,221403,234845,190358,170963,218628,141143,188233,231154,249222,208595,173561,215516,238553,231268,259046,287691,232780,193281,208897,193707,188950,202762,277610,238762,207090,246838,248341,262420,285320,225348,141056,227701,245066,256971,301468,269790,230121,265751,264322,273875,283816,314838,283610,228786,262964,261289,206351,278116,298682,249162,201671,242656,246983,254142,290255,267312,196559,198003,253754,245818,Escambia
3858,5411,5083,4608,3894,4471,4685,4717,4821,5226,3558,3264,4541,4691,4905,5044,5723,5771,3830,5030,4866,4730,4892,5138,4969,3950,4593,5033,4687,5048,5065,4871,3846,5023,5109,4831,3753,5431,4695,4268,5146,4906,4900,5059,6110,5229,3971,5280,5056,5385,4912,5472,4825,4248,4947,4733,4424,5198,5809,5290,4714,5251,5131,4919,5084,6093,5625,5198,5463,5276,5306,5447,6213,7183,6755,6046,5459,6361,6068,6044,5545,4597,4334,4163,4274,4110,4288,3872,3450,3940,3566,4078,4143,3690,3050,2473,3549,3451,3647,3365,3045,2055,3196,3314,3163,3874,4057,3654,3841,3942,3383,4194,3933,3495,3969,4095,3812,4237,5003,5050,4376,4545,4383,4572,4959,5386,5720,5377,5105,5024,5267,5515,6492,8345,7238,4785,5344,5189,5852,8020,9728,8358,7006,5242,5499,5572,5828,7678,8075,5486,5523,5646,5936,5947,4357,5009,4624,5867,6748,9154,8846,6382,6002,6595,6830,7771,11345,8624,6083,5451,5525,6072,7030,9455,7665,5755,5687,6104,6520,7208,7406,7298,5383,4764,Franklin
41333,56526,57262,52636,49424,47892,45604,46449,48054,53057,37263,39753,44344,45591,46309,50454,59476,44177,40356,50909,45180,44927,48703,53041,42014,41862,45274,45363,44722,49602,54727,43642,40225,47924,46336,46526,40935,54882,43288,45110,47376,46632,47693,50539,60235,45934,41891,52713,48133,47587,50244,59414,46827,46712,48399,46877,49192,53381,60978,52010,51202,16625,46434,45458,49175,57880,50112,49968,49203,47809,50011,54390,62278,51297,47192,48342,46386,44854,16264,46570,37025,32457,36992,35795,35406,35540,36515,28169,25114,13243,31505,34553,14433,13627,23921,20849,12730,12514,13204,13168,11040,8490,28992,30624,30910,32969,34510,31569,13526,33398,30677,37186,29380,26684,34123,34667,34555,38590,16178,33659,31358,37793,37822,38438,41413,45042,37428,35674,39785,39544,40282,42513,45650,37786,35698,40078,40596,40106,46396,54089,41929,35364,42238,42989,42957,45177,48085,42733,40841,43681,44794,16556,50560,40298,32464,42828,41383,44908,52840,45089,44322,47023,45444,46992,50664,56017,48392,44732,47868,44326,45330,48976,54392,46477,43750,46078,37848,48925,55176,51805,34616,44330,47627,42784,Gadsden
3693,5675,5799,4810,3522,10542,5833,9164,5880,6388,3708,3284,5694,5617,5880,5942,6416,5016,3524,11941,17446,8343,5867,5935,5022,3575,5552,5823,5352,5899,5912,4820,3535,5885,6287,6073,4462,6595,6280,4171,6123,6162,6022,5966,6862,11531,3744,5960,6155,5880,6368,6528,10472,16867,5875,6160,5688,7007,16598,5277,4310,6126,6326,5824,6140,6754,5537,4427,6229,6277,6217,6512,6789,5694,4482,5758,5574,5560,5581,5441,4472,3266,4502,4670,4634,4604,4734,3398,2877,4315,4126,4570,4461,3958,2702,2203,3853,3884,4058,4169,3140,2175,3674,3897,3863,4632,4681,4203,4621,5039,4123,4768,4010,2033,4518,4750,4437,4915,5578,4427,3722,5235,5265,5264,5516,5838,4721,4234,5186,5333,5477,5634,6097,5469,4363,5399,5632,5543,6536,7080,6610,5125,5585,5884,6015,6109,6391,6801,5066,5929,6276,6262,6577,5995,3954,5924,5892,6469,7034,7649,5419,6560,6652,6508,6681,7091,8309,5716,6297,6022,6385,6556,6872,7733,5165,6160,6351,6546,7050,6586,6655,5315,3661,0,Gulf
1645,2259,2241,2166,1606,2309,2292,2256,2361,2572,1467,1588,2192,2201,2311,2484,2653,2229,1601,2242,2379,2382,2354,2641,2077,1562,2196,2429,2121,2444,2395,2117,1673,2245,2338,2182,1720,2491,2063,1752,2363,2420,2463,2378,2812,2281,1455,2301,2299,2362,2232,2511,2270,1696,2316,2265,2284,2579,2549,2179,1846,2317,2415,2030,2265,2551,2230,1792,2606,2512,2621,2728,2781,2384,1799,2299,2528,2173,2360,2291,1612,1251,2112,2078,2059,2194,2165,1558,1172,2077,1801,1864,1932,1924,1324,1024,1863,1921,1951,1808,1536,1000,2002,1990,2168,2126,2287,2215,2154,2278,1535,2228,1807,1302,2150,2300,2120,2361,2505,1824,1401,2259,2198,2210,2322,2315,1970,1563,2192,2303,2238,2506,2331,1835,1455,2246,2287,2238,2438,2470,2054,1567,1750,2351,2349,2440,2472,2052,1577,2250,2317,2325,2400,1964,1388,2133,2054,2287,2598,2217,1862,2362,2296,2392,2648,2640,2216,1877,2477,2217,2309,2368,2455,2265,1604,2398,2251,2427,2512,2293,1696,1690,2383,2134,Holmes
52672,75465,78238,69104,61368,67077,62921,62998,66423,71179,43813,50030,61126,61931,64342,67760,79582,56962,50966,66849,61598,61510,65031,71427,54872,51734,61163,61642,60688,67376,71827,59110,51571,66199,63986,62600,53363,77109,57522,55914,64986,64011,65217,68878,82426,60853,53886,71806,66343,64823,67530,78563,61299,57765,64377,63448,68317,72243,82693,67996,62627,67744,66112,63115,68288,80846,68256,63135,68384,66219,68717,75419,86260,71487,61526,68976,65006,64185,63692,64734,49813,40738,49455,49085,49407,49038,51760,38880,33038,45679,43640,49830,49678,44052,31394,25749,41533,41499,43391,44811,33306,24442,42802,43935,47210,47843,49859,45736,47513,47767,40773,55231,40937,36640,48791,49698,49497,55941,62481,48536,44454,55855,55438,56213,58195,65258,54138,48750,54899,39079,48768,59121,67945,55399,50881,57997,57760,59860,69440,81921,63722,52466,62071,63277,63257,67451,73741,66562,59354,62392,64792,68234,75049,63200,48866,62005,60220,66070,79175,74184,65808,68854,65912,67791,72676,82566,78874,64920,68598,62440,66157,71603,78548,75916,64635,66876,66302,71336,81177,77496,55807,65318,70734,62671,Jackson
32413,43306,44951,45699,48314,33956,29108,29506,31571,36818,27800,32049,30245,28664,29889,34589,45789,32365,32140,40772,30598,29488,33469,39573,29204,36032,31212,29259,29642,33888,41107,32247,32192,33063,29410,30214,29652,41563,29883,37429,32963,30331,31423,35875,45207,33251,36917,40155,32140,31271,35786,44932,33765,40256,34246,30730,32957,37459,45619,38093,42657,33358,30200,31247,35250,44375,37283,42784,35604,31942,34662,42562,54790,42545,39247,35160,31618,31069,31037,32376,27588,26043,24315,22637,22386,22285,23235,18628,18061,19540,18834,20461,21690,18588,14213,13123,17058,16514,18035,18085,13860,12498,17078,16959,17317,19088,20326,18336,18943,19575,19207,22062,18188,18006,20153,20261,20861,23658,27704,22433,22529,23682,23015,23312,25913,30261,24580,24590,26449,24600,24322,26962,30154,24398,25888,25302,25092,25610,30373,38157,28767,24389,31149,28376,27316,29523,33865,29130,30402,27083,27387,30230,34334,27902,25127,27315,26795,28745,36476,31164,33710,31358,28746,29595,33792,39908,33247,33471,6346,5870,5968,13607,38403,32572,33657,31196,29898,31899,39385,37431,21790,36604,33826,28448,Jefferson
97888,160412,166942,139390,124957,162310,163466,166014,170007,180440,123241,109165,160570,166437,169333,172554,188699,138020,111785,145151,164573,166391,171494,178095,136368,115839,162775,166349,163831,172133,178849,137967,114556,165959,167104,168052,141195,187952,140415,121868,167008,169141,172632,174253,196875,147009,112837,163526,169836,171953,170653,188913,139712,119939,160143,157987,158453,172833,177854,152730,110383,136493,136463,133558,134719,153661,118631,105338,159892,172002,175854,181874,192463,138193,113540,148776,145337,138450,135317,136714,95732,79613,113805,61465,60607,60487,98417,81408,67544,104091,99648,108567,60662,64920,71232,57966,94500,52053,97174,99785,76320,52257,90665,93984,96217,103776,108509,99097,102679,105711,93833,113904,89615,74199,104688,107323,106637,115910,126859,99259,83619,113960,115616,118827,124553,132589,107041,90308,117800,119525,120237,123897,131544,107308,90506,120370,118386,115462,133538,147043,113414,93611,101260,124370,127903,133670,142070,118193,101498,131711,132548,136109,144999,104203,78576,129392,123932,135362,147335,121567,107676,136490,137148,114690,74335,52713,117133,103065,126878,122981,113234,97117,54049,44770,37450,47745,47945,81166,107798,96170,63894,72039,91871,89527,Leon
2686,3713,3583,3036,3139,3506,3238,3327,3474,4020,2449,2530,3549,3394,3396,3570,4649,3269,2849,3985,3314,3305,3496,4019,2784,2851,3554,3389,3124,3400,4027,2957,2890,3617,3538,3588,2679,4407,3197,3554,3508,3466,3405,3584,4585,3636,3223,4068,3603,3605,3628,4478,3217,3378,3582,3327,3334,3821,4571,3631,3558,3619,3572,3395,3686,4394,3574,3496,3813,3649,3656,3806,4801,3879,3653,3880,3511,3342,3372,3721,2536,2291,2674,2571,2442,2569,2703,1680,1602,2421,2365,2518,2375,2312,1288,1205,2039,2173,2074,2253,1464,1254,2186,2156,2202,2253,2515,2405,2211,2442,2126,2833,1931,1864,2542,2386,2399,2684,3287,2543,2720,2896,2829,2911,2963,3618,2873,3202,3082,2903,3022,3174,3744,3146,3290,3127,3045,3063,3556,4863,3765,3335,4194,3487,3296,3505,3769,3418,3597,3195,3326,3512,4057,3219,2886,3372,3199,3453,4233,3762,4084,3764,3451,3641,3941,4705,4464,4135,3883,3465,3577,3803,4450,3832,3828,3430,3508,3828,4362,4144,3076,4413,3811,3275,Liberty
113138,176567,177890,145490,120989,178789,183214,183839,185582,189174,104802,118368,173900,181794,186283,189983,192697,135769,118526,152816,179517,181900,181185,189947,142037,113472,176214,182818,173073,190467,191082,146804,119184,180531,184757,178576,169010,200354,150730,128279,182855,185788,187589,191069,200399,151962,118268,165608,189507,191981,188104,206657,156735,131023,178825,190140,196451,197021,209048,166976,135950,180008,184424,182900,151006,181811,169455,141591,193026,196268,201146,206638,207549,166069,138093,178774,174994,169215,164061,160887,106126,83097,133328,132538,130994,129502,131061,92291,73341,121020,113005,125422,123260,106900,73603,59518,118911,130982,133680,134771,101350,63049,132780,137323,143088,144272,148655,141214,146926,149961,124905,162381,122257,101161,151472,155966,148011,168734,178748,143456,122082,176714,181844,184182,190067,198750,166268,144238,188861,164899,192387,205370,219852,186123,154359,190650,207603,203479,223088,239793,209607,183885,185635,220086,221285,228839,242861,213659,181307,223964,223427,194691,204455,169857,119724,197106,218697,232601,259985,235967,203606,238216,238383,245702,246408,262860,237865,195455,228597,229515,236610,249409,258868,231606,191436,233801,237430,240010,245160,225771,159742,156337,201335,221090,Okaloosa
11894,18501,20341,16103,13162,21150,21790,22176,23144,23585,10932,13213,21023,21728,22085,22240,24279,14569,13414,16026,22037,21670,21644,24129,16865,12564,21612,22267,20949,22381,23544,16497,14130,22237,22729,20510,20084,24613,17002,14709,22273,22197,22113,22742,25115,16426,11889,17022,22286,22112,21964,24628,17500,14166,21282,22157,23097,23273,24727,17293,14739,22667,23377,21393,23233,25156,16914,14461,20707,23324,23124,24067,24498,16994,13792,21051,21252,20832,20459,21211,13251,11007,19075,18956,19200,19039,19944,13957,10391,18319,17416,19397,19800,18347,11412,9320,17578,17796,18328,17436,12557,8096,17804,18384,19266,18968,20031,18548,17771,19587,15265,21439,14997,12239,17849,19693,18379,20517,21956,15650,12993,20304,20528,23156,24291,23089,17156,13942,20501,18572,21020,21441,23089,17566,13624,19728,21653,21122,22114,22647,17379,14564,14326,21184,21307,22884,21825,17781,14562,22119,21710,22371,23769,15501,10953,20266,21180,21742,24575,18943,15480,22021,22390,23091,23142,24778,19474,15490,21538,21621,21403,22566,23903,18837,14274,20611,21830,22289,22979,18790,14405,13586,19502,21393,Santa Rosa
12032,18213,19166,15572,13640,18681,18084,19124,19217,20802,14207,12272,18758,18748,18544,19141,21231,16938,13520,16609,18727,18405,19017,20421,16889,13498,18351,18638,18028,19287,20795,17087,14160,19220,18836,18929,15998,21387,18152,14635,19191,19142,19715,19813,22189,17208,12676,18138,19255,19073,18736,21238,16881,14239,18658,18595,18261,20478,22151,18473,15407,19491,19992,19322,19217,21983,17963,14988,19735,19712,19824,20715,22650,18687,15489,18761,18254,17871,18073,18732,14175,11862,15403,14848,14921,14785,16234,12911,10903,14601,13813,15289,15278,14799,11341,9052,13397,13503,13997,14670,12536,8471,13039,13303,13497,15253,16108,14219,14774,15080,13340,16383,14442,11972,15199,15549,15042,16314,18613,16240,13445,16865,16613,16779,17310,18993,17179,14906,16973,16991,17274,17878,19851,18741,15596,16792,17837,15691,18436,21133,18373,15983,15182,16871,17224,17785,19197,17539,16173,17814,18051,18530,19946,14365,10893,17509,16396,18461,20188,18128,16300,18600,18495,18724,19399,21374,20391,16517,18162,17654,18223,18678,20678,17645,15544,18176,18183,18698,20191,19170,14446,13988,17149,17124,Wakulla
