01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08,01/09,01/10,01/11,01/12,01/13,01/14,01/15,01/16,01/17,01/18,01/19,01/20,01/21,01/22,01/23,01/24,01/25,01/26,01/27,01/28,01/29,01/30,01/31,02/01,02/02,02/03,02/04,02/05,02/06,02/07,02/08,02/09,02/10,02/11,02/12,02/13,02/14,02/15,02/16,02/17,02/18,02/19,02/20,02/21,02/22,02/23,02/24,02/25,02/26,02/27,02/28,02/29,03/01,03/02,03/03,03/04,03/05,03/06,03/07,03/08,03/09,03/10,03/11,03/12,03/13,03/14,03/15,03/16,03/17,03/18,03/19,03/20,03/21,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/20,04/21,04/22,04/23,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,COUNTY
123551,190314,196339,161625,144795,191499,190125,193380,198359,205749,166270,140898,192554,191531,196454,200856,213963,175276,148808,191279,197357,197904,201614,215453,174411,148694,193304,193764,196974,200313,208963,162959,137822,193744,195191,199469,200942,216975,180067,148630,200337,201233,202937,209633,219729,181592,154312,199255,203714,206401,211494,225124,185604,158872,201113,173232,75206,76459,78985,67097,162237,199558,184509,205078,206576,221647,182515,157009,200203,202032,201484,204503,207482,156722,128802,178921,167432,160992,154010,112958,103464,76813,128420,126367,124315,122493,124901,77214,58394,112973,113608,107463,119111,104510,61184,45794,101809,104077,105539,107144,68112,46989,105537,107214,111611,109467,116326,111389,112379,114491,117125,120029,81813,60078,114230,120193,123331,117918,135593,94600,75072,129372,130181,133507,137106,145678,109021,82314,136822,136393,138057,138268,146016,110028,88638,135692,142129,144721,150021,159905,118922,89713,99766,147205,149317,150316,159581,121173,99168,147576,144804,149873,158562,120099,101000,151714,152282,155181,169544,126664,107901,156146,155118,158890,159255,170665,135090,110360,156226,155139,156821,160765,170062,129644,107845,145821,101122,138298,154355,138501,91943,101102,142151,147329,Lee
55412,92303,97660,72135,63263,95901,99088,99673,101442,103927,81738,64065,97772,101554,103017,102651,106958,85771,65471,92742,100770,100954,101469,106613,86792,67150,97396,100442,99731,102347,106874,81685,65974,99100,102797,103831,104135,106183,92526,68926,101148,103685,105768,105850,107426,87422,68510,92320,103247,104740,106028,107526,87305,70411,100912,103621,100693,104300,110088,89348,71594,100420,102298,102267,103613,107631,91101,67848,97881,101775,99730,103227,101510,79888,61763,89453,87114,84010,82632,84035,59728,47639,71705,70909,70765,70486,73011,52535,38741,66591,67653,70901,71246,58743,41817,27393,60961,61959,64068,66253,50644,31435,60857,64099,66107,62435,71118,59626,68646,68383,69734,58237,55569,42635,70675,71523,72165,68102,79090,63110,47810,75659,76532,76737,78499,83977,70123,49546,75804,65103,51282,52033,52559,42803,33449,47566,52214,53070,54392,56350,42521,32272,32147,52915,53288,54152,56641,43768,34113,53256,50583,51725,53880,36828,32329,52561,53997,54651,57957,43058,29553,54187,55162,55808,55368,57551,45423,35315,52928,54041,55033,54422,56028,43494,32750,51397,53536,54061,54958,47731,32876,30611,50859,52798,Manatee
137443,190536,204329,166625,149929,177327,170847,174008,178678,193185,163766,141362,177598,176661,182590,187362,206892,176322,138618,172464,174003,173701,182079,200551,169001,146019,175424,175688,177934,184422,202491,173762,139299,181360,119873,77751,113968,199780,175570,151132,171702,181550,186374,193604,213835,187615,158162,193336,135007,186973,196658,214818,185634,161430,181615,180986,181407,197919,218915,195337,169554,189524,187063,189519,192874,211321,187122,158791,186080,184293,189957,193749,211311,178793,127201,178217,170332,168372,166369,173574,134578,105074,138365,134014,134629,132473,137337,101518,83325,123068,122208,125935,129028,121025,88321,66052,111413,113294,115240,120224,94244,69366,114991,114769,120145,116939,130001,114854,124200,126599,128097,116071,109835,94499,129412,131490,134488,132570,154896,126427,106128,141331,140816,142913,148416,163158,142271,118027,147648,147817,149904,154062,168148,145662,124885,145242,153747,157723,165814,185917,153754,125890,126972,161425,159652,163011,177542,157869,134299,156728,157389,156699,174740,134859,119454,154110,159105,162597,187067,164389,141349,164871,163209,166305,172847,189109,173875,149809,168160,159580,165163,170176,185868,165443,137467,163090,162597,170315,181123,171269,124583,132691,164426,159357,Pasco
126552,193971,203201,146573,135448,190107,190819,198033,200324,207050,170656,143127,196629,198776,202297,209149,217342,177838,138083,173805,193530,194555,203597,214020,168866,141473,193611,197401,199773,205241,211875,162990,134929,199831,200609,206580,179786,211261,179142,153462,201924,203826,212691,215822,222675,189300,157820,196166,209469,214946,217536,221962,185303,160030,207561,210693,206934,220056,220374,188751,154488,208766,212834,219086,214997,223001,182467,149392,203900,210200,215190,212599,210617,167727,141901,178550,167835,162365,155519,155255,113892,88407,127094,124472,123223,117548,120387,88262,74457,109585,110401,114774,113996,110777,82705,58153,91585,105811,107460,110291,90397,69810,103117,106614,109743,106790,118825,103669,113441,116177,117051,99064,100734,87002,118587,120812,123101,118114,137765,116692,100036,132286,133651,134445,140140,153075,143297,106047,137909,141126,143205,146944,154400,143635,127679,130189,145416,151007,155242,167584,150047,122113,113826,149688,152450,155750,166264,149813,129481,152365,148321,149730,163472,116252,110444,153229,157491,159213,179210,151380,134934,159858,161056,164484,166564,177625,163851,140128,156867,158293,161432,166713,174313,149190,124034,154095,157123,158990,167883,160921,127497,119868,151060,154953,Pinellas
212584,276576,291908,239865,230132,272470,267297,270915,276081,297594,260644,226682,178235,269572,274911,282850,309256,280219,235915,279792,271614,265168,277840,307761,272457,242459,268208,271121,271782,279891,305980,256624,223855,274804,271273,184408,283376,311055,277283,243174,278895,279982,285381,298997,319261,294105,256998,286361,286041,286920,297006,312456,170088,249533,283692,283836,279993,300661,320238,295789,264713,288649,285907,290649,301920,323898,294565,254811,286233,287181,288985,295813,307836,254317,219474,256176,239827,234481,229041,233927,169065,136829,193703,189043,130355,189278,189444,134632,109130,176623,127192,183116,184567,171330,116744,89908,163363,165967,169346,169508,129365,96169,167972,167144,160499,168597,185393,167565,177969,182435,141792,168062,149683,125869,188024,186536,190749,185004,215706,171398,143950,201379,200733,203418,209619,228955,198003,165102,209890,209029,211721,216283,234306,195651,172045,207976,216198,223139,230948,257058,218508,181306,171631,226918,231381,229621,252260,224620,114651,220428,223142,217612,245825,191413,172559,226032,151820,232331,269363,229197,203710,240123,240022,244962,250000,272191,254014,220306,243359,237693,239669,158361,167167,227558,197531,235872,235934,239895,255110,247124,192202,197198,235556,230403,Polk
180628,251962,263967,209272,189352,237171,233129,237354,241575,256581,208637,180485,234037,236954,244595,251544,270123,219580,183278,243961,241661,240034,247881,263197,214977,190775,236459,239680,244000,252983,269938,212899,172382,243511,240564,247224,249034,266528,226834,199093,248802,234743,171184,169717,183342,157528,136374,173476,171898,174810,179249,187692,158709,138617,168353,171008,168158,176902,185573,159349,139443,168587,168649,170188,154670,178857,150747,131016,126174,166101,168327,170121,168475,137172,112623,149758,141135,136609,132217,132760,91145,67834,106400,103882,102915,102385,104135,70087,53667,95275,95934,97743,100390,86382,54610,39510,83865,85705,88083,121950,81680,57251,120111,121837,125362,122218,131875,121469,128801,132051,133146,122403,95157,77208,137598,138896,141465,136745,159121,114634,95108,149505,151259,155841,162563,167600,137232,107910,160309,161539,162963,167737,175454,136446,114993,154674,164810,173232,182000,197255,151262,116864,126214,179077,178457,181763,195313,154327,128902,175553,170700,174965,190582,126411,111624,163249,166551,169404,191877,151371,130593,170042,170596,180708,196539,153329,174759,147638,189509,186628,185672,194041,208144,166698,136008,181450,181872,187510,201595,183307,122614,137956,179135,176535,Sarasota
109902,131281,143334,131503,121292,102240,81085,88831,94132,107143,95788,96871,90172,86109,91729,99840,126237,108493,96624,113484,87377,84643,94764,117962,96107,104551,91969,85458,88672,99609,126254,116023,92916,96725,87675,90985,94823,120268,104470,106732,97592,87808,92368,79233,134845,121828,117812,120501,91727,85719,104931,127343,113219,113194,99997,88800,92135,111462,138162,136438,131013,104299,94390,87882,103157,133052,123429,124200,100366,94339,99756,110123,136371,134532,120929,114164,107978,108354,55384,60085,52647,42413,39027,37581,36951,36088,38128,31606,27507,31580,31378,32885,34177,61576,47222,39445,52546,53947,56419,59001,45122,36916,56317,54812,56980,57364,63074,56541,59608,61733,62833,65446,59523,56529,67129,66355,68963,72790,88838,73809,68806,74124,70101,74486,81056,96184,84603,78251,82875,77786,78241,85245,99650,89405,85350,82126,79063,82739,98111,123138,101382,84161,97143,91178,88528,92893,108984,106029,98844,85100,87208,91947,108543,95445,88590,85018,83663,88692,119531,115080,107859,97382,88021,94255,104280,125416,124586,114901,104834,90848,95559,101839,123824,122623,108055,98890,88981,104054,121724,115987,77768,114438,107070,91191,Sumter
114200,154629,166054,151168,146477,138321,128157,127949,134169,147862,119632,114279,128217,125728,130171,140141,162090,132020,112818,135341,128549,125733,133717,150962,124569,119254,127716,126791,126933,137879,160528,135697,116444,132545,127080,131255,132612,155333,126922,123435,133295,130421,133257,143954,166830,136340,128881,144147,134801,134207,141874,161572,134356,129085,134590,126088,129716,149485,168871,144835,131744,132849,128306,131831,138050,158997,139160,139749,142321,135793,140019,152239,174900,149442,127930,138045,132325,127689,127908,135329,113058,90653,101959,93073,93723,92834,97552,80112,68083,85642,85510,89802,91746,88081,67677,54930,79657,80070,82646,86704,68611,54413,78795,76698,80243,85931,91792,81598,86004,88654,89498,91596,81170,72233,90425,92408,95431,100061,113535,94300,82964,100307,99878,101227,107616,119104,99704,86452,107199,105110,106102,111054,123125,102781,93679,106555,107740,111395,119973,141270,111332,92259,102434,114103,114928,59626,132104,118560,107910,115762,116482,119265,135700,111190,95428,117246,116202,119877,141968,125833,115161,124966,120028,123635,131301,148071,130780,114217,130550,121312,123833,131102,146103,127395,116049,125297,122412,131997,143193,137491,90080,118842,131855,120127,Alachua
2071,2796,3081,2526,2375,2565,2627,2745,2853,3272,2830,2612,2836,2764,2789,2789,3138,2771,2318,2462,2510,2608,2722,2889,2661,2219,2785,2544,2568,2664,3120,2590,2363,2804,2837,2778,2772,3200,2915,2438,2774,2784,2881,2929,3293,2651,2325,2616,2880,2943,3073,3572,3855,2919,2685,2667,2701,2955,3248,2870,2545,2838,2933,2859,2814,3159,2837,2609,2800,2840,2848,3078,3334,2967,2574,2724,2796,2860,2915,3243,2827,2285,2669,2350,2632,2631,2924,2735,2389,2583,2517,2567,2702,2645,2330,1788,2353,2391,2659,2799,2506,2171,2353,2345,2273,2695,2903,2536,2626,2677,2639,2906,2878,2500,2707,2627,2822,2883,3252,3188,2686,2824,2832,2808,2918,3309,3066,2709,2834,2787,2846,3078,3359,3249,2845,2914,2837,2864,3157,3494,2993,2577,2486,2776,2862,3060,3394,3141,2653,2850,2961,3009,3214,2941,2083,2732,2671,2840,3188,3048,2690,3030,3075,3115,3121,3422,3208,2766,2826,2983,2950,2998,3460,3079,2759,2965,2929,3014,3288,3183,2641,2550,2857,2707,Baker
22647,31482,34328,29223,26459,26683,24574,25042,26145,28838,23186,22526,25058,24781,25006,27260,32448,0,21709,26727,20126,24363,25714,29439,24440,22903,24849,24363,24710,26326,32317,27914,21936,25351,23986,25086,25392,29893,24053,23717,25351,24694,25495,27295,32911,28099,25386,28687,26111,25789,27271,31552,26375,25053,26477,24523,25463,29144,34102,30623,27512,26963,26244,26866,27702,33265,28761,27939,27727,26648,27947,29957,34556,29044,26414,28639,27555,27872,0,28389,22970,18193,20626,19415,19349,19484,19968,15694,13204,17875,17474,17948,18014,16939,12439,10020,15455,15692,16120,16692,12865,9748,15548,15131,15732,16830,17873,16099,17477,17386,17608,18208,15896,13865,18359,18353,19030,19713,22807,18380,16180,19855,19586,20195,21711,24185,20560,17839,21760,21109,21334,22460,25347,21652,19307,22018,21634,22511,24827,28298,22823,18808,20209,23377,23234,23562,32125,29238,25904,28646,29427,29784,33029,27104,21957,28038,28116,28649,34612,31118,27635,30446,29718,30662,32274,36567,32323,27948,31191,29564,30290,32334,6741,30896,26986,30390,23842,25801,32345,31080,21171,26456,30544,5750,Bradford
