,county Name,County Code,Date,AQI,Defining Parameter
57080,Polk,105,2020-05-06,40,PM2.5
57095,Polk,105,2020-05-21,44,PM2.5
57097,Polk,105,2020-05-23,32,PM2.5
57098,Polk,105,2020-05-24,27,PM2.5
57101,Polk,105,2020-05-27,39,PM2.5
57102,Polk,105,2020-05-28,41,PM2.5
57103,Polk,105,2020-05-29,25,PM2.5
57109,Polk,105,2020-06-04,21,PM2.5
57111,Polk,105,2020-06-06,24,PM2.5
57112,Polk,105,2020-06-07,36,PM2.5
57113,Polk,105,2020-06-08,43,PM2.5
57114,Polk,105,2020-06-09,40,PM2.5
57115,Polk,105,2020-06-10,31,PM2.5
57131,Polk,105,2020-06-26,47,PM2.5
57132,Polk,105,2020-06-27,56,PM2.5
57133,Polk,105,2020-06-28,54,PM2.5
57134,Polk,105,2020-06-29,55,PM2.5
57135,Polk,105,2020-06-30,39,PM2.5
57136,Polk,105,2020-07-01,38,PM2.5
57137,Polk,105,2020-07-02,34,PM2.5
57138,Polk,105,2020-07-03,59,PM2.5
57770,Santa Rosa,113,2020-03-26,54,PM2.5
57771,Santa Rosa,113,2020-03-27,45,PM2.5
57772,Santa Rosa,113,2020-03-28,57,PM2.5
57773,Santa Rosa,113,2020-03-29,69,PM2.5
57775,Santa Rosa,113,2020-03-31,42,PM2.5
57779,Santa Rosa,113,2020-04-04,60,PM2.5
57780,Santa Rosa,113,2020-04-05,52,PM2.5
57783,Santa Rosa,113,2020-04-08,39,PM2.5
57784,Santa Rosa,113,2020-04-09,63,PM2.5
57787,Santa Rosa,113,2020-04-12,68,PM2.5
57790,Santa Rosa,113,2020-04-15,50,PM2.5
57793,Santa Rosa,113,2020-04-18,38,PM2.5
57794,Santa Rosa,113,2020-04-19,49,PM2.5
57821,Santa Rosa,113,2020-05-16,32,PM2.5
57827,Santa Rosa,113,2020-05-22,59,PM2.5
57828,Santa Rosa,113,2020-05-23,57,PM2.5
57829,Santa Rosa,113,2020-05-24,41,PM2.5
57838,Santa Rosa,113,2020-06-02,37,PM2.5
57843,Santa Rosa,113,2020-06-07,32,PM2.5
57844,Santa Rosa,113,2020-06-08,48,PM2.5
57845,Santa Rosa,113,2020-06-09,54,PM2.5
57846,Santa Rosa,113,2020-06-10,36,PM2.5
57860,Santa Rosa,113,2020-06-24,49,PM2.5
57861,Santa Rosa,113,2020-06-25,57,PM2.5
57862,Santa Rosa,113,2020-06-26,59,PM2.5
57863,Santa Rosa,113,2020-06-27,84,PM2.5
57864,Santa Rosa,113,2020-06-28,59,PM2.5
57865,Santa Rosa,113,2020-06-29,54,PM2.5
57866,Santa Rosa,113,2020-06-30,57,PM2.5
57867,Santa Rosa,113,2020-07-01,61,PM2.5
57868,Santa Rosa,113,2020-07-02,59,PM2.5
57869,Santa Rosa,113,2020-07-03,50,PM2.5
58136,Sarasota,115,2020-03-26,52,PM2.5
58137,Sarasota,115,2020-03-27,55,PM2.5
58141,Sarasota,115,2020-03-31,36,PM2.5
58146,Sarasota,115,2020-04-05,47,PM2.5
58150,Sarasota,115,2020-04-09,37,PM2.5
58151,Sarasota,115,2020-04-10,54,PM2.5
58152,Sarasota,115,2020-04-11,46,PM2.5
58153,Sarasota,115,2020-04-12,67,PM2.5
58154,Sarasota,115,2020-04-13,71,PM2.5
58155,Sarasota,115,2020-04-14,69,PM2.5
58156,Sarasota,115,2020-04-15,66,PM2.5
58157,Sarasota,115,2020-04-16,41,PM2.5
58159,Sarasota,115,2020-04-18,36,PM2.5
58160,Sarasota,115,2020-04-19,42,PM2.5
58161,Sarasota,115,2020-04-20,51,PM2.5
58164,Sarasota,115,2020-04-23,46,PM2.5
58166,Sarasota,115,2020-04-25,41,PM2.5
58167,Sarasota,115,2020-04-26,54,PM2.5
58192,Sarasota,115,2020-05-21,56,PM2.5
58194,Sarasota,115,2020-05-23,32,PM2.5
58198,Sarasota,115,2020-05-27,58,PM2.5
58199,Sarasota,115,2020-05-28,49,PM2.5
58200,Sarasota,115,2020-05-29,29,PM2.5
58207,Sarasota,115,2020-06-05,24,PM2.5
58208,Sarasota,115,2020-06-06,27,PM2.5
58209,Sarasota,115,2020-06-07,42,PM2.5
58210,Sarasota,115,2020-06-08,45,PM2.5
58211,Sarasota,115,2020-06-09,38,PM2.5
58226,Sarasota,115,2020-06-24,26,PM2.5
58227,Sarasota,115,2020-06-25,41,PM2.5
58228,Sarasota,115,2020-06-26,46,PM2.5
58229,Sarasota,115,2020-06-27,47,PM2.5
58230,Sarasota,115,2020-06-28,56,PM2.5
58231,Sarasota,115,2020-06-29,60,PM2.5
58232,Sarasota,115,2020-06-30,55,PM2.5
58233,Sarasota,115,2020-07-01,47,PM2.5
58234,Sarasota,115,2020-07-02,52,PM2.5
58235,Sarasota,115,2020-07-03,58,PM2.5
58502,Seminole,117,2020-03-26,52,PM2.5
58503,Seminole,117,2020-03-27,51,PM2.5
58507,Seminole,117,2020-03-31,40,PM2.5
58512,Seminole,117,2020-04-05,53,PM2.5
58516,Seminole,117,2020-04-09,44,PM2.5
58517,Seminole,117,2020-04-10,47,PM2.5
58519,Seminole,117,2020-04-12,48,PM2.5
58520,Seminole,117,2020-04-13,65,PM2.5
58521,Seminole,117,2020-04-14,65,PM2.5
58522,Seminole,117,2020-04-15,63,PM2.5
58526,Seminole,117,2020-04-19,42,PM2.5
58532,Seminole,117,2020-04-25,41,PM2.5
58533,Seminole,117,2020-04-26,49,PM2.5
58561,Seminole,117,2020-05-24,29,PM2.5
58565,Seminole,117,2020-05-28,39,PM2.5
58574,Seminole,117,2020-06-06,25,PM2.5
58575,Seminole,117,2020-06-07,29,PM2.5
58576,Seminole,117,2020-06-08,32,PM2.5
58578,Seminole,117,2020-06-10,30,PM2.5
58594,Seminole,117,2020-06-26,44,PM2.5
58595,Seminole,117,2020-06-27,56,PM2.5
58596,Seminole,117,2020-06-28,53,PM2.5
58597,Seminole,117,2020-06-29,53,PM2.5
58598,Seminole,117,2020-06-30,33,PM2.5
58599,Seminole,117,2020-07-01,35,PM2.5
58600,Seminole,117,2020-07-02,51,PM2.5
59225,Volusia,127,2020-03-26,48,PM2.5
59226,Volusia,127,2020-03-27,50,PM2.5
59227,Volusia,127,2020-03-28,48,PM2.5
59229,Volusia,127,2020-03-30,45,PM2.5
59230,Volusia,127,2020-03-31,45,PM2.5
59238,Volusia,127,2020-04-08,32,PM2.5
59239,Volusia,127,2020-04-09,48,PM2.5
59242,Volusia,127,2020-04-12,53,PM2.5
59243,Volusia,127,2020-04-13,66,PM2.5
59244,Volusia,127,2020-04-14,66,PM2.5
59245,Volusia,127,2020-04-15,59,PM2.5
59249,Volusia,127,2020-04-19,41,PM2.5
59256,Volusia,127,2020-04-26,51,PM2.5
59275,Volusia,127,2020-05-15,41,PM2.5
59276,Volusia,127,2020-05-16,39,PM2.5
59277,Volusia,127,2020-05-17,39,PM2.5
59283,Volusia,127,2020-05-23,35,PM2.5
59284,Volusia,127,2020-05-24,29,PM2.5
59285,Volusia,127,2020-05-25,33,PM2.5
59297,Volusia,127,2020-06-06,25,PM2.5
59298,Volusia,127,2020-06-07,34,PM2.5
59299,Volusia,127,2020-06-08,32,PM2.5
59300,Volusia,127,2020-06-09,39,PM2.5
59301,Volusia,127,2020-06-10,36,PM2.5
59315,Volusia,127,2020-06-24,35,PM2.5
59316,Volusia,127,2020-06-25,49,PM2.5
59317,Volusia,127,2020-06-26,56,PM2.5
59318,Volusia,127,2020-06-27,48,PM2.5
59319,Volusia,127,2020-06-28,60,PM2.5
59320,Volusia,127,2020-06-29,53,PM2.5
59321,Volusia,127,2020-06-30,45,PM2.5
59322,Volusia,127,2020-07-01,45,PM2.5
59323,Volusia,127,2020-07-02,48,PM2.5
59324,Volusia,127,2020-07-03,45,PM2.5
59587,Wakulla,129,2020-03-26,58,PM2.5
59588,Wakulla,129,2020-03-27,43,PM2.5
59589,Wakulla,129,2020-03-28,46,PM2.5
59590,Wakulla,129,2020-03-29,42,PM2.5
59591,Wakulla,129,2020-03-30,58,PM2.5
59595,Wakulla,129,2020-04-03,62,PM2.5
59596,Wakulla,129,2020-04-04,76,PM2.5
59597,Wakulla,129,2020-04-05,60,PM2.5
59600,Wakulla,129,2020-04-08,39,PM2.5
59601,Wakulla,129,2020-04-09,59,PM2.5
59604,Wakulla,129,2020-04-12,63,PM2.5
59605,Wakulla,129,2020-04-13,62,PM2.5
59606,Wakulla,129,2020-04-14,46,PM2.5
59608,Wakulla,129,2020-04-16,36,PM2.5
59610,Wakulla,129,2020-04-18,39,PM2.5
59611,Wakulla,129,2020-04-19,38,PM2.5
59617,Wakulla,129,2020-04-25,44,PM2.5
59619,Wakulla,129,2020-04-27,57,PM2.5
59638,Wakulla,129,2020-05-16,34,PM2.5
59639,Wakulla,129,2020-05-17,32,PM2.5
59645,Wakulla,129,2020-05-23,36,PM2.5
59646,Wakulla,129,2020-05-24,35,PM2.5
59648,Wakulla,129,2020-05-26,23,PM2.5
59649,Wakulla,129,2020-05-27,26,PM2.5
59651,Wakulla,129,2020-05-29,35,PM2.5
59652,Wakulla,129,2020-05-30,30,PM2.5
59653,Wakulla,129,2020-05-31,39,PM2.5
59654,Wakulla,129,2020-06-01,41,PM2.5
59658,Wakulla,129,2020-06-05,22,PM2.5
59660,Wakulla,129,2020-06-07,30,PM2.5
59661,Wakulla,129,2020-06-08,54,PM2.5
59662,Wakulla,129,2020-06-09,33,PM2.5
59663,Wakulla,129,2020-06-10,37,PM2.5
59664,Wakulla,129,2020-06-11,45,PM2.5
59665,Wakulla,129,2020-06-12,28,PM2.5
59666,Wakulla,129,2020-06-14,18,PM2.5
59671,Wakulla,129,2020-06-19,53,PM2.5
59672,Wakulla,129,2020-06-20,50,PM2.5
59674,Wakulla,129,2020-06-22,44,PM2.5
59675,Wakulla,129,2020-06-23,30,PM2.5
59676,Wakulla,129,2020-06-24,50,PM2.5
59677,Wakulla,129,2020-06-25,91,PM2.5
59678,Wakulla,129,2020-06-26,161,PM2.5
59679,Wakulla,129,2020-06-27,154,PM2.5
59680,Wakulla,129,2020-06-28,82,PM2.5
59681,Wakulla,129,2020-06-29,60,PM2.5
59682,Wakulla,129,2020-06-30,58,PM2.5
59683,Wakulla,129,2020-07-01,54,PM2.5
59684,Wakulla,129,2020-07-02,64,PM2.5
59685,Wakulla,129,2020-07-03,58,PM2.5
